id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,11,2,packages\markdown-it-container\test\cjs.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,4,0,4,37,packages\markdown-it-container\test\cjs.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,5,0,5,25,packages\markdown-it-container\test\cjs.js,1,2
7,CallExpression,nan,2,-1,-1,7,0,11,2,packages\markdown-it-container\test\cjs.js,1,3
9,ArrowFunctionExpression,nan,-1,0,0,7,16,11,1,packages\markdown-it-container\test\cjs.js,1,4
10,Identifier,describe,-1,-1,-1,7,0,7,8,packages\markdown-it-container\test\cjs.js,1,5
12,BlockStatement,nan,-1,-1,-1,7,22,11,1,packages\markdown-it-container\test\cjs.js,1,6
14,CallExpression,nan,2,-1,-1,8,2,10,4,packages\markdown-it-container\test\cjs.js,1,7
16,ArrowFunctionExpression,nan,-1,0,0,8,16,10,3,packages\markdown-it-container\test\cjs.js,1,8
17,Identifier,it,-1,-1,-1,8,2,8,4,packages\markdown-it-container\test\cjs.js,1,9
19,BlockStatement,nan,-1,-1,-1,8,22,10,3,packages\markdown-it-container\test\cjs.js,1,10
21,CallExpression,nan,1,-1,-1,9,4,9,39,packages\markdown-it-container\test\cjs.js,1,11
23,MemberExpression,nan,-1,-1,-1,9,4,9,13,packages\markdown-it-container\test\cjs.js,1,12
24,UnaryExpression,nan,1,-1,-1,9,14,9,23,packages\markdown-it-container\test\cjs.js,1,13
26,Identifier,fn,-1,-1,-1,9,21,9,23,packages\markdown-it-container\test\cjs.js,1,14
