src,same_file,jaccard_val,dst
153,1,-1.0,168
173,0,-1.0,83
197,1,1.0,124
218,0,-1.0,812
218,1,-1.0,224
165,1,-1.0,185
201,0,-1.0,812
201,1,-1.0,214
167,0,-1.0,812
167,1,-1.0,189
266,1,-1.0,256
472,1,1.0,382
505,1,1.0,331
430,1,1.0,334
538,1,-1.0,548
539,1,-1.0,550
566,1,-1.0,576
567,1,-1.0,578
568,1,-1.0,580
569,1,-1.0,582
592,1,-1.0,618
593,1,1.0,537
542,1,-1.0,552
594,1,-1.0,621
595,1,1.0,537
543,1,-1.0,554
596,1,-1.0,624
597,1,1.0,537
544,1,-1.0,556
598,1,-1.0,627
599,1,1.0,537
545,1,-1.0,558
600,1,-1.0,630
601,1,1.0,537
546,1,-1.0,560
602,1,-1.0,633
603,1,-1.0,635
604,1,-1.0,637
605,1,-1.0,639
606,1,-1.0,641
607,1,-1.0,643
608,1,-1.0,645
609,1,-1.0,647
547,1,-1.0,562
528,1,-1.0,529
831,1,-1.0,868
832,1,-1.0,871
792,1,-1.0,801
1121,1,-1.0,1133
1015,1,-1.0,1045
833,1,-1.0,873
793,1,-1.0,803
1016,1,-1.0,1048
834,1,-1.0,875
835,1,-1.0,878
836,1,-1.0,881
794,1,-1.0,805
1024,1,-1.0,1065
837,1,-1.0,883
838,1,-1.0,886
839,1,-1.0,889
795,1,-1.0,807
840,1,-1.0,892
841,1,-1.0,895
796,1,-1.0,809
782,1,-1.0,784
901,1,-1.0,791
903,0,1.0,126
799,1,-1.0,815
800,1,-1.0,817
783,1,-1.0,786
777,1,-1.0,778
1202,1,-1.0,1208
1239,1,-1.0,1290
1240,1,-1.0,1292
1203,1,-1.0,1210
1425,1,-1.0,1500
1241,1,-1.0,1294
1427,1,-1.0,1504
1242,1,-1.0,1296
1429,1,-1.0,1508
1243,1,-1.0,1298
1430,1,-1.0,1510
1431,1,-1.0,1512
1244,1,-1.0,1300
1432,1,-1.0,1514
1245,1,-1.0,1302
1437,1,-1.0,1522
1246,1,-1.0,1304
1440,1,-1.0,1527
1247,1,-1.0,1306
1447,1,-1.0,1537
1248,1,-1.0,1308
1453,1,-1.0,1545
1249,1,-1.0,1310
1204,1,-1.0,1212
1637,1,-1.0,1680
1639,1,-1.0,1684
1374,1,-1.0,1408
1640,1,-1.0,1687
1642,1,-1.0,1691
1375,1,-1.0,1411
1458,1,1.0,1226
1459,1,1.0,1227
1258,1,-1.0,1312
1460,1,1.0,1226
1461,1,1.0,1227
1259,1,-1.0,1314
1205,1,-1.0,1214
1260,1,-1.0,1316
1463,1,-1.0,1559
1464,1,-1.0,1561
1727,1,-1.0,1795
1465,1,-1.0,1563
1261,1,-1.0,1318
1466,1,-1.0,1565
1730,1,-1.0,1800
1467,1,-1.0,1567
1262,1,-1.0,1320
1468,1,-1.0,1569
1732,1,-1.0,1804
1469,1,-1.0,1571
1263,1,-1.0,1322
1735,1,-1.0,1809
1470,1,-1.0,1573
1738,1,-1.0,1814
1471,1,-1.0,1575
1741,1,-1.0,1819
1472,1,-1.0,1577
1264,1,-1.0,1324
1206,1,-1.0,1216
1265,1,-1.0,1326
1479,1,-1.0,1589
1266,1,-1.0,1328
1481,1,-1.0,1593
1267,1,-1.0,1330
1483,1,-1.0,1597
1268,1,-1.0,1332
1485,1,-1.0,1601
1269,1,-1.0,1334
1487,1,-1.0,1605
1270,1,-1.0,1336
1489,1,-1.0,1609
1271,1,-1.0,1338
1491,1,-1.0,1613
1272,1,-1.0,1340
1493,1,-1.0,1617
1273,1,-1.0,1342
1207,1,-1.0,1218
1191,1,-1.0,1194
1973,1,-1.0,2004
1974,1,-1.0,2006
1975,1,-1.0,2008
1976,1,-1.0,2010
1977,1,-1.0,2012
1978,1,-1.0,2014
1949,1,-1.0,1953
1979,1,-1.0,2016
1980,1,-1.0,2018
1981,1,-1.0,2020
1982,1,-1.0,2022
1983,1,-1.0,2024
1984,1,-1.0,2026
1985,1,-1.0,2028
1986,1,-1.0,2030
1987,1,-1.0,2032
1988,1,-1.0,2034
1989,1,-1.0,2036
1990,1,-1.0,2038
1991,1,-1.0,2040
1992,1,-1.0,2042
1993,1,-1.0,2044
1994,1,-1.0,2046
1950,1,-1.0,1955
1995,1,-1.0,2048
1996,1,-1.0,2050
1997,1,-1.0,2052
1998,1,-1.0,2054
1999,1,-1.0,2056
2000,1,-1.0,2058
1951,1,-1.0,1957
2001,1,-1.0,2060
2002,1,-1.0,2062
2003,1,-1.0,2064
1952,1,-1.0,1959
1945,1,-1.0,1946
2291,1,-1.0,2311
2292,1,-1.0,2313
2293,1,-1.0,2315
2294,1,-1.0,2317
2295,1,-1.0,2319
2296,1,-1.0,2321
2297,1,-1.0,2323
2298,1,-1.0,2325
2299,1,-1.0,2327
2300,1,-1.0,2329
2301,1,-1.0,2331
2302,1,-1.0,2333
2303,1,-1.0,2335
2304,1,-1.0,2337
2305,1,-1.0,2339
2306,1,-1.0,2341
2343,1,1.0,2286
2307,1,-1.0,2347
2402,1,1.0,2286
2382,1,-1.0,2347
2281,1,-1.0,2282
2416,1,-1.0,2418
2417,1,-1.0,2420
2434,1,-1.0,2437
2447,1,-1.0,2452
2448,1,-1.0,2454
2435,1,-1.0,2439
2449,1,-1.0,2456
2473,1,-1.0,2483
2450,1,-1.0,2458
2436,1,-1.0,2441
2430,1,-1.0,2431
2500,1,-1.0,2505
2501,1,-1.0,2507
2522,1,-1.0,2541
2523,1,-1.0,2543
2524,1,-1.0,2545
2525,1,-1.0,2547
2526,1,-1.0,2549
2527,1,-1.0,2551
2528,1,-1.0,2553
2529,1,-1.0,2555
2530,1,-1.0,2557
2502,1,-1.0,2509
2531,1,-1.0,2559
2532,1,-1.0,2561
2533,1,-1.0,2563
2503,1,-1.0,2511
2534,1,-1.0,2565
2535,1,-1.0,2567
2536,1,-1.0,2569
2504,1,-1.0,2513
2494,1,-1.0,2496
2757,1,-1.0,2791
2758,1,-1.0,2793
2713,1,-1.0,2724
2922,1,-1.0,2979
2759,1,-1.0,2795
2760,1,-1.0,2797
2926,1,-1.0,2985
2761,1,-1.0,2799
2762,1,-1.0,2801
2714,1,-1.0,2726
2763,1,-1.0,2803
2931,1,-1.0,2994
2764,1,-1.0,2805
2765,1,-1.0,2807
2715,1,-1.0,2728
2766,1,-1.0,2809
2767,1,-1.0,2811
2768,1,-1.0,2813
2769,1,-1.0,2815
2770,1,-1.0,2817
2771,1,-1.0,2819
2716,1,-1.0,2730
2772,1,-1.0,2821
2717,1,-1.0,2732
2773,1,-1.0,2823
2718,1,-1.0,2734
2774,1,-1.0,2825
2719,1,-1.0,2736
2775,1,-1.0,2827
2776,1,-1.0,2829
2777,1,-1.0,2831
2720,1,-1.0,2738
2778,1,-1.0,2833
2779,1,-1.0,2835
2780,1,-1.0,2837
2781,1,-1.0,2839
2721,1,-1.0,2740
2782,1,-1.0,2841
2783,1,-1.0,2843
2784,1,-1.0,2845
2722,1,-1.0,2742
2785,1,-1.0,2847
2786,1,-1.0,2849
2787,1,-1.0,2851
2788,1,-1.0,2853
2789,1,-1.0,2855
2790,1,-1.0,2857
2723,1,-1.0,2744
2707,1,-1.0,2709
3159,1,-1.0,3161
3160,1,-1.0,3163
3155,1,-1.0,3156
3151,1,-1.0,3152
3071,1,-1.0,3073
3066,1,-1.0,3067
3061,1,-1.0,3062
3091,1,-1.0,3093
3086,1,-1.0,3087
3081,1,-1.0,3082
3111,1,-1.0,3113
3106,1,-1.0,3107
3101,1,-1.0,3102
3127,1,-1.0,3130
3128,1,-1.0,3132
