src,dst
493,883
1390,2803
308,1613
942,2064
2511,618
981,2823
1624,1959
514,2505
368,1318
440,2048
556,2044
2482,805
2556,1342
492,1613
2282,2805
2047,1326
2996,329
2323,177
1380,1298
2658,1332
1512,126
1943,2054
2216,1537
1192,70
1393,1214
2569,554
2025,2054
306,1680
589,548
890,2439
1165,256
1784,1508
185,635
1223,2849
971,2849
909,2561
1787,2048
1108,330
234,1800
196,2742
1833,2010
2419,1545
1338,618
644,2319
402,17
2676,2347
379,2817
1366,2509
2854,1300
622,1809
2499,2034
2045,2815
2811,1338
2334,2311
2331,2012
1142,803
2080,1208
434,2821
1574,2709
1542,2791
2177,2829
660,3130
440,2994
2582,2050
2338,3107
1230,1661
2431,2730
446,70
1644,1522
178,2853
2881,2454
84,1318
2576,2709
2254,2849
391,618
3011,1953
2810,1613
399,2557
823,2744
2551,580
1082,1545
2680,1320
39,1508
365,1285
1389,1328
2867,2742
1433,613
247,2841
2702,2317
2063,1617
2046,1300
418,331
2321,1065
2655,2829
2453,1617
459,1322
473,2817
2387,878
2546,613
2979,2044
663,2054
329,2541
693,801
1538,2513
549,881
1183,875
1403,1133
1855,1565
279,1216
806,643
143,2335
2251,2805
1972,1322
2696,1589
3010,2797
1320,2837
285,2319
1861,185
61,1296
99,2555
1780,2809
316,328
1763,2418
204,3161
9,2793
452,803
1093,2347
1103,1314
2709,2849
2702,873
2592,1559
533,1342
1047,639
118,1324
1820,556
1511,1643
421,2845
232,2833
1502,1605
2489,580
187,2511
419,2024
499,1328
804,1500
1385,2833
290,2823
432,1411
1399,1194
3054,2543
3057,1537
842,2483
821,2979
438,2331
295,1045
2553,1691
1183,2811
942,2313
78,1194
1417,1593
754,17
1780,2801
2191,2799
1876,1959
2225,1314
1932,2321
722,2849
1834,529
1095,2511
1811,1322
878,2439
3100,889
1098,1326
1142,1510
1786,2557
2440,1334
2407,2331
2811,1308
1600,2557
2572,1411
1516,2543
3054,643
1194,529
2146,18
699,1575
1005,189
639,1809
1859,168
1217,2509
1312,1316
1556,2024
458,2827
3072,2740
1415,630
871,803
1502,2855
957,1048
2242,803
1292,3073
947,2004
207,2038
3087,647
2381,2006
1138,2803
2565,1500
320,168
1186,1214
741,334
2443,2418
1546,2018
2356,868
2458,1208
104,1575
297,2437
918,382
342,2557
703,2724
1600,3102
1072,2557
3140,809
690,1514
177,2018
98,1617
1325,2841
672,627
809,2282
450,1214
2206,886
1816,1563
1624,1687
928,3152
394,582
384,613
2016,1575
1524,2744
2009,2062
2822,1334
379,3107
1911,552
388,1609
1623,2026
2287,2431
43,2439
1907,2064
284,2742
301,2801
1647,2793
3150,886
1676,2795
2747,333
2093,1208
248,2839
496,630
1589,2341
1630,330
491,1537
892,1522
552,2839
2010,815
2985,562
3079,2327
1101,2317
2082,1955
628,881
2992,2496
992,1510
110,1819
1877,1294
1588,1308
195,2014
573,647
2017,643
2492,2038
1215,1691
548,2008
2015,871
375,2845
3040,2454
1235,529
1167,2483
3012,633
2071,2034
495,1320
245,2030
947,189
398,1569
1407,2555
77,333
648,1661
293,3163
1252,1133
2378,3113
10,1133
3087,177
1686,2738
1502,2315
2241,1324
2811,2418
3070,1504
2474,331
2063,2819
1139,1575
2289,2851
2975,3161
483,2317
349,2032
2249,2744
2209,2513
2094,1210
2062,2563
3163,889
1413,3102
2814,580
1255,2016
3072,1310
108,645
918,2282
2420,645
2756,2347
1227,2012
687,2030
137,2847
1002,2732
2887,2513
1233,3067
1961,548
223,2557
635,1292
2074,2311
193,256
3115,1601
1366,2847
2569,1312
1029,3082
1107,562
2342,224
674,2016
385,331
2132,1336
1497,1318
618,329
965,1559
133,189
1406,18
2183,1342
2429,1324
1598,2726
1403,1691
2691,275
1256,1573
2558,2985
679,868
2664,2058
2997,1809
1769,550
1529,537
2999,2821
2075,1561
33,2317
1287,1290
661,2022
1688,2034
1135,1691
2675,1314
124,550
248,618
1288,558
1878,2311
31,2561
229,1210
872,2821
329,2730
2173,2811
1310,1294
2330,256
2538,2736
1592,2313
1512,2817
1278,2827
16,1330
2230,643
1923,1312
1349,2325
2496,1324
204,1567
3001,1312
878,2042
2751,529
1411,1559
1357,1300
3047,1302
3164,2046
2335,1227
1516,2014
643,1800
2912,1559
790,2841
1235,621
1188,2817
573,1504
2484,3152
1358,2010
1097,1208
1105,627
3055,1332
209,1342
952,550
10,878
447,803
1562,889
1322,1565
239,2038
2983,335
2011,1609
517,2341
1151,1617
612,2726
1507,805
1115,1613
1820,2441
1200,2441
2975,576
1393,1320
58,2799
2872,2022
1215,630
2732,647
1420,2431
1059,3073
690,2837
1592,2843
911,382
634,1957
2914,185
874,1326
2190,330
2561,2827
289,1508
731,2026
900,1601
1282,177
2874,2010
746,2837
1316,3113
37,1597
73,809
1547,1300
2182,2439
565,560
989,1957
275,641
2804,2331
428,635
2347,2740
1766,1332
2007,2797
1220,2825
2731,2541
2080,2855
911,1302
257,1589
2042,1691
1218,892
884,2843
2740,1522
161,2985
2844,1680
997,168
176,2811
2259,124
3036,3067
1627,2052
1500,2847
2380,2012
1839,2507
301,1537
1384,2817
1546,2042
1165,2736
1222,1809
356,3107
1925,580
2642,875
2087,18
2464,875
2673,2557
1094,2337
1669,224
2801,892
2008,2325
2710,2026
1306,2323
3146,2509
2075,2511
1515,895
564,17
1376,2024
2172,2441
11,1310
1439,126
591,2333
1043,2034
1313,2286
1089,778
2546,2732
443,1310
478,2827
3042,2837
150,786
443,1609
335,2062
1157,1512
1436,2839
696,1304
1740,2311
2546,2726
1681,2561
2662,83
2403,889
1862,2795
319,1680
176,1322
2845,1522
2239,2823
471,330
520,2439
110,177
1523,2347
2859,1569
2455,1573
2206,3144
2081,2807
1681,3144
558,2052
1514,809
1007,2979
2403,2823
1166,2724
264,2827
1613,2744
170,2837
1645,2541
1800,2839
646,2048
1775,2032
1072,2010
2458,1342
3024,1290
763,641
555,2325
1253,2553
2477,2327
2104,2054
927,2441
193,868
146,2841
1536,2557
1094,1324
1634,1567
208,2315
146,2064
3078,2036
1358,2791
3088,2736
291,2483
638,889
2669,2847
1830,2843
3140,2496
2986,1332
486,331
764,1302
2318,2853
3165,578
673,2831
1554,177
991,1208
724,2038
1930,1537
394,329
1117,552
664,578
1371,2851
2690,2483
2895,382
1784,2339
2231,2315
2277,2030
2392,1512
2641,1957
1059,1290
1502,2347
208,805
1363,185
1617,1292
2208,1800
381,815
523,635
1608,3163
1420,2985
2587,1609
123,3144
402,2022
2072,643
2368,1593
3165,2418
285,1577
76,2569
1209,2513
697,3130
1434,2805
2005,2313
2506,1661
1396,1567
9,3163
1112,2418
