src,same_file,jaccard_val,dst
1247,1,-1,1290
1423,0,-1,2022
712,0,-1,1065
3066,0,-1,560
864,0,0.0,17
2379,1,-1,2339
481,0,-1,2847
1844,0,-1,871
2299,0,-1,2058
2786,0,-1,1310
2633,0,-1,1065
1793,0,-1,548
2774,0,-1,1691
2620,0,-1,1218
2299,0,-1,2549
2307,0,-1,1527
481,0,-1,2549
2120,0,-1,548
652,0,-1,2431
472,0,-1,1310
777,0,-1,2831
2928,0,-1,256
861,1,-1,889
1431,0,-1,2062
1051,0,-1,2004
852,0,-1,3062
2120,0,-1,1292
2526,0,-1,1537
848,0,-1,1308
1637,0,-1,83
1746,0,-1,2044
2615,0,-1,2709
850,0,-1,2543
2719,0,-1,1953
1289,1,-1,1330
859,1,-1,809
711,0,-1,1684
853,0,-1,2559
1708,0,-1,2817
1469,0,0.0,331
3143,0,-1,2555
1033,0,-1,1304
1470,0,-1,2732
1130,0,-1,2561
1952,0,-1,83
1486,0,-1,2857
1891,1,-1,1408
1747,0,-1,2803
2613,0,0.0,382
2521,0,-1,1322
2607,0,-1,2058
2349,0,-1,1306
1464,0,-1,803
657,0,-1,801
2500,0,-1,2831
2948,0,-1,2014
3052,0,-1,1300
710,0,0.0,124
2955,0,-1,1194
717,0,-1,1601
2363,0,-1,2555
2942,0,-1,639
1130,1,-1,803
838,0,-1,613
2521,0,-1,784
201,0,-1,1691
313,0,-1,627
538,0,-1,2553
800,0,-1,2738
2936,0,-1,1316
2109,0,-1,2547
2631,0,0.0,332
932,0,-1,1953
1629,0,-1,817
2502,0,-1,883
2533,0,-1,1561
1750,0,-1,2545
2935,0,-1,1308
218,0,-1,550
1714,0,-1,2855
1984,0,-1,2813
912,1,-1,805
1847,0,-1,621
1265,1,-1,1214
2949,0,0.0,329
2603,0,-1,3082
2722,0,-1,1537
1203,1,-1,1316
1429,0,-1,892
2627,0,-1,2431
717,0,-1,1955
793,0,0.0,70
2786,1,-1,2823
1264,1,-1,1218
1375,0,-1,2567
1431,0,-1,641
1206,0,-1,2567
2625,0,-1,2857
2946,0,-1,1302
1998,0,-1,1571
2773,0,-1,2565
2170,0,-1,2282
2154,0,-1,1294
1841,0,-1,2547
2521,0,-1,185
2527,0,-1,2032
55,0,0.0,335
860,0,-1,3087
838,0,-1,3062
606,0,-1,2054
2472,0,-1,2054
855,0,0.0,332
1034,0,-1,2730
2435,0,-1,2317
1896,0,-1,2726
2967,0,0.0,2286
2503,0,-1,1290
313,0,-1,1330
2930,0,-1,2545
1704,0,-1,2744
2787,0,-1,2335
2297,0,-1,1617
717,0,-1,1809
2615,0,-1,1065
2156,0,-1,3161
3127,0,0.0,330
1459,0,-1,778
546,1,-1,550
1206,0,-1,878
2941,0,-1,3130
2622,0,-1,2797
1016,0,-1,2545
2606,0,-1,805
1890,0,-1,556
1144,0,-1,1545
862,0,-1,1573
271,0,-1,2038
598,0,-1,2050
2502,0,-1,2744
1719,0,-1,2024
655,0,-1,2056
2469,0,-1,2569
1999,0,-1,1300
2529,0,-1,1575
1458,0,-1,2815
2369,0,-1,1684
1124,1,-1,875
2135,0,0.0,70
1841,0,-1,2319
1425,0,-1,2799
2924,0,-1,3073
2534,0,-1,1212
2940,0,-1,635
2775,0,0.0,125
3066,0,-1,2843
2363,0,0.0,126
793,0,-1,1324
717,0,-1,1512
1894,0,-1,3107
1437,0,-1,2847
600,0,-1,2036
2165,0,-1,878
859,0,-1,1310
1283,0,-1,2418
606,0,-1,2825
1995,0,-1,224
3143,0,-1,2010
55,0,-1,2064
2956,0,-1,635
2765,0,-1,2439
1706,0,0.0,2491
8,0,-1,2803
1744,1,-1,1300
2473,0,0.0,275
2715,0,-1,2010
2473,0,-1,2793
2778,0,-1,2505
2533,0,-1,1959
2614,0,-1,3144
2955,1,-1,2821
2435,1,-1,2441
2935,0,-1,2331
603,0,-1,1214
2351,0,-1,2505
1717,0,-1,2012
1425,0,0.0,537
2963,0,-1,1218
3101,0,-1,881
1033,0,-1,1324
1471,0,-1,2728
840,0,-1,1300
2637,0,-1,1575
715,0,-1,2333
1641,1,-1,1300
2304,0,0.0,2491
932,0,-1,1290
2969,0,-1,1065
2617,0,-1,1308
1448,0,-1,2483
2948,0,-1,1545
2933,0,-1,1342
2530,0,-1,2813
1978,0,0.0,382
1587,0,-1,3062
1011,0,-1,2740
480,0,0.0,125
1484,0,-1,2282
2933,0,-1,578
1951,0,-1,1332
3128,0,-1,1819
1586,0,-1,817
719,0,-1,1800
3135,0,-1,2825
2121,0,-1,1332
2534,0,0.0,537
2722,0,-1,2022
1262,0,0.0,2286
2304,0,-1,2849
1428,0,-1,2431
1479,0,0.0,126
1951,0,-1,2337
847,0,-1,2734
1882,1,-1,1504
1052,0,-1,2740
543,0,-1,2048
1478,0,-1,2044
2762,0,-1,2034
3081,1,-1,3093
1427,0,-1,2825
543,1,-1,624
2713,0,-1,1537
2111,0,-1,633
2938,0,-1,1617
2962,0,-1,3113
1732,0,-1,805
1270,0,-1,1065
2292,0,-1,1589
1752,0,-1,633
1996,0,-1,2815
3066,0,-1,2420
2473,0,-1,2319
2637,0,-1,558
1709,1,-1,1795
2762,0,-1,1691
1983,0,-1,3087
1261,0,-1,2555
1261,1,-1,1300
2779,0,-1,2006
3172,0,-1,2327
2003,0,-1,224
2001,0,-1,889
1237,0,-1,2458
2120,0,-1,1330
2766,0,-1,578
2618,0,-1,1561
2305,0,-1,3093
2932,0,-1,1210
1808,1,-1,1537
2294,0,-1,1296
1491,0,-1,2811
167,0,-1,2513
2634,0,-1,2347
415,0,-1,2311
851,1,-1,784
1841,0,-1,2006
3170,0,0.0,18
718,0,-1,1334
2773,0,-1,1804
1705,0,-1,2026
1485,0,-1,784
713,0,-1,3067
599,0,-1,3093
1009,0,-1,637
2528,0,-1,2809
2125,0,-1,1212
1429,0,-1,2797
2295,0,-1,621
546,0,-1,2807
1741,0,-1,3144
1206,0,-1,2549
603,0,-1,2319
847,0,-1,2064
2952,0,-1,1328
3172,0,-1,2020
2773,1,-1,2853
1586,0,-1,256
851,0,-1,1504
857,0,-1,1617
1992,0,-1,643
2717,0,-1,2006
1465,0,-1,2511
1557,1,-1,1561
2786,0,-1,1065
2960,0,-1,2458
3091,0,-1,2817
2375,0,-1,1957
1479,0,-1,3144
544,0,-1,2541
1587,0,-1,641
2361,0,-1,2813
1483,1,-1,1512
1708,1,-1,1597
2956,0,-1,2555
