id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,5,0,5,45,packages\mochawesome\addContext.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,5,0,5,44,packages\mochawesome\addContext.js,0,1
4,MemberExpression,nan,-1,-1,-1,5,0,5,14,packages\mochawesome\addContext.js,0,2
5,CallExpression,nan,1,-1,-1,5,17,5,44,packages\mochawesome\addContext.js,0,3
7,Identifier,require,-1,-1,-1,5,17,5,24,packages\mochawesome\addContext.js,0,4
8,Program,nan,-1,-1,-1,7,0,7,43,packages\mochawesome\register.js,0,5
10,AssignmentExpression,nan,-1,-1,-1,7,0,7,42,packages\mochawesome\register.js,0,6
11,MemberExpression,nan,-1,-1,-1,7,0,7,14,packages\mochawesome\register.js,0,7
12,CallExpression,nan,1,-1,-1,7,17,7,42,packages\mochawesome\register.js,0,8
14,Identifier,require,-1,-1,-1,7,17,7,24,packages\mochawesome\register.js,0,9
15,Program,nan,-1,-1,-1,1,0,135,28,packages\mochawesome\src\addContext.js,0,10
16,VariableDeclaration,nan,-1,-1,-1,1,0,1,44,packages\mochawesome\src\addContext.js,0,11
17,VariableDeclaration,nan,-1,-1,-1,2,0,2,42,packages\mochawesome\src\addContext.js,0,12
18,VariableDeclaration,nan,-1,-1,-1,3,0,3,31,packages\mochawesome\src\addContext.js,0,13
19,VariableDeclaration,nan,-1,-1,-1,4,0,4,49,packages\mochawesome\src\addContext.js,0,14
20,VariableDeclaration,nan,-1,-1,-1,6,0,6,44,packages\mochawesome\src\addContext.js,0,15
21,VariableDeclaration,nan,-1,-1,-1,7,0,19,2,packages\mochawesome\src\addContext.js,0,16
22,FunctionDeclaration,nan,-1,2,0,26,0,33,1,packages\mochawesome\src\addContext.js,0,17
23,FunctionDeclaration,nan,-1,1,1,35,0,48,1,packages\mochawesome\src\addContext.js,0,18
24,VariableDeclaration,nan,-1,-1,-1,79,0,133,2,packages\mochawesome\src\addContext.js,0,19
26,Identifier,log,-1,-1,-1,26,9,26,12,packages\mochawesome\src\addContext.js,0,20
27,Identifier,msg,-1,-1,-1,26,13,26,16,packages\mochawesome\src\addContext.js,0,21
28,Identifier,level,-1,-1,-1,26,18,26,23,packages\mochawesome\src\addContext.js,0,22
30,BlockStatement,nan,-1,-1,-1,26,25,33,1,packages\mochawesome\src\addContext.js,0,23
31,Identifier,_isValidContext,-1,-1,-1,35,9,35,24,packages\mochawesome\src\addContext.js,0,24
32,Identifier,ctx,-1,-1,-1,35,25,35,28,packages\mochawesome\src\addContext.js,0,25
34,BlockStatement,nan,-1,-1,-1,35,30,48,1,packages\mochawesome\src\addContext.js,0,26
35,AssignmentExpression,nan,-1,-1,-1,135,0,135,27,packages\mochawesome\src\addContext.js,0,27
36,VariableDeclaration,nan,-1,-1,-1,27,2,27,50,packages\mochawesome\src\addContext.js,0,28
37,VariableDeclaration,nan,-1,-1,-1,28,2,28,16,packages\mochawesome\src\addContext.js,0,29
38,IfStatement,nan,-1,-1,-1,29,2,31,3,packages\mochawesome\src\addContext.js,0,30
40,IfStatement,nan,-1,-1,-1,41,2,41,25,packages\mochawesome\src\addContext.js,0,31
41,ReturnStatement,nan,1,-1,-1,42,2,47,4,packages\mochawesome\src\addContext.js,0,32
42,MemberExpression,nan,-1,-1,-1,135,0,135,14,packages\mochawesome\src\addContext.js,0,33
43,Identifier,addContext,-1,-1,-1,135,17,135,27,packages\mochawesome\src\addContext.js,0,34
44,BlockStatement,nan,-1,-1,-1,29,31,31,3,packages\mochawesome\src\addContext.js,0,35
46,CallExpression,nan,1,-1,-1,32,2,32,54,packages\mochawesome\src\addContext.js,0,36
47,ReturnStatement,nan,1,-1,-1,41,12,41,25,packages\mochawesome\src\addContext.js,0,37
48,UnaryExpression,nan,1,-1,-1,41,6,41,10,packages\mochawesome\src\addContext.js,0,38
49,LogicalExpression,nan,-1,-1,-1,43,4,46,47,packages\mochawesome\src\addContext.js,0,39
51,UnaryExpression,nan,1,-1,-1,29,6,29,16,packages\mochawesome\src\addContext.js,0,40
53,TemplateLiteral,nan,-1,-1,-1,32,12,32,53,packages\mochawesome\src\addContext.js,0,41
54,Identifier,logMethod,-1,-1,-1,32,2,32,11,packages\mochawesome\src\addContext.js,0,42
