src,same_file,jaccard_val,dst
192,1,-1,258
192,1,-1,263
192,1,-1,274
192,1,-1,280
192,1,-1,293
61,1,-1,80
62,1,-1,82
37,1,-1,43
63,1,-1,84
64,1,-1,86
38,1,-1,45
65,1,-1,88
198,1,-1,258
198,1,-1,263
198,1,-1,274
198,1,-1,280
198,1,-1,293
66,1,-1,90
67,1,-1,92
68,1,-1,94
342,1,-1,367
204,1,-1,249
347,1,-1,376
205,1,-1,251
69,1,-1,96
70,1,-1,98
39,1,-1,47
71,1,-1,100
72,1,-1,102
73,1,-1,104
74,1,-1,106
75,1,-1,108
76,1,-1,110
40,1,-1,49
77,1,-1,112
41,1,-1,51
220,1,-1,295
78,1,-1,114
221,1,-1,297
79,1,-1,116
42,1,-1,53
