src,dst
97,94
256,90
246,110
303,45
15,43
432,274
268,102
60,82
319,96
389,88
391,293
29,263
57,295
131,47
126,258
186,47
92,112
116,251
139,43
12,251
185,116
187,274
280,112
234,45
27,98
380,96
10,297
154,98
298,114
430,295
96,112
129,51
138,295
394,92
1,82
166,295
346,47
373,98
118,104
299,53
49,80
332,280
184,114
335,108
9,100
178,116
249,106
25,51
112,367
229,106
59,82
295,297
158,106
34,274
385,367
169,263
318,43
244,104
244,80
16,110
251,13
329,90
239,86
188,90
432,45
418,367
109,106
276,367
142,51
420,45
303,376
346,45
278,98
313,112
264,100
301,94
308,88
179,251
237,47
367,86
429,367
411,376
47,263
23,49
265,92
149,94
144,100
326,13
435,293
253,53
267,90
346,376
84,110
260,263
23,293
153,80
107,98
82,13
325,263
161,376
433,84
102,293
336,82
134,104
149,295
385,376
14,80
277,280
84,297
433,102
316,98
441,43
119,293
295,116
80,249
3,90
271,88
58,102
53,96
81,376
239,13
296,102
30,43
315,90
85,116
316,80
249,45
117,98
185,47
418,98
225,110
376,106
184,84
136,90
155,80
319,249
371,102
301,92
225,106
159,108
372,297
10,98
246,45
147,106
158,367
371,293
189,258
237,53
163,43
292,86
183,112
95,280
270,13
148,43
230,114
296,258
244,108
151,280
332,110
297,249
393,90
173,82
237,90
18,367
384,53
388,258
164,116
406,293
26,84
47,108
234,84
248,280
96,86
302,249
280,376
225,96
379,49
225,100
239,376
384,53
230,13
137,295
143,49
339,92
52,104
420,96
300,367
96,367
93,376
110,96
121,47
397,96
55,47
56,102
419,53
418,297
162,96
316,251
269,100
91,376
333,110
161,367
188,47
302,13
147,251
168,86
275,251
104,90
126,114
390,13
135,258
256,49
182,80
178,263
332,102
183,104
177,251
172,263
304,92
225,297
189,80
105,51
290,258
36,84
118,51
83,376
258,51
309,86
372,82
146,114
18,108
306,98
3,112
251,82
276,104
59,45
391,94
269,110
97,251
187,82
398,47
290,293
161,100
181,53
301,98
294,280
172,258
377,45
174,88
371,86
166,13
275,84
46,258
143,297
243,92
147,13
264,104
410,49
289,45
36,258
150,274
145,297
369,116
277,94
435,43
415,295
274,45
436,295
175,249
383,112
399,100
442,367
309,47
230,116
312,92
248,104
45,108
134,80
372,258
91,80
315,13
103,100
434,94
401,53
265,96
150,96
159,47
158,112
281,114
130,96
98,49
318,258
21,110
180,45
332,53
2,13
273,297
45,53
179,88
417,86
139,251
164,100
317,106
180,274
168,295
81,82
56,90
104,45
420,280
321,98
322,80
1,274
34,112
236,47
164,376
134,293
285,263
264,51
261,251
132,295
135,51
87,367
373,104
288,112
275,102
335,94
287,84
367,47
297,295
383,116
88,104
274,51
402,367
97,295
423,49
11,367
370,249
410,376
170,84
325,43
404,114
103,376
279,293
17,90
287,263
