src,same_file,jaccard_val,dst
196,1,-1,82
354,1,-1,94
222,1,-1,110
366,1,-1,280
73,1,-1,112
66,1,-1,94
68,1,-1,108
206,1,-1,376
64,1,-1,100
217,1,-1,114
64,1,-1,249
348,1,-1,84
233,1,-1,94
38,1,-1,249
204,1,-1,108
75,1,-1,110
352,1,-1,100
202,1,-1,43
422,1,-1,104
38,1,-1,295
76,1,-1,106
211,1,-1,94
218,1,-1,274
42,1,-1,51
201,1,-1,88
232,1,-1,112
425,1,-1,251
192,1,-1,295
351,1,-1,80
193,1,-1,82
201,1,-1,96
66,1,-1,43
212,1,-1,53
215,1,-1,295
209,1,-1,47
365,0,-1,13
354,1,-1,45
349,1,-1,92
424,1,-1,251
247,0,-1,13
345,1,-1,104
