id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,5,0,97,21,packages\multipipe\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,5,0,5,37,packages\multipipe\index.js,1,1
3,VariableDeclaration,nan,-1,-1,-1,6,0,6,51,packages\multipipe\index.js,1,2
4,VariableDeclaration,nan,-1,-1,-1,7,0,7,51,packages\multipipe\index.js,1,3
5,VariableDeclaration,nan,-1,-1,-1,13,0,16,1,packages\multipipe\index.js,1,4
6,VariableDeclaration,nan,-1,-1,-1,28,0,91,1,packages\multipipe\index.js,1,5
8,AssignmentExpression,nan,-1,-1,-1,97,0,97,21,packages\multipipe\index.js,1,6
9,MemberExpression,nan,-1,-1,-1,97,0,97,14,packages\multipipe\index.js,1,7
10,Identifier,pipe,-1,-1,-1,97,17,97,21,packages\multipipe\index.js,1,8
11,Program,nan,-1,-1,-1,1,0,18,1,packages\multipipe\lib\merge-promise.js,0,9
13,VariableDeclaration,nan,-1,-1,-1,6,0,9,2,packages\multipipe\lib\merge-promise.js,0,10
16,AssignmentExpression,nan,-1,-1,-1,11,0,18,1,packages\multipipe\lib\merge-promise.js,0,11
17,MemberExpression,nan,-1,-1,-1,11,0,11,14,packages\multipipe\lib\merge-promise.js,0,12
18,ArrowFunctionExpression,nan,-1,2,1,11,17,18,1,packages\multipipe\lib\merge-promise.js,0,13
19,Identifier,stream,-1,-1,-1,11,18,11,24,packages\multipipe\lib\merge-promise.js,0,14
20,Identifier,createPromise,-1,-1,-1,11,26,11,39,packages\multipipe\lib\merge-promise.js,0,15
22,BlockStatement,nan,-1,-1,-1,11,44,18,1,packages\multipipe\lib\merge-promise.js,0,16
23,ForOfStatement,nan,-1,-1,-1,12,2,16,3,packages\multipipe\lib\merge-promise.js,0,17
24,ReturnStatement,nan,1,-1,-1,17,2,17,15,packages\multipipe\lib\merge-promise.js,0,18
25,VariableDeclaration,nan,-1,-1,-1,12,7,12,35,packages\multipipe\lib\merge-promise.js,0,19
26,Identifier,descriptors,-1,-1,-1,12,39,12,50,packages\multipipe\lib\merge-promise.js,0,20
27,BlockStatement,nan,-1,-1,-1,12,52,16,3,packages\multipipe\lib\merge-promise.js,0,21
28,Identifier,stream,-1,-1,-1,17,9,17,15,packages\multipipe\lib\merge-promise.js,0,22
29,VariableDeclaration,nan,-1,-1,-1,13,4,14,60,packages\multipipe\lib\merge-promise.js,0,23
31,CallExpression,nan,3,-1,-1,15,4,15,70,packages\multipipe\lib\merge-promise.js,0,24
32,Identifier,stream,-1,-1,-1,15,27,15,33,packages\multipipe\lib\merge-promise.js,0,25
33,Identifier,property,-1,-1,-1,15,35,15,43,packages\multipipe\lib\merge-promise.js,0,26
34,ObjectExpression,nan,-1,-1,-1,15,45,15,69,packages\multipipe\lib\merge-promise.js,0,27
35,MemberExpression,nan,-1,-1,-1,15,4,15,26,packages\multipipe\lib\merge-promise.js,0,28
36,Program,nan,-1,-1,-1,3,0,264,2,packages\multipipe\test\multipipe.js,1,29
37,VariableDeclaration,nan,-1,-1,-1,3,0,3,32,packages\multipipe\test\multipipe.js,1,30
38,VariableDeclaration,nan,-1,-1,-1,4,0,4,26,packages\multipipe\test\multipipe.js,1,31
39,VariableDeclaration,nan,-1,-1,-1,5,0,5,32,packages\multipipe\test\multipipe.js,1,32
40,VariableDeclaration,nan,-1,-1,-1,6,0,6,35,packages\multipipe\test\multipipe.js,1,33
41,VariableDeclaration,nan,-1,-1,-1,8,0,15,1,packages\multipipe\test\multipipe.js,1,34
42,VariableDeclaration,nan,-1,-1,-1,17,0,23,1,packages\multipipe\test\multipipe.js,1,35
43,VariableDeclaration,nan,-1,-1,-1,25,0,33,1,packages\multipipe\test\multipipe.js,1,36
50,CallExpression,nan,2,-1,-1,35,0,45,2,packages\multipipe\test\multipipe.js,1,37
51,CallExpression,nan,2,-1,-1,47,0,60,2,packages\multipipe\test\multipipe.js,1,38
52,CallExpression,nan,2,-1,-1,62,0,139,2,packages\multipipe\test\multipipe.js,1,39
53,CallExpression,nan,2,-1,-1,141,0,217,2,packages\multipipe\test\multipipe.js,1,40
54,CallExpression,nan,2,-1,-1,219,0,234,2,packages\multipipe\test\multipipe.js,1,41
55,CallExpression,nan,2,-1,-1,236,0,264,2,packages\multipipe\test\multipipe.js,1,42
57,ArrowFunctionExpression,nan,-1,0,0,35,19,45,1,packages\multipipe\test\multipipe.js,1,43
58,Identifier,describe,-1,-1,-1,35,0,35,8,packages\multipipe\test\multipipe.js,1,44
60,ArrowFunctionExpression,nan,-1,0,0,47,20,60,1,packages\multipipe\test\multipipe.js,1,45
61,Identifier,describe,-1,-1,-1,47,0,47,8,packages\multipipe\test\multipipe.js,1,46
63,ArrowFunctionExpression,nan,-1,0,0,62,26,139,1,packages\multipipe\test\multipipe.js,1,47
64,Identifier,describe,-1,-1,-1,62,0,62,8,packages\multipipe\test\multipipe.js,1,48
66,ArrowFunctionExpression,nan,-1,0,0,141,30,217,1,packages\multipipe\test\multipipe.js,1,49
67,Identifier,describe,-1,-1,-1,141,0,141,8,packages\multipipe\test\multipipe.js,1,50
69,ArrowFunctionExpression,nan,-1,0,0,219,32,234,1,packages\multipipe\test\multipipe.js,1,51
70,Identifier,describe,-1,-1,-1,219,0,219,8,packages\multipipe\test\multipipe.js,1,52
72,ArrowFunctionExpression,nan,-1,0,0,236,32,264,1,packages\multipipe\test\multipipe.js,1,53
73,Identifier,describe,-1,-1,-1,236,0,236,8,packages\multipipe\test\multipipe.js,1,54
75,BlockStatement,nan,-1,-1,-1,35,25,45,1,packages\multipipe\test\multipipe.js,1,55
77,BlockStatement,nan,-1,-1,-1,47,26,60,1,packages\multipipe\test\multipipe.js,1,56
79,BlockStatement,nan,-1,-1,-1,62,32,139,1,packages\multipipe\test\multipipe.js,1,57
81,BlockStatement,nan,-1,-1,-1,141,36,217,1,packages\multipipe\test\multipipe.js,1,58
83,BlockStatement,nan,-1,-1,-1,219,38,234,1,packages\multipipe\test\multipipe.js,1,59
85,BlockStatement,nan,-1,-1,-1,236,38,264,1,packages\multipipe\test\multipipe.js,1,60
105,CallExpression,nan,2,-1,-1,36,2,38,4,packages\multipipe\test\multipipe.js,1,61
106,CallExpression,nan,2,-1,-1,39,2,44,4,packages\multipipe\test\multipipe.js,1,62
107,CallExpression,nan,2,-1,-1,48,2,52,4,packages\multipipe\test\multipipe.js,1,63
108,CallExpression,nan,2,-1,-1,53,2,59,4,packages\multipipe\test\multipipe.js,1,64
109,CallExpression,nan,2,-1,-1,63,2,65,4,packages\multipipe\test\multipipe.js,1,65
110,CallExpression,nan,2,-1,-1,67,2,71,4,packages\multipipe\test\multipipe.js,1,66
111,CallExpression,nan,2,-1,-1,73,2,77,4,packages\multipipe\test\multipipe.js,1,67
112,CallExpression,nan,2,-1,-1,79,2,86,4,packages\multipipe\test\multipipe.js,1,68
113,CallExpression,nan,2,-1,-1,88,2,129,4,packages\multipipe\test\multipipe.js,1,69
114,CallExpression,nan,2,-1,-1,130,2,138,4,packages\multipipe\test\multipipe.js,1,70
115,CallExpression,nan,2,-1,-1,142,2,155,4,packages\multipipe\test\multipipe.js,1,71
116,CallExpression,nan,2,-1,-1,157,2,171,4,packages\multipipe\test\multipipe.js,1,72
117,CallExpression,nan,2,-1,-1,173,2,184,4,packages\multipipe\test\multipipe.js,1,73
118,CallExpression,nan,2,-1,-1,186,2,198,4,packages\multipipe\test\multipipe.js,1,74
119,CallExpression,nan,2,-1,-1,200,2,208,4,packages\multipipe\test\multipipe.js,1,75
120,CallExpression,nan,2,-1,-1,210,2,216,4,packages\multipipe\test\multipipe.js,1,76
121,CallExpression,nan,2,-1,-1,220,2,233,4,packages\multipipe\test\multipipe.js,1,77
122,CallExpression,nan,2,-1,-1,237,2,249,4,packages\multipipe\test\multipipe.js,1,78
123,CallExpression,nan,2,-1,-1,251,2,263,4,packages\multipipe\test\multipipe.js,1,79
125,ArrowFunctionExpression,nan,-1,1,0,36,31,38,3,packages\multipipe\test\multipipe.js,1,80
126,Identifier,it,-1,-1,-1,36,2,36,4,packages\multipipe\test\multipipe.js,1,81
128,ArrowFunctionExpression,nan,-1,0,0,39,30,44,3,packages\multipipe\test\multipipe.js,1,82
129,Identifier,it,-1,-1,-1,39,2,39,4,packages\multipipe\test\multipipe.js,1,83
131,ArrowFunctionExpression,nan,-1,1,0,48,33,52,3,packages\multipipe\test\multipipe.js,1,84
132,Identifier,it,-1,-1,-1,48,2,48,4,packages\multipipe\test\multipipe.js,1,85
134,ArrowFunctionExpression,nan,-1,0,0,53,30,59,3,packages\multipipe\test\multipipe.js,1,86
135,Identifier,it,-1,-1,-1,53,2,53,4,packages\multipipe\test\multipipe.js,1,87
137,ArrowFunctionExpression,nan,-1,1,0,63,31,65,3,packages\multipipe\test\multipipe.js,1,88
138,Identifier,it,-1,-1,-1,63,2,63,4,packages\multipipe\test\multipipe.js,1,89
140,ArrowFunctionExpression,nan,-1,1,0,67,27,71,3,packages\multipipe\test\multipipe.js,1,90
141,Identifier,it,-1,-1,-1,67,2,67,4,packages\multipipe\test\multipipe.js,1,91
143,ArrowFunctionExpression,nan,-1,1,0,73,27,77,3,packages\multipipe\test\multipipe.js,1,92
144,Identifier,it,-1,-1,-1,73,2,73,4,packages\multipipe\test\multipipe.js,1,93
146,ArrowFunctionExpression,nan,-1,1,0,79,40,86,3,packages\multipipe\test\multipipe.js,1,94
147,Identifier,it,-1,-1,-1,79,2,79,4,packages\multipipe\test\multipipe.js,1,95
149,ArrowFunctionExpression,nan,-1,0,0,88,21,129,3,packages\multipipe\test\multipipe.js,1,96
150,Identifier,describe,-1,-1,-1,88,2,88,10,packages\multipipe\test\multipipe.js,1,97
152,ArrowFunctionExpression,nan,-1,0,0,130,30,138,3,packages\multipipe\test\multipipe.js,1,98
153,Identifier,it,-1,-1,-1,130,2,130,4,packages\multipipe\test\multipipe.js,1,99
155,ArrowFunctionExpression,nan,-1,1,0,142,30,155,3,packages\multipipe\test\multipipe.js,1,100
156,Identifier,it,-1,-1,-1,142,2,142,4,packages\multipipe\test\multipipe.js,1,101
158,ArrowFunctionExpression,nan,-1,1,0,157,36,171,3,packages\multipipe\test\multipipe.js,1,102
159,Identifier,it,-1,-1,-1,157,2,157,4,packages\multipipe\test\multipipe.js,1,103
161,ArrowFunctionExpression,nan,-1,1,0,173,31,184,3,packages\multipipe\test\multipipe.js,1,104
162,Identifier,it,-1,-1,-1,173,2,173,4,packages\multipipe\test\multipipe.js,1,105
164,ArrowFunctionExpression,nan,-1,1,0,186,42,198,3,packages\multipipe\test\multipipe.js,1,106
165,Identifier,it,-1,-1,-1,186,2,186,4,packages\multipipe\test\multipipe.js,1,107
167,ArrowFunctionExpression,nan,-1,1,0,200,30,208,3,packages\multipipe\test\multipipe.js,1,108
168,Identifier,it,-1,-1,-1,200,2,200,4,packages\multipipe\test\multipipe.js,1,109
170,ArrowFunctionExpression,nan,-1,1,0,210,53,216,3,packages\multipipe\test\multipipe.js,1,110
171,Identifier,it,-1,-1,-1,210,2,210,4,packages\multipipe\test\multipipe.js,1,111
173,ArrowFunctionExpression,nan,-1,1,0,220,30,233,3,packages\multipipe\test\multipipe.js,1,112
174,Identifier,it,-1,-1,-1,220,2,220,4,packages\multipipe\test\multipipe.js,1,113
176,ArrowFunctionExpression,nan,-1,1,0,237,33,249,3,packages\multipipe\test\multipipe.js,1,114
177,Identifier,it,-1,-1,-1,237,2,237,4,packages\multipipe\test\multipipe.js,1,115
179,ArrowFunctionExpression,nan,-1,1,0,251,31,263,3,packages\multipipe\test\multipipe.js,1,116
180,Identifier,it,-1,-1,-1,251,2,251,4,packages\multipipe\test\multipipe.js,1,117
181,Identifier,done,-1,-1,-1,36,31,36,35,packages\multipipe\test\multipipe.js,1,118
183,BlockStatement,nan,-1,-1,-1,36,39,38,3,packages\multipipe\test\multipipe.js,1,119
185,BlockStatement,nan,-1,-1,-1,39,36,44,3,packages\multipipe\test\multipipe.js,1,120
186,Identifier,done,-1,-1,-1,48,33,48,37,packages\multipipe\test\multipipe.js,1,121
188,BlockStatement,nan,-1,-1,-1,48,41,52,3,packages\multipipe\test\multipipe.js,1,122
190,BlockStatement,nan,-1,-1,-1,53,36,59,3,packages\multipipe\test\multipipe.js,1,123
191,Identifier,done,-1,-1,-1,63,31,63,35,packages\multipipe\test\multipipe.js,1,124
193,BlockStatement,nan,-1,-1,-1,63,39,65,3,packages\multipipe\test\multipipe.js,1,125
194,Identifier,done,-1,-1,-1,67,27,67,31,packages\multipipe\test\multipipe.js,1,126
196,BlockStatement,nan,-1,-1,-1,67,35,71,3,packages\multipipe\test\multipipe.js,1,127
197,Identifier,done,-1,-1,-1,73,27,73,31,packages\multipipe\test\multipipe.js,1,128
199,BlockStatement,nan,-1,-1,-1,73,35,77,3,packages\multipipe\test\multipipe.js,1,129
200,Identifier,done,-1,-1,-1,79,40,79,44,packages\multipipe\test\multipipe.js,1,130
202,BlockStatement,nan,-1,-1,-1,79,48,86,3,packages\multipipe\test\multipipe.js,1,131
204,BlockStatement,nan,-1,-1,-1,88,27,129,3,packages\multipipe\test\multipipe.js,1,132
206,BlockStatement,nan,-1,-1,-1,130,36,138,3,packages\multipipe\test\multipipe.js,1,133
207,Identifier,done,-1,-1,-1,142,30,142,34,packages\multipipe\test\multipipe.js,1,134
209,BlockStatement,nan,-1,-1,-1,142,38,155,3,packages\multipipe\test\multipipe.js,1,135
210,Identifier,done,-1,-1,-1,157,36,157,40,packages\multipipe\test\multipipe.js,1,136
212,BlockStatement,nan,-1,-1,-1,157,44,171,3,packages\multipipe\test\multipipe.js,1,137
213,Identifier,done,-1,-1,-1,173,31,173,35,packages\multipipe\test\multipipe.js,1,138
215,BlockStatement,nan,-1,-1,-1,173,39,184,3,packages\multipipe\test\multipipe.js,1,139
216,Identifier,done,-1,-1,-1,186,42,186,46,packages\multipipe\test\multipipe.js,1,140
218,BlockStatement,nan,-1,-1,-1,186,50,198,3,packages\multipipe\test\multipipe.js,1,141
219,Identifier,done,-1,-1,-1,200,30,200,34,packages\multipipe\test\multipipe.js,1,142
221,BlockStatement,nan,-1,-1,-1,200,38,208,3,packages\multipipe\test\multipipe.js,1,143
222,Identifier,done,-1,-1,-1,210,53,210,57,packages\multipipe\test\multipipe.js,1,144
