src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
3,8
3,9
3,10
4,11
4,12
4,13
5,14
5,15
5,16
5,17
6,18
6,19
7,22
7,23
7,24
7,25
7,26
10,27
13,28
17,29
17,30
17,31
17,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
20,40
20,41
21,42
21,43
26,44
27,45
28,46
29,47
29,48
31,49
31,50
32,51
41,52
41,53
44,54
44,55
45,56
45,57
45,58
46,59
46,60
47,61
48,62
48,63
53,64
53,65
53,66
55,67
55,68
62,69
67,72
69,73
70,75
70,76
71,77
71,78
74,79
76,80
76,81
82,83
82,84
82,85
82,86
82,87
88,95
88,96
89,97
89,98
90,99
90,100
91,101
91,102
92,103
92,104
93,105
93,106
94,107
94,108
95,109
95,110
97,111
97,112
99,113
99,114
101,115
101,116
103,117
103,118
105,119
105,120
107,121
107,122
110,123
110,124
112,125
112,126
114,127
114,128
116,129
116,130
116,131
118,132
118,133
120,134
120,135
120,136
122,137
130,144
130,145
130,146
133,149
133,150
133,151
135,153
135,154
135,155
138,160
138,161
138,162
139,163
139,164
139,165
140,166
141,167
142,168
143,169
143,170
143,171
146,172
147,173
147,174
147,175
148,176
151,177
152,178
155,179
155,180
156,181
156,182
156,183
157,184
158,185
158,186
159,187
159,188
161,189
161,190
161,191
164,192
164,193
164,194
170,195
170,196
170,197
172,198
174,201
174,202
174,203
177,204
179,207
182,211
182,212
182,213
185,214
185,215
187,216
198,217
199,219
200,220
200,221
204,222
205,224
206,225
206,226
207,227
208,229
209,230
209,231
210,232
210,233
217,243
220,244
222,248
222,249
225,250
227,251
230,252
234,257
234,258
235,259
235,260
236,261
237,262
237,263
238,264
238,265
239,266
240,267
240,268
241,269
241,270
242,271
245,272
245,273
246,274
246,275
247,276
248,277
253,278
253,279
254,280
254,281
255,282
256,283
259,284
264,285
269,286
274,288
280,292
287,295
287,296
289,297
289,298
290,299
290,300
291,301
295,302
295,303
297,304
297,305
299,306
302,307
304,308
309,310
309,311
309,312
313,314
313,315
314,316
314,317
317,318
317,319
317,320
321,322
321,323
322,324
325,327
325,328
325,329
326,330
