src,dst
74,314
22,101
86,107
327,174
316,161
52,101
282,225
50,174
192,95
284,103
201,161
327,164
305,103
229,170
249,105
15,5
149,130
184,161
77,5
144,101
61,135
150,174
324,322
312,225
57,95
60,220
207,4
67,220
283,185
281,41
307,4
11,130
207,135
250,230
150,105
167,170
98,4
173,322
54,174
300,220
115,170
244,97
305,130
24,95
307,322
131,107
106,164
100,135
61,5
98,103
249,185
23,3
279,41
309,170
117,101
39,322
35,225
214,95
271,103
13,164
38,95
69,4
104,161
105,174
72,182
316,5
144,95
77,103
260,5
52,3
163,170
118,135
132,103
28,95
39,182
176,97
229,130
81,41
296,5
230,174
190,170
84,95
190,220
298,3
220,174
135,164
315,41
307,4
221,174
136,174
8,314
244,41
244,164
14,7
40,105
193,3
131,230
219,7
112,182
62,161
175,230
314,133
251,107
132,174
306,3
123,174
145,225
13,230
25,130
69,314
192,133
63,95
315,7
294,103
262,105
192,225
184,107
149,220
23,225
74,3
108,130
155,170
27,225
154,170
57,164
20,170
108,185
207,230
172,182
153,220
169,220
292,7
288,220
324,41
298,164
178,314
278,99
263,185
323,182
29,105
250,220
49,161
79,4
37,3
224,185
17,185
149,230
202,164
198,103
203,97
70,97
57,220
151,101
99,107
288,230
49,182
42,161
8,314
73,185
263,105
18,135
175,230
97,95
162,161
149,41
173,95
208,174
167,170
136,95
66,41
229,4
223,170
44,220
34,5
19,130
301,314
201,7
228,322
121,314
114,105
277,174
13,5
243,182
137,161
2,41
330,135
60,135
160,164
170,103
120,133
220,161
31,220
133,7
16,3
107,103
102,3
107,185
199,101
30,225
1,185
175,103
21,107
96,105
173,225
311,133
231,97
145,101
191,95
268,3
281,161
5,101
20,99
310,4
203,99
34,107
166,170
60,4
260,135
77,3
164,107
80,220
308,95
266,97
63,5
320,185
172,103
176,322
260,95
20,220
67,7
136,161
203,97
296,107
226,101
43,230
20,130
50,3
308,105
163,41
40,135
9,135
32,135
124,220
191,230
9,99
23,99
192,3
11,103
284,99
1,107
323,182
102,225
112,105
173,4
70,130
276,185
224,4
232,5
34,3
72,230
149,322
212,135
230,133
136,41
172,103
221,101
5,185
