src,same_file,jaccard_val,dst
30,0,0.5,1619
30,1,-1.0,32
41,1,-1.0,42
73,0,0.5,1619
73,1,-1.0,82
52,0,0.5,1619
52,1,-1.0,55
53,1,-1.0,57
99,1,-1.0,100
112,0,0.5,1938
112,1,-1.0,116
113,1,-1.0,118
114,1,-1.0,120
141,0,0.5,1938
141,0,0.5,1775
141,0,0.5,1619
141,0,0.5,1457
141,0,0.5,1226
141,1,-1.0,148
142,1,-1.0,150
143,1,-1.0,152
144,1,-1.0,154
145,1,-1.0,156
146,1,-1.0,158
188,0,0.5,1938
188,0,0.5,1775
188,0,0.5,1619
188,0,0.5,1457
188,0,0.5,1226
188,1,-1.0,192
189,1,-1.0,194
190,1,-1.0,196
235,0,-1.0,1531
235,0,-1.0,1319
253,0,-1.0,1531
253,0,-1.0,1319
232,1,-1.0,237
255,0,-1.0,1531
255,0,-1.0,1319
233,1,-1.0,239
1088,0,0.0,1774
1088,0,-1.0,2665
1088,0,1.0,2523
1088,0,-1.0,192
1088,0,-1.0,148
1088,0,-1.0,2987
1017,0,0.0,1774
1017,0,-1.0,2665
1017,0,1.0,2523
1017,0,-1.0,192
1017,0,-1.0,148
1017,0,-1.0,2987
505,1,-1.0,618
1092,0,-1.0,1399
1021,0,-1.0,1399
508,1,-1.0,623
1096,1,-1.0,551
1097,1,-1.0,551
511,1,-1.0,628
1153,1,-1.0,551
1030,1,-1.0,551
514,1,1.0,275
911,1,-1.0,632
1034,1,-1.0,632
1176,1,-1.0,632
1156,1,-1.0,632
757,1,-1.0,916
391,1,-1.0,432
669,1,1.0,271
939,1,0.0,280
939,1,-1.0,551
939,0,0.0,1225
939,0,0.0,1618
939,0,0.0,1935
939,0,-1.0,2814
939,0,-1.0,2821
939,0,-1.0,2997
939,0,-1.0,3120
939,0,-1.0,2992
939,0,-1.0,2984
939,0,-1.0,55
939,0,-1.0,82
939,0,-1.0,32
939,0,-1.0,2311
939,0,-1.0,116
939,0,-1.0,3404
939,0,-1.0,3409
939,0,-1.0,3414
939,0,-1.0,3418
939,0,-1.0,148
939,0,-1.0,192
939,0,0.0,2523
939,0,-1.0,2987
553,1,-1.0,679
697,1,1.0,279
1003,1,1.0,286
868,1,1.0,285
871,1,1.0,285
874,1,1.0,285
1195,1,-1.0,1200
1196,1,-1.0,1202
1138,1,-1.0,1171
1087,1,-1.0,1140
614,1,-1.0,714
1299,0,1.0,271
1336,1,1.0,1224
1234,1,0.0,1224
1306,0,1.0,271
1312,0,-1.0,363
1402,0,0.5,1934
1346,0,0.5,1938
1346,0,0.5,1457
1346,0,0.0,1935
1346,0,0.0,2523
1346,0,-1.0,192
1346,0,-1.0,148
1346,1,0.0,1225
1346,0,-1.0,3418
1346,0,-1.0,3414
1346,0,-1.0,3409
1346,0,-1.0,3404
1346,0,-1.0,116
1346,0,-1.0,2311
1346,0,-1.0,2987
1388,0,-1.0,367
1404,0,1.0,1456
1350,0,0.5,1938
1350,0,0.5,1457
1350,0,0.0,1935
1350,0,0.0,2523
1350,0,-1.0,192
1350,0,-1.0,148
1350,1,0.0,1225
1350,0,-1.0,3418
1350,0,-1.0,3414
1350,0,-1.0,3409
1350,0,-1.0,3404
1350,0,-1.0,116
1350,0,-1.0,2311
1350,0,-1.0,2987
1353,1,1.0,1228
1442,0,1.0,1456
1429,0,0.5,1938
1429,0,0.5,1457
1429,0,0.0,1935
1429,0,0.0,2523
1429,0,-1.0,192
1429,0,-1.0,148
1429,1,0.0,1225
1429,0,-1.0,3418
1429,0,-1.0,3414
1429,0,-1.0,3409
1429,0,-1.0,3404
1429,0,-1.0,116
1429,0,-1.0,2311
1429,0,-1.0,2987
1409,1,1.0,1228
1288,0,-1.0,219
1324,0,-1.0,357
1365,0,-1.0,551
1437,0,-1.0,551
1431,0,-1.0,551
1367,0,-1.0,333
1367,0,-1.0,3384
1367,0,-1.0,3388
1367,0,-1.0,3392
1367,0,-1.0,3396
1367,0,-1.0,3400
1367,0,-1.0,3407
1367,0,-1.0,3412
1367,0,-1.0,3417
1367,0,-1.0,3421
1367,0,-1.0,3425
1367,0,-1.0,3431
1367,0,-1.0,3437
1367,0,-1.0,3441
1367,0,-1.0,3445
1367,0,-1.0,3449
1367,0,-1.0,3453
1367,0,-1.0,3457
1367,0,-1.0,3461
1367,0,-1.0,3465
1367,0,-1.0,3469
1367,0,-1.0,3473
1297,0,-1.0,337
1297,0,-1.0,2220
1297,0,-1.0,2289
1297,0,-1.0,2295
1297,0,-1.0,2309
1503,0,1.0,271
1535,1,1.0,1456
1463,1,0.0,1456
1515,0,1.0,271
1518,0,-1.0,349
1520,0,-1.0,342
1550,0,-1.0,551
1550,0,0.0,1618
1550,0,-1.0,32
1550,0,-1.0,82
1550,0,-1.0,55
1550,0,-1.0,2984
1550,0,-1.0,2992
1550,0,-1.0,3120
1550,0,-1.0,2997
1550,0,-1.0,2821
1550,0,-1.0,2814
1550,0,0.0,2523
1550,0,-1.0,192
1550,0,-1.0,148
1550,0,0.0,1225
1550,0,0.0,1935
1550,0,-1.0,3418
1550,0,-1.0,3414
1550,0,-1.0,3409
1550,0,-1.0,3404
1550,0,-1.0,116
1550,0,-1.0,2311
1550,0,-1.0,2987
1553,0,-1.0,2462
1553,0,-1.0,2466
1553,1,0.0,1458
1553,0,-1.0,551
1553,0,0.0,1618
1553,0,-1.0,32
1553,0,-1.0,82
1553,0,-1.0,55
1553,0,-1.0,2984
1553,0,-1.0,2992
1553,0,-1.0,3120
1553,0,-1.0,2997
1553,0,-1.0,2821
1553,0,-1.0,2814
1553,0,0.0,2523
1553,0,-1.0,192
1553,0,-1.0,148
1553,0,0.0,1225
1553,0,0.0,1935
1553,0,-1.0,3418
1553,0,-1.0,3414
1553,0,-1.0,3409
1553,0,-1.0,3404
1553,0,-1.0,116
1553,0,-1.0,2311
1553,0,-1.0,2987
1576,0,-1.0,551
1576,0,0.0,1618
1576,0,-1.0,32
1576,0,-1.0,82
1576,0,-1.0,55
1576,0,-1.0,2984
1576,0,-1.0,2992
1576,0,-1.0,3120
1576,0,-1.0,2997
1576,0,-1.0,2821
1576,0,-1.0,2814
1576,0,0.0,2523
1576,0,-1.0,192
1576,0,-1.0,148
1576,0,0.0,1225
1576,0,0.0,1935
1576,0,-1.0,3418
1576,0,-1.0,3414
1576,0,-1.0,3409
1576,0,-1.0,3404
1576,0,-1.0,116
1576,0,-1.0,2311
1576,0,-1.0,2987
1594,0,-1.0,551
1594,0,0.0,1618
1594,0,-1.0,32
1594,0,-1.0,82
1594,0,-1.0,55
1594,0,-1.0,2984
1594,0,-1.0,2992
1594,0,-1.0,3120
1594,0,-1.0,2997
1594,0,-1.0,2821
1594,0,-1.0,2814
1594,0,0.0,2523
1594,0,-1.0,192
1594,0,-1.0,148
1594,0,0.0,1225
1594,0,0.0,1935
1594,0,-1.0,3418
1594,0,-1.0,3414
1594,0,-1.0,3409
1594,0,-1.0,3404
1594,0,-1.0,116
1594,0,-1.0,2311
1594,0,-1.0,2987
1588,0,-1.0,2462
1588,0,-1.0,2466
1589,0,-1.0,551
1589,0,0.0,1618
1589,0,-1.0,32
1589,0,-1.0,82
1589,0,-1.0,55
1589,0,-1.0,2984
1589,0,-1.0,2992
1589,0,-1.0,3120
1589,0,-1.0,2997
1589,0,-1.0,2821
1589,0,-1.0,2814
1589,0,0.0,2523
1589,0,-1.0,192
1589,0,-1.0,148
1589,0,0.0,1225
1589,0,0.0,1935
1589,0,-1.0,3418
1589,0,-1.0,3414
1589,0,-1.0,3409
1589,0,-1.0,3404
1589,0,-1.0,116
1589,0,-1.0,2311
1589,0,-1.0,2987
1500,0,-1.0,219
1676,0,1.0,271
1705,1,1.0,1616
1625,1,0.0,1616
1683,0,1.0,271
1692,0,-1.0,344
1718,1,0.0,1618
1718,0,-1.0,32
1718,0,-1.0,82
1718,0,-1.0,55
1718,0,-1.0,2984
1718,0,-1.0,2992
1718,0,-1.0,3120
1718,0,-1.0,2997
1718,0,-1.0,2821
1718,0,-1.0,2814
1718,0,0.0,2523
1718,0,-1.0,192
1718,0,-1.0,148
1718,0,-1.0,2987
1669,0,-1.0,361
1669,0,-1.0,2810
1669,0,-1.0,2817
1669,0,-1.0,2826
1723,0,-1.0,335
1723,0,-1.0,2765
1723,0,-1.0,551
1761,0,1.0,1456
1726,0,0.5,1457
1726,1,0.0,1618
1726,0,-1.0,32
1726,0,-1.0,82
1726,0,-1.0,55
1726,0,-1.0,2984
1726,0,-1.0,2992
1726,0,-1.0,3120
1726,0,-1.0,2997
1726,0,-1.0,2821
1726,0,-1.0,2814
1726,0,0.0,2523
1726,0,-1.0,192
1726,0,-1.0,148
1726,0,-1.0,2987
1672,1,0.0,1618
1672,0,-1.0,32
1672,0,-1.0,82
1672,0,-1.0,55
1672,0,-1.0,2984
1672,0,-1.0,2992
1672,0,-1.0,3120
1672,0,-1.0,2997
1672,0,-1.0,2821
1672,0,-1.0,2814
1672,0,0.0,2523
1672,0,-1.0,192
1672,0,-1.0,148
1672,0,-1.0,2987
1836,0,1.0,271
1870,1,1.0,1773
1782,1,0.0,1773
1843,0,1.0,271
1881,1,0.0,1774
1881,0,-1.0,2665
1881,0,0.0,2523
1881,0,-1.0,192
1881,0,-1.0,148
1881,0,-1.0,2987
1883,1,0.0,1774
1883,0,-1.0,2665
1883,0,0.0,2523
1883,0,-1.0,192
1883,0,-1.0,148
1883,0,-1.0,2987
1887,1,0.0,1774
1887,0,-1.0,2665
1887,0,0.0,2523
1887,0,-1.0,192
1887,0,-1.0,148
1887,0,-1.0,2987
1889,1,1.0,1777
1859,0,-1.0,340
1834,0,-1.0,331
1834,0,-1.0,2609
1834,0,-1.0,2663
2000,0,1.0,271
2028,1,1.0,1934
1943,1,0.0,1934
2012,0,1.0,271
2044,1,0.0,1935
2044,0,0.0,2523
2044,0,-1.0,192
2044,0,-1.0,148
2044,0,0.0,1225
2044,0,-1.0,3418
2044,0,-1.0,3414
2044,0,-1.0,3409
2044,0,-1.0,3404
2044,0,-1.0,116
2044,0,-1.0,2311
2044,0,-1.0,2987
2076,0,-1.0,363
2077,0,-1.0,365
2087,0,0.5,1224
2049,0,0.5,1226
2049,1,0.0,1935
2049,0,0.0,2523
2049,0,-1.0,192
2049,0,-1.0,148
2049,0,0.0,1225
2049,0,-1.0,3418
2049,0,-1.0,3414
2049,0,-1.0,3409
2049,0,-1.0,3404
2049,0,-1.0,116
2049,0,-1.0,2311
2049,0,-1.0,2987
2103,0,-1.0,355
2093,0,-1.0,333
2093,0,-1.0,3384
2093,0,-1.0,3388
2093,0,-1.0,3392
2093,0,-1.0,3396
2093,0,-1.0,3400
2093,0,-1.0,3407
2093,0,-1.0,3412
2093,0,-1.0,3417
2093,0,-1.0,3421
2093,0,-1.0,3425
2093,0,-1.0,3431
2093,0,-1.0,3437
2093,0,-1.0,3441
2093,0,-1.0,3445
2093,0,-1.0,3449
2093,0,-1.0,3453
2093,0,-1.0,3457
2093,0,-1.0,3461
2093,0,-1.0,3465
2093,0,-1.0,3469
2093,0,-1.0,3473
1997,1,-1.0,2024
2126,1,-1.0,2148
2127,1,-1.0,2150
2246,0,0.5,1226
2132,1,-1.0,2152
2249,0,0.5,1226
2133,1,-1.0,2154
2250,1,1.0,2125
2251,0,0.5,1226
2134,1,-1.0,2156
2252,1,1.0,2125
2253,0,0.5,1226
2135,1,-1.0,2158
2255,0,0.5,1226
2255,1,-1.0,2311
2136,1,-1.0,2160
2256,1,1.0,2125
2257,0,0.5,1226
2137,1,-1.0,2162
2258,1,1.0,2125
2259,0,0.5,1226
2138,1,-1.0,2164
2260,1,1.0,2125
2261,0,0.5,1226
2139,1,-1.0,2166
2262,1,1.0,2125
2263,0,0.5,1226
2140,1,-1.0,2168
2264,1,1.0,2125
2265,0,0.5,1226
2141,1,-1.0,2170
2266,1,1.0,2125
2267,0,0.5,1226
2142,1,-1.0,2172
2268,1,1.0,2125
2269,0,0.5,1226
2143,1,-1.0,2174
2270,1,1.0,2125
2271,0,0.5,1226
2144,1,-1.0,2176
2272,1,1.0,2125
2273,0,0.5,1226
2145,1,-1.0,2178
2274,1,1.0,2125
2275,0,0.5,1226
2146,1,-1.0,2180
2276,1,1.0,2125
2277,0,0.5,1226
2147,1,-1.0,2182
2118,1,-1.0,2119
2416,1,-1.0,2421
2417,1,-1.0,2423
2458,0,0.0,1456
2418,1,-1.0,2425
2448,0,0.5,1457
2419,1,-1.0,2427
2450,0,0.5,1457
2420,1,-1.0,2429
2412,1,-1.0,2413
2491,1,-1.0,2499
2492,1,-1.0,2501
2493,1,-1.0,2503
2534,0,0.0,1224
2534,0,0.0,1456
2534,0,0.0,1934
2534,0,0.0,1616
2534,0,0.0,1773
2494,1,-1.0,2505
2495,1,-1.0,2507
2496,1,-1.0,2509
2497,1,-1.0,2511
2498,1,-1.0,2513
2487,1,-1.0,2488
2560,1,-1.0,2573
2561,1,-1.0,2575
2632,1,1.0,2559
2633,0,0.5,1775
2566,1,-1.0,2577
2634,1,1.0,2559
2635,0,0.5,1775
2567,1,-1.0,2579
2637,0,0.5,1775
2637,1,-1.0,2665
2568,1,-1.0,2581
2638,1,1.0,2559
2639,0,0.5,1775
2569,1,-1.0,2583
2640,1,1.0,2559
2641,0,0.5,1775
2570,1,-1.0,2585
