id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,52,29,packages\node-notifier\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,25,packages\node-notifier\index.js,1,1
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,37,packages\node-notifier\index.js,1,2
4,VariableDeclaration,nan,-1,-1,-1,5,0,5,53,packages\node-notifier\index.js,1,3
5,VariableDeclaration,nan,-1,-1,-1,6,0,6,69,packages\node-notifier\index.js,1,4
6,VariableDeclaration,nan,-1,-1,-1,7,0,7,54,packages\node-notifier\index.js,1,5
7,VariableDeclaration,nan,-1,-1,-1,8,0,8,43,packages\node-notifier\index.js,1,6
8,VariableDeclaration,nan,-1,-1,-1,9,0,9,54,packages\node-notifier\index.js,1,7
9,VariableDeclaration,nan,-1,-1,-1,11,0,11,39,packages\node-notifier\index.js,1,8
10,VariableDeclaration,nan,-1,-1,-1,13,0,13,49,packages\node-notifier\index.js,1,9
11,SwitchStatement,nan,-1,-1,-1,15,0,45,1,packages\node-notifier\index.js,1,10
17,AssignmentExpression,nan,-1,-1,-1,48,0,48,38,packages\node-notifier\index.js,1,11
18,AssignmentExpression,nan,-1,-1,-1,49,0,49,54,packages\node-notifier\index.js,1,12
19,AssignmentExpression,nan,-1,-1,-1,50,0,50,46,packages\node-notifier\index.js,1,13
20,AssignmentExpression,nan,-1,-1,-1,51,0,51,46,packages\node-notifier\index.js,1,14
21,AssignmentExpression,nan,-1,-1,-1,52,0,52,28,packages\node-notifier\index.js,1,15
22,MemberExpression,nan,-1,-1,-1,48,0,48,25,packages\node-notifier\index.js,1,16
23,Identifier,NotifySend,-1,-1,-1,48,28,48,38,packages\node-notifier\index.js,1,17
24,MemberExpression,nan,-1,-1,-1,49,0,49,33,packages\node-notifier\index.js,1,18
25,Identifier,NotificationCenter,-1,-1,-1,49,36,49,54,packages\node-notifier\index.js,1,19
26,MemberExpression,nan,-1,-1,-1,50,0,50,29,packages\node-notifier\index.js,1,20
27,Identifier,WindowsToaster,-1,-1,-1,50,32,50,46,packages\node-notifier\index.js,1,21
28,MemberExpression,nan,-1,-1,-1,51,0,51,29,packages\node-notifier\index.js,1,22
29,Identifier,WindowsBalloon,-1,-1,-1,51,32,51,46,packages\node-notifier\index.js,1,23
30,MemberExpression,nan,-1,-1,-1,52,0,52,20,packages\node-notifier\index.js,1,24
31,Identifier,Growl,-1,-1,-1,52,23,52,28,packages\node-notifier\index.js,1,25
32,Program,nan,-1,-1,-1,1,0,20,2,packages\node-notifier\example\advanced.js,0,26
33,VariableDeclaration,nan,-1,-1,-1,1,0,1,32,packages\node-notifier\example\advanced.js,0,27
34,VariableDeclaration,nan,-1,-1,-1,2,0,2,45,packages\node-notifier\example\advanced.js,0,28
35,VariableDeclaration,nan,-1,-1,-1,3,0,3,29,packages\node-notifier\example\advanced.js,0,29
37,CallExpression,nan,2,-1,-1,5,0,20,1,packages\node-notifier\example\advanced.js,0,30
38,ObjectExpression,nan,-1,-1,-1,6,2,16,3,packages\node-notifier\example\advanced.js,0,31
39,FunctionExpression,nan,-1,0,0,17,2,19,3,packages\node-notifier\example\advanced.js,0,32
40,MemberExpression,nan,-1,-1,-1,5,0,5,9,packages\node-notifier\example\advanced.js,0,33
42,BlockStatement,nan,-1,-1,-1,17,13,19,3,packages\node-notifier\example\advanced.js,0,34
44,CallExpression,nan,1,-1,-1,18,4,18,26,packages\node-notifier\example\advanced.js,0,35
45,Identifier,arguments,-1,-1,-1,18,16,18,25,packages\node-notifier\example\advanced.js,0,36
46,MemberExpression,nan,-1,-1,-1,18,4,18,15,packages\node-notifier\example\advanced.js,0,37
47,Program,nan,-1,-1,-1,1,0,9,5,packages\node-notifier\example\forceBallon.js,0,38
48,VariableDeclaration,nan,-1,-1,-1,1,0,1,37,packages\node-notifier\example\forceBallon.js,0,39
