id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,3,1,packages\objectorarray\index.js,1,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,3,1,packages\objectorarray\index.js,1,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\objectorarray\index.js,1,2
5,ArrowFunctionExpression,nan,-1,1,1,1,17,3,1,packages\objectorarray\index.js,1,3
6,Identifier,val,-1,-1,-1,1,18,1,21,packages\objectorarray\index.js,1,4
8,BlockStatement,nan,-1,-1,-1,1,26,3,1,packages\objectorarray\index.js,1,5
9,ReturnStatement,nan,1,-1,-1,2,2,2,77,packages\objectorarray\index.js,1,6
10,LogicalExpression,nan,-1,-1,-1,2,9,2,77,packages\objectorarray\index.js,1,7
11,LogicalExpression,nan,-1,-1,-1,2,9,2,47,packages\objectorarray\index.js,1,8
15,MemberExpression,nan,-1,-1,-1,2,51,2,66,packages\objectorarray\index.js,1,9
16,Identifier,RegExp,-1,-1,-1,2,71,2,77,packages\objectorarray\index.js,1,10
17,Identifier,val,-1,-1,-1,2,9,2,12,packages\objectorarray\index.js,1,11
19,UnaryExpression,nan,1,-1,-1,2,24,2,34,packages\objectorarray\index.js,1,12
21,Identifier,val,-1,-1,-1,2,31,2,34,packages\objectorarray\index.js,1,13
22,Program,nan,-1,-1,-1,1,0,23,2,packages\objectorarray\test.js,1,14
23,VariableDeclaration,nan,-1,-1,-1,1,0,1,26,packages\objectorarray\test.js,1,15
24,VariableDeclaration,nan,-1,-1,-1,2,0,2,33,packages\objectorarray\test.js,1,16
26,CallExpression,nan,2,-1,-1,4,0,23,2,packages\objectorarray\test.js,1,17
28,ArrowFunctionExpression,nan,-1,1,0,4,22,23,1,packages\objectorarray\test.js,1,18
29,Identifier,test,-1,-1,-1,4,0,4,4,packages\objectorarray\test.js,1,19
30,Identifier,t,-1,-1,-1,4,22,4,23,packages\objectorarray\test.js,1,20
32,BlockStatement,nan,-1,-1,-1,4,27,23,1,packages\objectorarray\test.js,1,21
40,FunctionDeclaration,nan,-1,1,0,13,2,15,3,packages\objectorarray\test.js,1,22
47,CallExpression,nan,1,-1,-1,5,2,5,12,packages\objectorarray\test.js,1,23
48,CallExpression,nan,1,-1,-1,7,2,7,25,packages\objectorarray\test.js,1,24
49,CallExpression,nan,1,-1,-1,8,2,8,25,packages\objectorarray\test.js,1,25
50,CallExpression,nan,1,-1,-1,9,2,9,40,packages\objectorarray\test.js,1,26
51,CallExpression,nan,1,-1,-1,10,2,10,54,packages\objectorarray\test.js,1,27
52,CallExpression,nan,1,-1,-1,11,2,11,42,packages\objectorarray\test.js,1,28
53,CallExpression,nan,1,-1,-1,12,2,12,30,packages\objectorarray\test.js,1,29
54,Identifier,Foo,-1,-1,-1,13,11,13,14,packages\objectorarray\test.js,1,30
55,Identifier,bar,-1,-1,-1,13,16,13,19,packages\objectorarray\test.js,1,31
57,BlockStatement,nan,-1,-1,-1,13,21,15,3,packages\objectorarray\test.js,1,32
58,CallExpression,nan,1,-1,-1,17,2,17,26,packages\objectorarray\test.js,1,33
59,CallExpression,nan,1,-1,-1,18,2,18,40,packages\objectorarray\test.js,1,34
60,CallExpression,nan,1,-1,-1,19,2,19,27,packages\objectorarray\test.js,1,35
61,CallExpression,nan,1,-1,-1,20,2,20,31,packages\objectorarray\test.js,1,36
62,CallExpression,nan,1,-1,-1,21,2,21,30,packages\objectorarray\test.js,1,37
63,CallExpression,nan,1,-1,-1,22,2,22,35,packages\objectorarray\test.js,1,38
65,MemberExpression,nan,-1,-1,-1,5,2,5,8,packages\objectorarray\test.js,1,39
66,CallExpression,nan,1,-1,-1,7,7,7,24,packages\objectorarray\test.js,1,40
67,MemberExpression,nan,-1,-1,-1,7,2,7,6,packages\objectorarray\test.js,1,41
68,CallExpression,nan,1,-1,-1,8,7,8,24,packages\objectorarray\test.js,1,42
69,MemberExpression,nan,-1,-1,-1,8,2,8,6,packages\objectorarray\test.js,1,43
70,CallExpression,nan,1,-1,-1,9,7,9,39,packages\objectorarray\test.js,1,44
71,MemberExpression,nan,-1,-1,-1,9,2,9,6,packages\objectorarray\test.js,1,45
72,CallExpression,nan,1,-1,-1,10,7,10,53,packages\objectorarray\test.js,1,46
73,MemberExpression,nan,-1,-1,-1,10,2,10,6,packages\objectorarray\test.js,1,47
74,CallExpression,nan,1,-1,-1,11,7,11,41,packages\objectorarray\test.js,1,48
75,MemberExpression,nan,-1,-1,-1,11,2,11,6,packages\objectorarray\test.js,1,49
76,CallExpression,nan,1,-1,-1,12,7,12,29,packages\objectorarray\test.js,1,50
77,MemberExpression,nan,-1,-1,-1,12,2,12,6,packages\objectorarray\test.js,1,51
79,CallExpression,nan,0,-1,-1,17,10,17,25,packages\objectorarray\test.js,1,52
80,MemberExpression,nan,-1,-1,-1,17,2,17,9,packages\objectorarray\test.js,1,53
81,CallExpression,nan,1,-1,-1,18,10,18,39,packages\objectorarray\test.js,1,54
82,MemberExpression,nan,-1,-1,-1,18,2,18,9,packages\objectorarray\test.js,1,55
83,CallExpression,nan,1,-1,-1,19,10,19,26,packages\objectorarray\test.js,1,56
84,MemberExpression,nan,-1,-1,-1,19,2,19,9,packages\objectorarray\test.js,1,57
85,CallExpression,nan,1,-1,-1,20,10,20,30,packages\objectorarray\test.js,1,58
86,MemberExpression,nan,-1,-1,-1,20,2,20,9,packages\objectorarray\test.js,1,59
87,CallExpression,nan,1,-1,-1,21,10,21,29,packages\objectorarray\test.js,1,60
88,MemberExpression,nan,-1,-1,-1,21,2,21,9,packages\objectorarray\test.js,1,61
89,CallExpression,nan,1,-1,-1,22,10,22,34,packages\objectorarray\test.js,1,62
90,MemberExpression,nan,-1,-1,-1,22,2,22,9,packages\objectorarray\test.js,1,63
91,ObjectExpression,nan,-1,-1,-1,7,21,7,23,packages\objectorarray\test.js,1,64
92,Identifier,objectorarray,-1,-1,-1,7,7,7,20,packages\objectorarray\test.js,1,65
93,ArrayExpression,nan,-1,-1,-1,8,21,8,23,packages\objectorarray\test.js,1,66
94,Identifier,objectorarray,-1,-1,-1,8,7,8,20,packages\objectorarray\test.js,1,67
95,CallExpression,nan,1,-1,-1,9,21,9,38,packages\objectorarray\test.js,1,68
96,Identifier,objectorarray,-1,-1,-1,9,7,9,20,packages\objectorarray\test.js,1,69
97,CallExpression,nan,1,-1,-1,10,21,10,52,packages\objectorarray\test.js,1,70
98,Identifier,objectorarray,-1,-1,-1,10,7,10,20,packages\objectorarray\test.js,1,71
99,CallExpression,nan,1,-1,-1,11,21,11,40,packages\objectorarray\test.js,1,72
100,Identifier,objectorarray,-1,-1,-1,11,7,11,20,packages\objectorarray\test.js,1,73
101,NewExpression,nan,0,-1,-1,12,21,12,28,packages\objectorarray\test.js,1,74
102,Identifier,objectorarray,-1,-1,-1,12,7,12,20,packages\objectorarray\test.js,1,75
103,AssignmentExpression,nan,-1,-1,-1,14,4,14,18,packages\objectorarray\test.js,1,76
104,Identifier,objectorarray,-1,-1,-1,17,10,17,23,packages\objectorarray\test.js,1,77
105,FunctionExpression,nan,-1,0,0,18,24,18,38,packages\objectorarray\test.js,1,78
106,Identifier,objectorarray,-1,-1,-1,18,10,18,23,packages\objectorarray\test.js,1,79
108,Identifier,objectorarray,-1,-1,-1,19,10,19,23,packages\objectorarray\test.js,1,80
110,Identifier,objectorarray,-1,-1,-1,20,10,20,23,packages\objectorarray\test.js,1,81
112,Identifier,objectorarray,-1,-1,-1,21,10,21,23,packages\objectorarray\test.js,1,82
113,Identifier,undefined,-1,-1,-1,22,24,22,33,packages\objectorarray\test.js,1,83
114,Identifier,objectorarray,-1,-1,-1,22,10,22,23,packages\objectorarray\test.js,1,84
115,ObjectExpression,nan,-1,-1,-1,9,35,9,37,packages\objectorarray\test.js,1,85
116,MemberExpression,nan,-1,-1,-1,9,21,9,34,packages\objectorarray\test.js,1,86
117,MemberExpression,nan,-1,-1,-1,10,35,10,51,packages\objectorarray\test.js,1,87
