src,dst
0,1
0,2
0,3
0,4
0,5
0,6
0,7
3,8
3,9
4,10
4,11
5,12
5,13
6,14
6,15
9,17
11,18
13,19
13,20
15,21
16,22
16,23
18,24
19,25
24,26
24,27
25,28
26,30
26,31
28,32
33,34
33,35
33,36
33,37
38,39
38,40
39,41
41,42
43,49
43,50
44,51
44,52
45,53
45,54
46,55
46,56
47,57
47,58
48,59
48,60
49,61
51,62
53,63
55,64
57,65
59,66
67,82
67,83
68,84
68,85
69,86
69,87
70,88
70,89
71,90
71,91
72,92
72,93
73,94
73,95
74,96
74,97
75,98
75,99
76,100
76,101
77,102
77,103
78,104
78,105
79,106
79,107
80,108
80,109
81,110
81,111
83,112
83,113
86,114
88,115
90,116
92,117
94,118
96,119
98,120
100,121
102,122
104,123
106,124
108,125
110,126
127,141
127,142
128,143
128,144
129,145
129,146
130,147
130,148
131,149
131,150
132,151
132,152
133,153
133,154
134,155
134,156
135,157
135,158
136,159
136,160
137,161
137,162
138,163
138,164
139,165
139,166
140,167
140,168
141,169
143,170
145,171
147,172
149,173
151,174
153,175
155,176
157,177
159,178
161,179
163,180
165,181
167,182
171,183
173,184
174,185
175,186
176,187
177,188
178,189
179,190
191,236
192,237
193,238
194,239
194,240
195,241
195,242
196,243
197,244
197,245
198,246
199,247
199,248
200,249
201,250
202,251
202,252
203,253
204,254
204,255
205,256
206,257
206,258
207,259
208,260
208,261
209,262
210,263
210,264
211,265
212,266
212,267
213,268
214,269
214,270
215,271
216,272
216,273
217,274
218,275
218,276
219,277
220,278
220,279
221,280
222,281
222,282
223,283
224,284
224,285
225,286
226,287
226,288
227,289
227,290
228,291
228,292
229,293
230,294
230,295
231,296
232,297
232,298
233,299
234,300
235,301
235,302
239,303
241,304
245,305
245,306
247,307
251,308
255,309
255,310
257,311
261,312
261,313
263,314
267,315
267,316
269,317
273,318
273,319
275,320
279,321
279,322
281,323
285,324
285,325
287,326
290,327
290,328
291,329
294,330
297,331
301,332
333,337
334,338
335,339
336,340
336,341
340,342
