src,same_file,jaccard_val,dst
26,1,0.0,5
43,1,-1.0,49
44,1,-1.0,51
239,0,1.0,3
127,1,-1.0,141
340,0,1.0,3
195,1,-1.0,241
128,1,-1.0,143
69,1,-1.0,86
247,0,1.0,3
129,1,-1.0,145
70,1,-1.0,88
251,0,1.0,3
130,1,-1.0,147
71,1,-1.0,90
45,1,-1.0,53
257,0,1.0,4
131,1,-1.0,149
72,1,-1.0,92
263,0,1.0,4
132,1,-1.0,151
73,1,-1.0,94
269,0,1.0,4
133,1,-1.0,153
74,1,-1.0,96
46,1,-1.0,55
275,0,1.0,5
134,1,-1.0,155
75,1,-1.0,98
281,0,1.0,5
135,1,-1.0,157
76,1,-1.0,100
287,0,1.0,5
136,1,-1.0,159
77,1,-1.0,102
291,0,1.0,5
137,1,-1.0,161
78,1,-1.0,104
47,1,-1.0,57
294,0,1.0,6
138,1,-1.0,163
79,1,-1.0,106
297,0,1.0,6
139,1,-1.0,165
80,1,-1.0,108
301,0,1.0,6
140,1,-1.0,167
81,1,-1.0,110
48,1,-1.0,59
38,1,-1.0,39
