src,dst
106,5
124,147
238,86
322,57
64,94
203,92
91,110
84,145
179,6
270,147
286,102
304,155
256,108
262,147
60,147
19,143
314,92
21,106
50,39
165,3
90,161
303,149
216,96
229,110
313,163
172,143
92,108
35,96
236,5
17,143
211,163
56,51
298,147
89,90
278,6
207,155
253,104
170,161
109,241
55,161
87,92
307,149
198,51
171,57
1,241
183,141
201,167
241,155
23,94
309,157
292,145
300,4
114,49
238,155
144,153
41,104
317,96
35,57
90,5
225,98
173,151
156,57
148,92
241,98
58,53
298,49
22,167
59,53
207,110
98,4
9,163
311,100
296,110
18,149
93,106
8,163
317,155
335,49
323,88
191,53
115,6
161,39
126,39
25,100
315,96
142,57
321,155
2,241
1,86
41,153
324,96
331,90
256,165
108,157
8,141
329,96
160,3
101,149
143,88
315,6
341,104
0,104
187,88
66,4
168,5
0,94
56,147
61,108
182,157
145,241
298,57
110,6
148,165
34,151
292,163
339,102
334,57
162,110
303,100
119,49
56,153
274,106
13,167
94,147
303,86
208,145
163,51
42,86
341,49
284,51
243,102
67,155
25,153
189,141
322,163
250,51
321,6
189,4
119,155
260,96
217,161
96,147
335,159
200,106
5,149
7,53
57,96
120,3
5,110
17,4
52,102
320,157
200,147
249,141
172,55
264,143
17,143
90,157
17,157
264,57
89,3
62,55
238,106
296,163
65,92
54,161
29,161
300,5
213,4
166,147
165,100
191,98
205,39
108,90
118,3
196,92
5,241
300,100
248,55
108,92
41,100
112,143
118,5
296,155
66,94
33,163
153,141
103,108
191,151
153,106
292,110
87,98
167,159
42,167
65,167
241,159
237,55
192,153
229,53
193,110
124,145
187,159
151,155
278,5
188,3
321,153
252,90
312,241
204,155
286,51
23,151
3,55
170,241
220,157
21,149
175,149
266,241
95,86
183,39
148,55
180,167
331,104
196,143
144,108
59,92
118,5
342,141
175,94
330,163
332,145
268,157
244,167
18,106
248,153
185,167
268,110
32,102
12,141
13,143
150,241
57,153
5,153
280,143
166,159
256,100
151,106
157,90
233,108
116,90
141,167
68,145
334,165
320,167
283,39
