src,same_file,jaccard_val,dst
133,1,-1,159
285,1,-1,165
139,1,-1,104
46,1,-1,94
285,1,-1,55
38,1,-1,159
267,1,-1,94
281,1,-1,110
222,1,-1,108
131,1,-1,88
138,1,-1,167
70,1,-1,153
247,1,-1,163
26,0,-1,39
285,1,-1,53
273,1,-1,159
210,1,-1,145
228,1,-1,167
139,1,-1,102
301,1,-1,163
214,1,-1,59
131,1,-1,98
336,1,-1,39
273,1,-1,141
76,1,-1,86
46,1,-1,157
294,1,-1,39
138,1,-1,147
74,1,-1,51
202,1,-1,147
230,1,-1,98
251,1,-1,100
70,1,-1,51
340,1,-1,53
195,1,-1,159
132,0,0.0,3
75,1,-1,57
45,1,-1,49
69,1,-1,94
235,1,-1,57
74,1,-1,241
290,1,-1,141
281,1,-1,143
140,1,-1,86
79,1,-1,145
255,1,-1,59
336,1,-1,106
228,1,-1,59
79,1,-1,49
199,1,-1,57
