id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,43,23,packages\ospath\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,26,packages\ospath\index.js,1,1
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,22,packages\ospath\index.js,1,2
4,FunctionDeclaration,nan,-1,0,0,4,0,12,1,packages\ospath\index.js,1,3
5,FunctionDeclaration,nan,-1,0,1,14,0,16,1,packages\ospath\index.js,1,4
6,FunctionDeclaration,nan,-1,0,1,18,0,26,1,packages\ospath\index.js,1,5
7,FunctionDeclaration,nan,-1,0,0,28,0,33,1,packages\ospath\index.js,1,6
8,VariableDeclaration,nan,-1,-1,-1,35,0,41,1,packages\ospath\index.js,1,7
10,Identifier,data,-1,-1,-1,4,9,4,13,packages\ospath\index.js,1,8
12,BlockStatement,nan,-1,-1,-1,4,17,12,1,packages\ospath\index.js,1,9
13,Identifier,desktop,-1,-1,-1,14,9,14,16,packages\ospath\index.js,1,10
15,BlockStatement,nan,-1,-1,-1,14,20,16,1,packages\ospath\index.js,1,11
16,Identifier,home,-1,-1,-1,18,9,18,13,packages\ospath\index.js,1,12
18,BlockStatement,nan,-1,-1,-1,18,17,26,1,packages\ospath\index.js,1,13
19,Identifier,tmp,-1,-1,-1,28,9,28,12,packages\ospath\index.js,1,14
21,BlockStatement,nan,-1,-1,-1,28,16,33,1,packages\ospath\index.js,1,15
22,AssignmentExpression,nan,-1,-1,-1,43,0,43,23,packages\ospath\index.js,1,16
23,SwitchStatement,nan,-1,-1,-1,5,2,11,3,packages\ospath\index.js,1,17
24,ReturnStatement,nan,1,-1,-1,15,2,15,46,packages\ospath\index.js,1,18
25,IfStatement,nan,-1,-1,-1,20,2,20,42,packages\ospath\index.js,1,19
26,SwitchStatement,nan,-1,-1,-1,22,2,25,3,packages\ospath\index.js,1,20
27,SwitchStatement,nan,-1,-1,-1,29,2,32,3,packages\ospath\index.js,1,21
28,MemberExpression,nan,-1,-1,-1,43,0,43,14,packages\ospath\index.js,1,22
29,Identifier,ospath,-1,-1,-1,43,17,43,23,packages\ospath\index.js,1,23
30,CallExpression,nan,2,-1,-1,15,9,15,46,packages\ospath\index.js,1,24
31,ReturnStatement,nan,1,-1,-1,20,23,20,42,packages\ospath\index.js,1,25
33,CallExpression,nan,1,-1,-1,15,19,15,34,packages\ospath\index.js,1,26
35,MemberExpression,nan,-1,-1,-1,15,9,15,18,packages\ospath\index.js,1,27
36,CallExpression,nan,0,-1,-1,20,30,20,42,packages\ospath\index.js,1,28
38,Identifier,os,-1,-1,-1,20,19,20,21,packages\ospath\index.js,1,29
