src,dst
0,1
0,2
0,3
0,4
0,5
6,13
6,14
6,15
7,16
7,17
8,18
8,19
9,20
9,21
10,22
10,23
11,24
11,25
12,26
12,27
17,28
19,29
19,30
19,31
19,32
21,33
21,34
23,35
25,36
28,37
32,38
32,39
32,40
35,41
35,42
35,43
36,44
36,45
37,46
37,47
40,51
41,56
41,57
42,58
42,59
45,62
48,63
49,64
50,65
50,66
50,67
51,68
52,70
52,71
53,72
54,73
54,74
55,75
56,76
59,77
59,78
60,79
61,80
62,81
62,82
66,83
66,84
66,85
68,86
76,89
77,90
78,91
81,92
85,93
85,94
85,95
89,98
89,99
90,100
93,101
93,102
94,103
94,104
95,105
95,106
96,108
96,109
99,110
103,112
107,113
111,115
111,116
117,121
117,122
118,123
119,124
120,125
120,126
120,127
126,128
