src,dst
103,19
12,19
19,25
22,66
16,25
34,66
131,66
58,25
35,17
121,23
130,25
66,25
112,17
101,19
94,23
110,21
53,25
95,66
46,17
23,66
83,17
70,66
98,23
108,17
20,19
81,25
93,23
80,23
31,23
131,23
98,23
43,21
59,19
10,25
75,23
91,25
88,25
89,25
92,23
106,19
81,25
46,25
31,66
63,17
103,23
103,21
15,21
60,21
72,19
18,19
125,19
62,17
28,21
21,25
20,66
114,66
85,66
25,17
69,23
66,25
80,17
70,17
80,25
9,19
2,21
10,21
108,23
92,17
17,23
54,66
52,21
62,19
76,25
78,66
69,23
92,66
95,17
94,25
102,66
16,19
78,66
85,23
54,66
74,25
44,25
40,23
115,17
30,66
13,17
2,23
21,23
11,66
123,23
83,17
79,17
82,23
127,21
19,66
1,19
83,66
