id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,105,35,packages\parallel-transform\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,1,53,packages\parallel-transform\index.js,1,1
3,VariableDeclaration,nan,-1,-1,-1,2,0,2,35,packages\parallel-transform\index.js,1,2
4,VariableDeclaration,nan,-1,-1,-1,3,0,3,33,packages\parallel-transform\index.js,1,3
5,VariableDeclaration,nan,-1,-1,-1,4,0,4,27,packages\parallel-transform\index.js,1,4
6,VariableDeclaration,nan,-1,-1,-1,6,0,34,2,packages\parallel-transform\index.js,1,5
14,CallExpression,nan,2,-1,-1,36,0,36,38,packages\parallel-transform\index.js,1,6
15,AssignmentExpression,nan,-1,-1,-1,38,0,42,1,packages\parallel-transform\index.js,1,7
16,AssignmentExpression,nan,-1,-1,-1,44,0,67,1,packages\parallel-transform\index.js,1,8
17,AssignmentExpression,nan,-1,-1,-1,69,0,73,1,packages\parallel-transform\index.js,1,9
18,AssignmentExpression,nan,-1,-1,-1,75,0,98,1,packages\parallel-transform\index.js,1,10
19,AssignmentExpression,nan,-1,-1,-1,100,0,103,1,packages\parallel-transform\index.js,1,11
20,AssignmentExpression,nan,-1,-1,-1,105,0,105,34,packages\parallel-transform\index.js,1,12
21,Identifier,ParallelTransform,-1,-1,-1,36,9,36,26,packages\parallel-transform\index.js,1,13
22,Identifier,Transform,-1,-1,-1,36,28,36,37,packages\parallel-transform\index.js,1,14
23,Identifier,inherits,-1,-1,-1,36,0,36,8,packages\parallel-transform\index.js,1,15
24,MemberExpression,nan,-1,-1,-1,38,0,38,35,packages\parallel-transform\index.js,1,16
25,FunctionExpression,nan,-1,0,1,38,38,42,1,packages\parallel-transform\index.js,1,17
26,MemberExpression,nan,-1,-1,-1,44,0,44,38,packages\parallel-transform\index.js,1,18
27,FunctionExpression,nan,-1,3,1,44,41,67,1,packages\parallel-transform\index.js,1,19
28,MemberExpression,nan,-1,-1,-1,69,0,69,34,packages\parallel-transform\index.js,1,20
29,FunctionExpression,nan,-1,1,0,69,37,73,1,packages\parallel-transform\index.js,1,21
30,MemberExpression,nan,-1,-1,-1,75,0,75,34,packages\parallel-transform\index.js,1,22
31,FunctionExpression,nan,-1,0,1,75,37,98,1,packages\parallel-transform\index.js,1,23
32,MemberExpression,nan,-1,-1,-1,100,0,100,36,packages\parallel-transform\index.js,1,24
33,FunctionExpression,nan,-1,0,1,100,39,103,1,packages\parallel-transform\index.js,1,25
34,MemberExpression,nan,-1,-1,-1,105,0,105,14,packages\parallel-transform\index.js,1,26
35,Identifier,ParallelTransform,-1,-1,-1,105,17,105,34,packages\parallel-transform\index.js,1,27
37,BlockStatement,nan,-1,-1,-1,38,49,42,1,packages\parallel-transform\index.js,1,28
38,Identifier,chunk,-1,-1,-1,44,50,44,55,packages\parallel-transform\index.js,1,29
39,Identifier,enc,-1,-1,-1,44,57,44,60,packages\parallel-transform\index.js,1,30
40,Identifier,callback,-1,-1,-1,44,62,44,70,packages\parallel-transform\index.js,1,31
42,BlockStatement,nan,-1,-1,-1,44,72,67,1,packages\parallel-transform\index.js,1,32
43,Identifier,callback,-1,-1,-1,69,46,69,54,packages\parallel-transform\index.js,1,33
45,BlockStatement,nan,-1,-1,-1,69,56,73,1,packages\parallel-transform\index.js,1,34
47,BlockStatement,nan,-1,-1,-1,75,48,98,1,packages\parallel-transform\index.js,1,35
49,BlockStatement,nan,-1,-1,-1,100,50,103,1,packages\parallel-transform\index.js,1,36
50,IfStatement,nan,-1,-1,-1,39,1,39,29,packages\parallel-transform\index.js,1,37
53,VariableDeclaration,nan,-1,-1,-1,45,1,45,17,packages\parallel-transform\index.js,1,38
54,VariableDeclaration,nan,-1,-1,-1,46,1,46,23,packages\parallel-transform\index.js,1,39
56,IfStatement,nan,-1,-1,-1,65,1,65,69,packages\parallel-transform\index.js,1,40
61,IfStatement,nan,-1,-1,-1,76,1,90,2,packages\parallel-transform\index.js,1,41
62,IfStatement,nan,-1,-1,-1,93,1,93,48,packages\parallel-transform\index.js,1,42
63,VariableDeclaration,nan,-1,-1,-1,95,1,95,29,packages\parallel-transform\index.js,1,43
66,VariableDeclaration,nan,-1,-1,-1,101,1,101,37,packages\parallel-transform\index.js,1,44
67,ReturnStatement,nan,1,-1,-1,102,1,102,57,packages\parallel-transform\index.js,1,45
68,ReturnStatement,nan,-1,-1,-1,39,22,39,29,packages\parallel-transform\index.js,1,46
69,MemberExpression,nan,-1,-1,-1,39,5,39,20,packages\parallel-transform\index.js,1,47
70,AssignmentExpression,nan,-1,-1,-1,40,1,40,23,packages\parallel-transform\index.js,1,48
71,CallExpression,nan,1,-1,-1,41,1,41,19,packages\parallel-transform\index.js,1,49
72,CallExpression,nan,2,-1,-1,48,1,63,3,packages\parallel-transform\index.js,1,50
73,ReturnStatement,nan,1,-1,-1,65,51,65,69,packages\parallel-transform\index.js,1,51
75,AssignmentExpression,nan,-1,-1,-1,66,1,66,25,packages\parallel-transform\index.js,1,52
76,AssignmentExpression,nan,-1,-1,-1,70,1,70,21,packages\parallel-transform\index.js,1,53
77,AssignmentExpression,nan,-1,-1,-1,71,1,71,25,packages\parallel-transform\index.js,1,54
78,CallExpression,nan,0,-1,-1,72,1,72,14,packages\parallel-transform\index.js,1,55
79,BlockStatement,nan,-1,-1,-1,76,20,82,2,packages\parallel-transform\index.js,1,56
80,MemberExpression,nan,-1,-1,-1,76,5,76,18,packages\parallel-transform\index.js,1,57
81,ReturnStatement,nan,-1,-1,-1,93,41,93,48,packages\parallel-transform\index.js,1,58
82,LogicalExpression,nan,-1,-1,-1,93,5,93,39,packages\parallel-transform\index.js,1,59
83,AssignmentExpression,nan,-1,-1,-1,96,1,96,21,packages\parallel-transform\index.js,1,60
84,CallExpression,nan,0,-1,-1,97,1,97,10,packages\parallel-transform\index.js,1,61
85,ConditionalExpression,nan,-1,-1,-1,102,8,102,56,packages\parallel-transform\index.js,1,62
86,MemberExpression,nan,-1,-1,-1,40,1,40,16,packages\parallel-transform\index.js,1,63
89,MemberExpression,nan,-1,-1,-1,41,1,41,10,packages\parallel-transform\index.js,1,64
90,Identifier,chunk,-1,-1,-1,48,19,48,24,packages\parallel-transform\index.js,1,65
91,FunctionExpression,nan,-1,2,1,48,26,63,2,packages\parallel-transform\index.js,1,66
92,MemberExpression,nan,-1,-1,-1,48,1,48,18,packages\parallel-transform\index.js,1,67
93,CallExpression,nan,0,-1,-1,65,58,65,68,packages\parallel-transform\index.js,1,68
95,MemberExpression,nan,-1,-1,-1,65,32,65,49,packages\parallel-transform\index.js,1,69
96,MemberExpression,nan,-1,-1,-1,66,1,66,14,packages\parallel-transform\index.js,1,70
97,Identifier,callback,-1,-1,-1,66,17,66,25,packages\parallel-transform\index.js,1,71
98,MemberExpression,nan,-1,-1,-1,70,1,70,14,packages\parallel-transform\index.js,1,72
