src,dst
0,1
0,2
0,3
3,5
3,6
3,7
4,8
4,9
7,10
9,11
9,12
12,13
13,15
14,16
14,17
15,18
15,19
17,20
17,21
19,22
19,23
19,24
24,25
25,26
25,27
25,28
28,29
28,30
28,31
28,32
28,33
30,34
30,35
32,37
33,38
35,39
36,40
36,41
37,44
37,45
41,46
41,47
44,50
44,51
45,53
48,54
48,55
49,56
49,57
51,58
52,59
52,60
60,62
60,63
61,64
61,65
65,66
65,67
68,69
68,70
71,78
71,79
72,80
72,81
73,82
73,83
74,84
74,85
75,86
75,87
76,88
76,89
77,90
77,91
78,92
80,93
82,94
84,95
86,96
88,97
90,98
92,99
92,100
93,101
93,102
94,103
94,104
95,105
95,106
96,107
97,108
98,109
110,123
110,124
110,125
111,126
111,127
111,128
112,129
112,130
112,131
113,132
113,133
114,134
114,135
115,136
115,137
116,138
116,139
117,140
117,141
118,142
118,143
119,144
119,145
120,146
120,147
121,148
121,149
122,150
122,151
132,152
134,153
136,154
138,155
140,156
142,157
144,158
146,159
148,160
150,161
152,162
153,163
154,164
155,165
156,166
157,167
158,168
159,169
160,170
161,171
172,182
172,183
172,184
173,185
173,186
173,187
174,188
174,189
174,190
175,191
175,192
175,193
176,194
176,195
176,196
177,197
177,198
177,199
178,200
178,201
179,202
179,203
179,204
180,205
180,206
180,207
181,208
181,209
181,210
