src,dst
33,88
22,82
39,9
93,80
139,148
108,140
67,134
149,140
89,25
202,15
155,90
36,136
63,82
22,84
50,150
138,132
15,82
144,138
105,142
203,142
146,90
128,78
57,78
88,82
206,3
141,84
66,142
124,150
1,90
97,132
158,148
137,144
152,80
92,142
97,90
62,82
80,9
96,132
101,15
87,146
95,25
147,150
29,150
1,138
48,78
132,84
136,82
82,90
55,138
31,134
79,25
208,150
165,25
24,146
68,136
147,136
36,84
144,78
39,86
81,90
26,136
32,3
93,80
83,150
96,146
153,132
1,86
59,80
26,3
196,142
106,148
100,78
58,90
22,86
207,3
195,132
2,82
53,15
2,78
41,134
153,138
128,9
88,25
26,3
153,140
150,15
148,80
0,150
67,80
108,142
146,25
186,90
66,134
145,148
149,136
203,148
140,134
149,80
198,80
64,150
22,9
160,3
2,144
150,86
52,82
7,146
203,150
15,3
1,134
21,82
20,15
29,138
208,138
28,15
2,84
141,134
193,9
163,9
42,3
94,86
93,148
52,148
158,134
144,82
196,138
109,80
45,134
87,148
33,9
30,148
208,86
102,140
89,150
191,150
188,148
84,144
79,88
133,150
131,86
13,142
46,86
83,90
79,3
200,146
70,142
51,134
203,142
151,136
134,86
162,148
201,148
143,138
32,84
126,86
139,144
2,25
198,138
163,132
155,134
24,3
149,90
146,90
128,78
205,78
83,146
96,136
33,138
81,88
11,80
150,88
