src,dst
0,1
0,2
1,4
1,5
1,6
2,7
2,8
2,9
2,10
3,11
3,12
6,13
6,14
6,15
6,16
10,17
16,20
17,21
18,22
18,23
19,24
19,25
21,26
21,27
27,28
27,29
29,31
30,33
30,34
32,37
32,38
39,40
39,41
42,43
42,44
42,45
42,46
47,48
47,49
48,50
51,54
51,55
52,56
52,57
53,58
53,59
54,60
56,61
58,62
60,63
60,64
65,70
65,71
66,72
66,73
67,74
67,75
68,76
68,77
69,78
69,79
70,80
72,81
72,82
74,83
74,84
76,85
76,86
78,87
78,88
82,90
82,91
82,92
84,93
84,94
84,95
86,96
86,97
86,98
88,99
88,100
88,101
89,102
103,114
104,115
104,116
105,117
106,118
107,119
107,120
108,121
109,122
109,123
110,124
111,125
112,126
113,127
113,128
115,129
119,130
122,131
127,132
130,133
132,134
135,146
136,147
137,148
138,149
138,150
139,151
139,152
140,153
141,154
141,155
142,156
143,157
143,158
144,159
144,160
145,161
149,162
151,163
151,164
151,165
157,166
157,167
159,168
162,169
170,179
170,180
171,181
171,182
172,183
173,184
173,185
173,186
174,187
175,188
175,189
175,190
176,191
177,192
177,193
177,194
178,195
179,196
179,197
181,198
185,199
189,200
193,201
202,206
202,207
202,208
203,209
204,210
204,211
204,212
205,213
207,214
211,215
