src,dst
44,119
126,181
157,56
155,159
26,48
199,58
115,48
158,159
76,179
159,72
132,179
124,76
201,115
90,48
148,151
81,78
147,179
148,58
50,21
23,72
129,58
24,54
94,115
76,115
5,21
98,72
83,56
134,157
64,56
192,48
92,119
215,74
147,48
114,159
180,48
96,78
132,21
26,1
126,122
208,157
17,76
114,21
70,181
133,115
119,157
192,54
13,58
40,115
198,115
20,181
209,54
0,74
23,74
149,151
213,78
21,74
134,149
12,149
169,122
26,48
208,21
90,48
0,149
215,58
159,157
127,157
5,21
161,1
54,115
45,181
37,159
72,127
84,127
60,115
78,181
2,119
181,179
54,72
152,159
72,76
7,72
49,48
88,1
149,119
78,127
80,179
7,78
212,74
192,115
34,119
198,115
29,74
95,56
93,2
83,48
76,21
8,157
25,72
93,157
46,54
2,54
82,54
42,157
94,2
116,115
5,151
197,151
116,74
57,181
36,151
213,78
155,181
118,157
208,54
190,115
89,179
210,1
151,149
46,1
13,127
155,56
153,179
209,159
1,157
76,157
100,2
86,58
168,151
125,181
60,2
194,119
85,181
79,179
160,157
5,149
200,115
22,48
91,58
33,21
191,127
116,1
164,56
150,48
21,119
201,54
166,159
160,149
83,157
38,157
77,181
94,151
74,157
43,56
49,78
62,127
133,58
12,127
187,149
22,119
40,74
187,78
