src,same_file,jaccard_val,dst
113,1,1.0,35
94,1,-1.0,106
96,1,1.0,35
127,1,1.0,35
201,1,1.0,135
189,1,-1.0,196
214,1,1.0,135
334,1,-1.0,347
335,1,-1.0,349
336,1,-1.0,351
337,1,-1.0,353
338,1,-1.0,355
456,0,-1.0,905
339,1,-1.0,357
340,1,-1.0,359
464,0,0.25,35
341,1,-1.0,361
473,0,-1.0,905
342,1,-1.0,363
611,0,0.25,35
485,1,1.0,408
613,0,0.25,35
486,1,1.0,408
615,0,0.25,35
487,1,1.0,408
617,0,0.25,35
488,1,1.0,408
619,0,0.25,35
489,1,1.0,408
343,1,-1.0,365
667,0,0.25,35
653,0,-1.0,905
493,1,1.0,415
494,1,1.0,415
495,1,1.0,415
344,1,-1.0,367
345,1,-1.0,369
346,1,-1.0,372
691,1,-1.0,705
692,1,-1.0,707
693,1,-1.0,709
694,1,-1.0,711
695,1,-1.0,713
696,1,-1.0,715
817,1,-1.0,905
697,1,-1.0,717
698,1,-1.0,719
825,0,0.5,135
699,1,-1.0,721
700,1,-1.0,723
967,0,0.5,135
846,1,1.0,769
969,0,0.5,135
847,1,1.0,769
971,0,0.5,135
848,1,1.0,769
973,0,0.5,135
849,1,1.0,769
975,0,0.5,135
850,1,1.0,769
701,1,-1.0,725
1053,0,0.5,135
854,1,1.0,776
855,1,1.0,776
856,1,1.0,776
702,1,-1.0,727
703,1,-1.0,729
704,1,-1.0,732
1825,1,-1.0,1853
1264,1,-1.0,1440
1265,1,-1.0,1442
1086,1,-1.0,1108
1826,1,-1.0,1856
1272,1,-1.0,1447
1273,1,-1.0,1449
1087,1,-1.0,1110
1827,1,-1.0,1859
1280,1,-1.0,1454
1281,1,-1.0,1456
1088,1,-1.0,1112
1828,1,-1.0,1862
1288,1,-1.0,1461
1289,1,-1.0,1463
1089,1,-1.0,1114
1829,1,-1.0,1865
1296,1,-1.0,1468
1297,1,-1.0,1470
1090,1,-1.0,1116
1830,1,-1.0,1868
1304,1,-1.0,1475
1305,1,-1.0,1477
1091,1,-1.0,1118
1832,1,-1.0,1872
1312,1,-1.0,1482
1313,1,-1.0,1484
1092,1,-1.0,1120
1833,1,-1.0,1875
1320,1,-1.0,1489
1321,1,-1.0,1491
1093,1,-1.0,1122
1836,1,-1.0,1880
1328,1,-1.0,1496
1329,1,-1.0,1498
1094,1,-1.0,1124
1837,1,-1.0,1883
1336,1,-1.0,1503
1337,1,-1.0,1505
1095,1,-1.0,1126
1838,1,-1.0,1886
1344,1,-1.0,1510
1345,1,-1.0,1512
1096,1,-1.0,1128
1839,1,-1.0,1889
1352,1,-1.0,1517
1353,1,-1.0,1519
1097,1,-1.0,1130
1840,1,-1.0,1892
1360,1,-1.0,1524
1361,1,-1.0,1526
1098,1,-1.0,1132
1841,1,-1.0,1895
1368,1,-1.0,1531
1369,1,-1.0,1533
1099,1,-1.0,1134
1843,1,-1.0,1899
1376,1,-1.0,1538
1377,1,-1.0,1540
1100,1,-1.0,1136
1844,1,-1.0,1902
1384,1,-1.0,1545
1385,1,-1.0,1547
1101,1,-1.0,1138
1846,1,-1.0,1905
1392,1,-1.0,1552
1393,1,-1.0,1554
1102,1,-1.0,1140
1847,1,-1.0,1908
1400,1,-1.0,1559
1401,1,-1.0,1561
1103,1,-1.0,1142
1848,1,-1.0,1911
1408,1,-1.0,1566
1409,1,-1.0,1568
1104,1,-1.0,1144
1849,1,-1.0,1914
1416,1,-1.0,1573
1417,1,-1.0,1575
1105,1,-1.0,1146
1850,1,-1.0,1917
1424,1,-1.0,1580
1425,1,-1.0,1582
1106,1,-1.0,1148
1851,1,-1.0,1920
1432,1,-1.0,1587
1433,1,-1.0,1589
1107,1,-1.0,1150
2139,1,-1.0,2147
2016,1,-1.0,2056
2017,1,-1.0,2058
1974,1,-1.0,1979
2141,1,-1.0,2150
2024,1,-1.0,2063
2025,1,-1.0,2065
1975,1,-1.0,1981
2142,1,-1.0,2153
2032,1,-1.0,2070
2033,1,-1.0,2072
1976,1,-1.0,1983
2144,1,-1.0,2156
2040,1,-1.0,2077
2041,1,-1.0,2079
1977,1,-1.0,1985
2145,1,-1.0,2159
2048,1,-1.0,2084
2049,1,-1.0,2086
1978,1,-1.0,1987
