src,dst
992,1144
2058,1140
984,1134
1017,719
991,776
86,1545
1804,1496
761,709
731,1124
1248,1552
1030,711
333,2150
1942,727
2084,367
1127,1253
633,1905
852,1198
142,729
690,1531
420,707
1668,2008
1036,1589
1727,1905
1457,1983
2110,1895
1822,1775
1293,295
1471,1554
133,1517
1501,1872
1258,2014
1128,1892
844,2153
1542,1510
1785,1517
266,1889
316,361
1982,2014
554,1489
1769,1250
685,1225
1061,361
1217,1240
1996,1580
1970,2011
1534,1875
490,1146
503,196
1711,1234
173,1219
843,1517
1550,2056
2084,1503
0,1547
115,1545
305,1561
221,1234
1188,1237
1814,1228
294,2056
1490,719
1964,2056
46,1136
1315,1256
1066,1868
1956,1905
1411,1905
2001,1981
1583,715
1326,1225
2166,1589
279,1126
1451,1222
269,1981
747,1142
2160,1908
869,361
70,1505
1772,351
782,196
215,1146
1064,1547
1743,2072
1694,905
1522,1775
584,1146
734,1920
1645,2008
1738,1213
230,1547
1738,1259
73,1146
2021,713
323,1482
1455,727
793,1856
713,1545
397,1510
62,1981
407,1905
1893,1566
675,295
237,1130
376,727
1209,1231
781,1222
980,2058
841,1132
1354,223
781,1237
710,1862
27,1477
1835,1110
290,1872
1702,2008
523,1889
1590,1122
1584,1114
216,1144
1290,294
1529,1538
963,1875
715,1116
46,1120
1948,1920
851,1204
62,35
504,1908
1668,1582
548,1875
1230,1559
1366,1575
190,1575
155,1134
2103,2011
1821,1559
1714,294
69,1533
179,1892
1988,1136
918,359
420,1120
1206,369
1814,1198
1505,1112
1857,1872
1450,1228
1969,1853
1684,1524
1418,369
97,1120
555,1124
540,223
5,1540
620,2153
294,2147
1083,135
650,1449
1234,365
1133,367
1113,1561
323,1519
102,2004
1349,224
2161,2063
952,1256
1176,408
262,1122
779,223
756,1886
1221,2086
544,1531
1137,347
600,351
836,347
1983,1775
1593,1917
1528,2011
961,1222
1133,369
1773,1140
893,1207
88,1503
163,295
1322,1917
1745,1526
1156,349
1490,1902
1249,1552
905,1470
193,1983
220,1222
1665,1231
1548,1146
304,1447
1911,1240
1154,1496
87,2004
803,2153
1221,1244
1857,1902
3,1582
178,359
305,1895
1527,2058
182,1134
1712,1124
1999,1899
1156,1566
2122,1150
563,2001
853,1470
1358,1477
362,1920
1967,1440
1575,2065
814,1449
1957,353
2036,1222
1013,719
565,2004
1510,1987
317,365
2117,408
1243,1216
935,408
1259,2070
1775,363
1341,1440
533,713
46,2001
662,408
803,361
668,2153
2076,723
1141,1144
1435,713
1047,1244
1709,1526
1765,1130
1877,1914
629,1440
2105,1895
1378,1470
239,1868
221,1262
804,415
1474,2084
152,1150
1238,1979
1814,1512
351,1259
279,1150
484,361
668,1140
191,707
1498,732
1674,1244
1267,1234
1041,1917
1550,1889
514,1210
1364,725
2160,1979
670,357
948,1526
1115,1908
60,2065
2140,294
2100,1198
1542,905
118,1566
732,1498
263,1524
970,1587
1447,1207
1563,1517
483,35
21,1442
520,1985
400,705
105,2072
1958,1231
158,1461
1580,1491
200,1911
570,2077
1618,1122
1439,1526
192,1517
1406,1862
118,1505
1362,1132
75,1862
2027,711
1254,367
1804,351
47,1979
1316,2056
1719,1582
705,1216
475,1112
629,1237
1428,1582
1872,2058
681,1262
1938,2070
1868,719
1955,1775
554,196
2169,1122
1195,2014
2045,367
1340,1743
172,1886
1923,295
516,1253
1152,1132
2058,1198
1561,1231
314,1456
1522,1899
1909,1580
1147,369
1209,367
1358,2086
196,1150
138,35
538,347
589,2079
380,1114
1543,2063
1943,2011
1034,1561
1602,355
1246,1554
106,727
1406,1234
1754,1477
946,2001
1824,1512
1585,1132
1739,1112
564,2058
390,707
281,1204
174,353
1472,1531
1340,1463
2056,1512
313,2079
604,1589
741,1256
1747,1743
2054,1112
724,1859
216,1575
687,1447
838,408
124,721
78,1540
1952,1256
299,1505
526,2150
685,1234
1726,1250
1823,2084
1123,1114
875,1108
1192,1222
1598,707
2004,355
1635,1475
1558,769
2122,1440
1908,294
72,1213
2079,1865
1895,727
1298,1853
1373,1112
2076,1883
562,2084
181,1875
588,717
1965,367
1555,1498
1926,106
1216,2001
1859,769
1524,1743
1054,776
502,705
1804,1914
1583,1512
913,415
1557,1134
99,1253
1257,1505
1380,1517
373,1114
1339,1132
1875,1259
720,1559
1803,1886
1188,905
463,1262
1169,1128
1396,1981
2046,361
948,369
1659,1222
1215,721
1219,1573
561,1219
1753,1911
539,725
688,1447
1963,372
388,1247
1132,2063
5,1561
1817,1524
1546,1256
1957,1216
1481,2086
2021,1440
1055,1505
1052,1112
668,1134
1406,135
1466,1198
982,1201
1629,2086
1820,1519
1920,1210
1792,721
955,2147
727,1981
578,707
1292,723
1012,1883
1128,1582
1316,369
1708,106
664,1213
579,106
1145,1461
184,1250
1730,1985
874,1447
957,1449
183,1496
683,1920
1804,725
1241,1587
2069,1207
964,135
1396,1482
571,705
2087,365
