id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,36,1,packages\pino-std-serializers\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,42,packages\pino-std-serializers\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,62,packages\pino-std-serializers\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,5,0,5,43,packages\pino-std-serializers\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,6,0,6,43,packages\pino-std-serializers\index.js,1,4
9,AssignmentExpression,nan,-1,-1,-1,8,0,36,1,packages\pino-std-serializers\index.js,1,5
10,MemberExpression,nan,-1,-1,-1,8,0,8,14,packages\pino-std-serializers\index.js,1,6
11,ObjectExpression,nan,-1,-1,-1,8,17,36,1,packages\pino-std-serializers\index.js,1,7
12,Program,nan,-1,-1,-1,1,0,118,1,packages\pino-std-serializers\lib\err-helpers.js,0,8
14,VariableDeclaration,nan,-1,-1,-1,8,0,10,1,packages\pino-std-serializers\lib\err-helpers.js,0,9
15,VariableDeclaration,nan,-1,-1,-1,16,0,36,1,packages\pino-std-serializers\lib\err-helpers.js,0,10
16,VariableDeclaration,nan,-1,-1,-1,46,0,64,1,packages\pino-std-serializers\lib\err-helpers.js,0,11
17,VariableDeclaration,nan,-1,-1,-1,70,0,70,65,packages\pino-std-serializers\lib\err-helpers.js,0,12
18,VariableDeclaration,nan,-1,-1,-1,81,0,105,1,packages\pino-std-serializers\lib\err-helpers.js,0,13
19,VariableDeclaration,nan,-1,-1,-1,111,0,111,69,packages\pino-std-serializers\lib\err-helpers.js,0,14
22,AssignmentExpression,nan,-1,-1,-1,113,0,118,1,packages\pino-std-serializers\lib\err-helpers.js,0,15
23,MemberExpression,nan,-1,-1,-1,113,0,113,14,packages\pino-std-serializers\lib\err-helpers.js,0,16
24,ObjectExpression,nan,-1,-1,-1,113,17,118,1,packages\pino-std-serializers\lib\err-helpers.js,0,17
25,Program,nan,-1,-1,-1,1,0,48,1,packages\pino-std-serializers\lib\err-proto.js,0,18
27,VariableDeclaration,nan,-1,-1,-1,3,0,3,39,packages\pino-std-serializers\lib\err-proto.js,0,19
28,VariableDeclaration,nan,-1,-1,-1,4,0,4,44,packages\pino-std-serializers\lib\err-proto.js,0,20
29,VariableDeclaration,nan,-1,-1,-1,6,0,36,2,packages\pino-std-serializers\lib\err-proto.js,0,21
33,CallExpression,nan,3,-1,-1,37,0,40,2,packages\pino-std-serializers\lib\err-proto.js,0,22
34,AssignmentExpression,nan,-1,-1,-1,42,0,48,1,packages\pino-std-serializers\lib\err-proto.js,0,23
35,Identifier,pinoErrProto,-1,-1,-1,37,22,37,34,packages\pino-std-serializers\lib\err-proto.js,0,24
36,Identifier,rawSymbol,-1,-1,-1,37,36,37,45,packages\pino-std-serializers\lib\err-proto.js,0,25
37,ObjectExpression,nan,-1,-1,-1,37,47,40,1,packages\pino-std-serializers\lib\err-proto.js,0,26
38,MemberExpression,nan,-1,-1,-1,37,0,37,21,packages\pino-std-serializers\lib\err-proto.js,0,27
39,MemberExpression,nan,-1,-1,-1,42,0,42,14,packages\pino-std-serializers\lib\err-proto.js,0,28
40,ObjectExpression,nan,-1,-1,-1,42,17,48,1,packages\pino-std-serializers\lib\err-proto.js,0,29
41,Program,nan,-1,-1,-1,1,0,48,1,packages\pino-std-serializers\lib\err-with-cause.js,0,30
44,VariableDeclaration,nan,-1,-1,-1,5,0,5,48,packages\pino-std-serializers\lib\err-with-cause.js,0,31
