id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,12,1,packages\please-upgrade-node\.eslintrc.js,0,0
3,AssignmentExpression,nan,-1,-1,-1,1,0,12,1,packages\please-upgrade-node\.eslintrc.js,0,1
4,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\please-upgrade-node\.eslintrc.js,0,2
5,ObjectExpression,nan,-1,-1,-1,1,17,12,1,packages\please-upgrade-node\.eslintrc.js,0,3
6,Program,nan,-1,-1,-1,1,0,25,1,packages\please-upgrade-node\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,1,0,1,45,packages\please-upgrade-node\index.js,1,5
9,AssignmentExpression,nan,-1,-1,-1,3,0,25,1,packages\please-upgrade-node\index.js,1,6
10,MemberExpression,nan,-1,-1,-1,3,0,3,14,packages\please-upgrade-node\index.js,1,7
11,FunctionExpression,nan,-1,2,0,3,17,25,1,packages\please-upgrade-node\index.js,1,8
12,Identifier,pleaseUpgradeNode,-1,-1,-1,3,26,3,43,packages\please-upgrade-node\index.js,1,9
13,Identifier,pkg,-1,-1,-1,3,44,3,47,packages\please-upgrade-node\index.js,1,10
14,Identifier,opts,-1,-1,-1,3,49,3,53,packages\please-upgrade-node\index.js,1,11
16,BlockStatement,nan,-1,-1,-1,3,55,25,1,packages\please-upgrade-node\index.js,1,12
17,VariableDeclaration,nan,-1,-1,-1,4,2,4,23,packages\please-upgrade-node\index.js,1,13
18,VariableDeclaration,nan,-1,-1,-1,5,2,5,58,packages\please-upgrade-node\index.js,1,14
19,VariableDeclaration,nan,-1,-1,-1,6,2,6,55,packages\please-upgrade-node\index.js,1,15
20,IfStatement,nan,-1,-1,-1,7,2,24,3,packages\please-upgrade-node\index.js,1,16
21,BlockStatement,nan,-1,-1,-1,7,61,24,3,packages\please-upgrade-node\index.js,1,17
23,IfStatement,nan,-1,-1,-1,8,4,17,5,packages\please-upgrade-node\index.js,1,18
24,IfStatement,nan,-1,-1,-1,19,4,23,5,packages\please-upgrade-node\index.js,1,19
25,CallExpression,nan,2,-1,-1,7,6,7,52,packages\please-upgrade-node\index.js,1,20
26,UnaryExpression,nan,1,-1,-1,7,57,7,59,packages\please-upgrade-node\index.js,1,21
27,BlockStatement,nan,-1,-1,-1,8,22,10,5,packages\please-upgrade-node\index.js,1,22
28,MemberExpression,nan,-1,-1,-1,8,8,8,20,packages\please-upgrade-node\index.js,1,23
29,BlockStatement,nan,-1,-1,-1,19,41,21,5,packages\please-upgrade-node\index.js,1,24
30,CallExpression,nan,1,-1,-1,19,8,19,39,packages\please-upgrade-node\index.js,1,25
31,Identifier,currentVersion,-1,-1,-1,7,20,7,34,packages\please-upgrade-node\index.js,1,26
32,Identifier,requiredVersion,-1,-1,-1,7,36,7,51,packages\please-upgrade-node\index.js,1,27
33,Identifier,semverCompare,-1,-1,-1,7,6,7,19,packages\please-upgrade-node\index.js,1,28
38,MemberExpression,nan,-1,-1,-1,19,8,19,27,packages\please-upgrade-node\index.js,1,29
39,CallExpression,nan,1,-1,-1,9,6,9,50,packages\please-upgrade-node\index.js,1,30
40,CallExpression,nan,1,-1,-1,20,6,20,33,packages\please-upgrade-node\index.js,1,31
41,CallExpression,nan,1,-1,-1,9,20,9,49,packages\please-upgrade-node\index.js,1,32
