src,dst
108,518
435,58
539,22
161,620
515,553
397,105
268,580
539,620
411,594
457,553
138,561
153,173
405,173
449,594
507,496
89,22
465,586
466,59
90,538
593,504
300,512
252,553
39,69
235,105
427,504
340,62
571,618
41,70
464,58
34,62
624,620
185,518
600,561
355,59
502,22
91,107
208,604
417,598
287,105
32,59
283,58
413,518
228,70
264,594
580,101
147,561
609,580
466,173
97,510
469,606
344,618
400,58
428,103
584,70
549,103
284,580
615,547
428,510
88,69
527,107
360,520
375,604
220,598
6,618
317,538
609,103
470,563
189,510
566,512
300,586
310,598
290,510
212,538
243,563
223,547
32,580
189,518
142,620
242,70
587,563
14,59
432,520
386,620
150,553
102,586
161,618
449,563
212,103
195,520
113,510
86,538
377,604
314,594
146,173
597,598
19,107
209,598
3,22
429,553
412,518
388,520
406,62
340,594
401,101
557,101
588,618
192,103
132,547
613,510
452,561
281,504
342,62
243,22
152,504
86,618
557,563
488,504
255,59
34,606
24,553
348,520
1,563
195,518
411,547
115,563
486,563
533,69
251,58
414,620
544,103
31,107
622,606
304,173
22,598
108,563
156,496
198,173
189,62
546,518
387,59
421,105
248,62
484,563
397,58
165,604
523,101
177,598
520,62
260,22
249,101
262,69
549,103
630,518
189,512
152,555
244,62
458,553
289,22
123,604
111,70
322,594
492,618
220,59
220,107
467,594
51,620
22,598
528,69
424,547
321,496
259,62
181,101
47,510
479,555
480,70
227,620
183,173
419,563
300,598
387,520
205,618
448,604
358,496
518,512
262,580
447,101
425,70
595,101
606,504
298,105
296,538
449,620
467,107
303,561
399,586
307,101
572,520
289,496
389,103
102,173
465,512
259,512
1,504
208,512
59,512
106,563
158,22
269,553
566,538
225,620
383,512
635,538
390,59
382,107
130,580
605,70
354,69
116,538
408,563
172,594
470,512
332,538
250,598
128,598
117,59
453,173
561,101
66,510
80,59
534,512
43,606
369,547
481,620
412,69
23,561
576,620
29,101
259,594
164,173
369,553
523,107
73,553
314,103
524,59
116,598
12,520
124,520
206,561
343,70
179,496
49,620
9,173
539,512
188,105
337,107
397,173
294,510
158,59
473,518
284,62
587,107
545,22
377,58
247,173
97,504
146,606
349,105
263,604
337,538
346,103
68,107
607,173
346,107
203,512
454,101
129,512
393,59
568,604
247,538
609,107
409,563
81,70
193,69
575,586
280,512
224,553
89,553
235,586
93,504
200,538
607,105
234,173
462,620
24,103
452,620
426,510
579,594
161,107
631,504
566,504
207,618
385,561
548,105
398,553
510,22
481,103
427,563
154,59
230,553
295,604
4,518
288,173
510,555
379,620
30,22
139,547
322,598
358,59
243,553
346,547
78,504
257,520
445,547
503,604
325,606
20,518
417,518
589,620
89,547
250,563
513,594
124,105
359,173
601,58
117,103
622,563
393,561
589,604
363,520
453,563
354,504
251,22
150,594
311,563
104,496
20,70
127,520
448,22
22,555
582,101
512,553
482,496
261,59
399,70
154,520
271,58
578,604
229,173
246,22
535,62
480,520
419,58
34,107
374,563
556,594
390,504
163,107
75,598
310,586
361,518
211,70
310,520
351,547
308,520
257,518
274,70
505,512
465,518
515,22
208,580
431,512
62,103
218,563
154,101
349,105
503,580
624,598
475,62
34,555
595,606
630,604
511,561
363,69
28,586
495,561
74,580
127,105
406,496
587,173
187,563
322,598
502,58
221,518
60,496
271,105
309,510
324,604
520,553
406,103
536,58
95,103
520,598
263,107
542,58
160,496
634,538
204,101
144,496
314,586
184,547
320,547
473,103
196,547
232,107
65,538
74,620
380,604
586,70
412,563
346,538
63,553
41,580
579,496
254,101
486,620
90,504
615,518
280,520
163,22
106,101
325,101
469,561
605,620
246,620
102,580
313,520
324,553
413,105
453,69
388,510
188,547
503,561
