src,same_file,jaccard_val,dst
17,0,-1.0,201
77,1,1.0,31
51,1,-1.0,55
166,1,1.0,84
158,1,1.0,87
163,1,1.0,87
220,0,-1.0,746
214,1,-1.0,215
209,0,0.0,32
240,0,-1.0,201
388,0,0.0,32
248,1,-1.0,272
391,0,0.0,32
249,1,-1.0,274
394,0,0.0,32
250,1,-1.0,276
397,0,0.0,32
251,1,-1.0,278
400,0,0.0,32
252,1,-1.0,280
403,0,0.0,32
253,1,-1.0,282
406,0,0.0,32
254,1,-1.0,284
409,0,0.0,32
255,1,-1.0,286
412,0,0.0,32
256,1,-1.0,288
415,0,0.0,32
257,1,-1.0,290
418,0,0.0,32
258,1,-1.0,292
421,0,0.0,32
259,1,-1.0,294
424,0,0.0,32
260,1,-1.0,296
427,0,0.0,32
261,1,-1.0,298
430,0,0.0,32
262,1,-1.0,300
433,0,0.0,32
263,1,-1.0,302
436,0,0.0,32
264,1,-1.0,304
439,0,0.0,32
265,1,-1.0,306
442,0,0.0,32
266,1,-1.0,308
445,0,0.0,32
267,1,-1.0,310
448,0,0.0,32
268,1,-1.0,312
451,0,0.0,32
269,1,-1.0,314
454,0,0.0,32
270,1,-1.0,316
512,1,-1.0,531
513,1,-1.0,533
514,1,-1.0,535
515,1,-1.0,537
516,1,-1.0,539
517,1,-1.0,541
518,1,-1.0,543
519,1,-1.0,545
520,1,-1.0,547
521,1,-1.0,549
522,1,-1.0,551
523,1,-1.0,553
524,1,-1.0,555
525,1,-1.0,557
526,1,-1.0,559
527,1,-1.0,561
528,1,-1.0,563
529,1,-1.0,565
696,1,-1.0,706
697,1,-1.0,708
698,1,-1.0,710
751,0,-1.0,235
699,1,-1.0,712
739,0,-1.0,235
700,1,-1.0,714
741,1,-1.0,759
701,1,-1.0,716
742,1,-1.0,761
702,1,-1.0,718
