src,dst
277,85
466,85
174,294
102,288
241,290
440,310
280,276
447,272
422,710
154,32
175,298
555,274
233,298
693,708
14,288
746,215
423,312
116,86
122,718
544,312
458,86
645,557
87,312
99,304
601,290
165,718
571,761
358,84
241,316
226,545
317,537
338,718
19,6
437,543
475,296
85,286
670,746
189,714
569,55
570,272
12,235
708,533
764,312
503,32
534,298
496,706
730,272
81,230
446,300
280,274
185,55
58,537
173,32
684,563
457,537
748,314
19,710
283,292
223,547
195,230
108,565
349,759
300,710
115,541
638,553
347,300
239,541
100,292
777,761
239,304
136,300
298,553
510,712
422,294
143,565
33,86
476,316
558,761
603,296
174,87
556,302
313,714
336,714
318,553
693,759
756,314
201,230
441,746
762,312
224,84
189,565
174,12
27,308
481,537
347,547
720,290
553,746
197,310
568,294
657,310
661,746
205,288
147,306
766,235
139,304
305,537
184,561
757,557
399,55
63,117
167,286
335,541
714,235
124,201
676,557
292,545
601,718
126,86
362,230
356,559
72,561
106,86
644,712
47,533
222,298
41,545
200,276
19,539
52,541
575,296
309,531
357,230
287,308
757,716
74,230
199,280
536,543
726,531
60,85
180,302
499,561
755,746
23,292
311,278
643,706
317,706
562,288
282,302
54,706
396,31
715,533
107,306
64,535
713,557
50,288
85,286
414,708
475,537
653,310
132,541
102,86
345,710
318,718
188,557
203,308
346,547
113,308
110,87
244,563
109,710
236,547
96,563
507,280
683,55
232,545
79,549
765,286
162,284
450,565
389,284
434,559
765,300
22,286
129,549
213,553
88,298
341,32
711,298
679,294
458,230
502,547
217,559
35,706
494,290
85,87
138,300
245,302
181,555
592,759
187,84
90,290
665,547
435,284
414,533
540,746
97,302
674,316
691,545
674,235
457,535
350,117
245,290
276,117
145,12
694,537
78,308
393,32
472,235
350,553
244,292
456,708
222,272
233,718
175,761
480,87
505,296
147,230
683,32
243,280
592,761
10,547
762,294
93,274
496,215
105,282
116,716
444,541
6,549
631,294
102,6
61,563
724,85
175,117
435,535
307,294
552,708
200,316
137,201
282,32
223,294
353,312
141,553
779,288
105,559
168,290
181,86
669,280
767,555
213,555
16,85
189,714
546,12
355,563
113,296
405,278
239,32
604,230
750,708
276,85
352,316
422,541
692,306
239,55
589,292
763,710
9,117
344,541
191,201
228,759
582,302
583,288
542,32
16,710
589,541
603,87
598,308
553,290
504,292
673,553
198,559
20,555
543,708
32,563
677,302
314,746
175,563
335,284
358,310
492,292
480,294
89,316
92,746
759,272
136,235
52,712
434,280
558,85
109,215
575,274
685,55
86,759
500,555
449,201
176,549
178,563
766,557
315,302
177,563
14,555
395,545
152,761
212,294
212,537
488,759
360,537
152,557
587,55
678,547
89,84
35,12
273,714
32,282
670,555
80,292
477,87
305,718
393,84
295,230
665,280
657,278
704,278
106,201
572,117
581,300
91,561
629,84
545,87
204,84
34,280
407,55
197,274
293,292
502,551
760,565
148,718
494,549
487,561
706,563
332,563
360,706
298,555
239,559
650,230
706,539
31,706
443,306
768,32
167,12
29,31
201,300
768,761
215,87
573,712
561,543
776,553
116,708
1,290
557,563
279,716
579,6
295,6
776,296
28,276
109,746
336,284
767,84
560,85
757,235
179,294
192,547
720,712
469,312
242,714
635,746
481,716
215,286
745,746
601,55
568,535
504,12
509,565
685,551
241,294
116,274
692,561
673,85
727,274
179,300
488,557
636,708
337,759
12,86
647,310
731,545
4,557
426,288
774,718
322,215
675,545
73,300
567,706
136,308
717,314
44,533
534,557
130,296
396,84
475,302
565,551
218,535
90,551
11,561
139,282
180,230
732,312
571,559
122,84
141,559
139,541
100,300
160,761
591,235
444,284
595,292
481,201
712,31
298,545
165,306
29,557
499,716
85,306
162,555
115,553
128,12
687,312
634,561
88,565
56,549
109,706
556,716
534,545
95,300
310,714
349,543
59,278
429,272
508,761
50,86
176,55
43,284
310,312
4,292
38,302
45,215
239,286
322,716
713,298
487,55
355,761
629,117
211,215
681,282
152,759
113,32
185,541
27,541
160,288
243,230
81,288
500,718
232,117
559,563
19,308
338,304
643,12
283,85
475,278
245,84
544,557
297,557
711,706
123,201
568,539
598,533
11,714
206,286
767,288
124,559
116,86
174,531
585,533
178,531
280,201
558,304
455,541
689,541
132,746
349,541
324,539
195,545
765,284
79,537
532,296
70,539
389,86
766,306
570,294
227,300
501,555
500,563
676,565
671,290
184,746
88,276
106,302
650,559
206,12
659,290
281,712
562,296
223,541
488,746
411,547
334,312
204,708
153,561
91,312
180,314
288,533
725,531
440,314
478,549
75,746
407,531
298,537
357,535
284,201
389,555
766,710
284,563
52,714
483,302
304,559
578,215
746,531
487,278
172,541
44,274
582,714
231,272
2,12
299,559
318,302
84,276
280,85
345,215
574,712
231,708
302,716
532,298
575,302
564,306
677,314
443,563
13,553
485,706
290,292
294,706
649,563
769,559
94,310
673,708
0,294
348,539
153,714
551,304
19,535
722,312
685,561
289,85
777,539
8,543
229,712
183,539
132,553
758,276
99,284
87,531
330,276
354,759
587,296
161,292
489,290
490,201
286,708
506,278
459,280
463,84
76,298
73,87
714,6
204,563
685,32
419,278
640,304
407,87
