src,dst
66,102
215,110
90,116
179,88
16,114
182,82
3,68
125,76
3,16
31,96
11,110
162,88
203,82
65,112
185,116
80,94
216,76
175,124
191,68
123,104
71,80
73,120
3,88
16,124
30,120
114,126
85,70
84,88
174,112
189,120
111,126
93,68
77,112
166,88
118,84
8,112
99,88
217,106
68,86
27,76
101,98
122,80
116,126
194,86
187,124
21,98
70,108
71,29
26,74
179,102
31,78
1,74
11,86
7,78
221,114
12,110
82,110
30,16
30,112
183,68
175,84
12,110
90,66
201,120
199,126
107,78
109,120
87,110
194,116
65,29
89,80
93,100
200,114
66,80
185,118
200,94
181,112
27,86
193,84
126,96
201,74
101,112
184,29
8,94
171,76
84,68
22,116
113,112
107,122
86,108
103,100
0,82
119,78
72,92
202,124
124,106
107,114
78,64
181,66
215,118
220,74
170,80
77,114
99,16
68,86
125,76
193,68
122,88
183,92
1,112
124,126
72,122
108,82
160,90
130,29
85,29
21,120
65,64
4,86
79,104
199,108
90,16
196,78
91,114
31,112
170,80
180,90
88,68
221,96
190,74
77,92
171,70
3,80
82,104
70,124
96,114
77,80
221,122
162,112
187,122
15,16
164,118
111,74
176,114
114,126
101,112
176,126
217,66
174,104
66,64
13,106
116,104
171,66
17,74
9,106
26,108
105,124
188,104
118,98
196,122
191,124
84,122
113,72
21,66
119,102
184,124
89,126
78,16
173,90
131,106
117,102
26,116
218,64
