id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,27,30,packages\postcss-opacity-percentage\index.js,1,0
2,VariableDeclaration,nan,-1,-1,-1,1,0,6,3,packages\postcss-opacity-percentage\index.js,1,1
5,AssignmentExpression,nan,-1,-1,-1,11,0,25,2,packages\postcss-opacity-percentage\index.js,1,2
6,AssignmentExpression,nan,-1,-1,-1,27,0,27,29,packages\postcss-opacity-percentage\index.js,1,3
7,MemberExpression,nan,-1,-1,-1,11,0,11,14,packages\postcss-opacity-percentage\index.js,1,4
8,ArrowFunctionExpression,nan,-1,1,0,11,17,25,2,packages\postcss-opacity-percentage\index.js,1,5
9,MemberExpression,nan,-1,-1,-1,27,0,27,22,packages\postcss-opacity-percentage\index.js,1,6
11,AssignmentPattern,nan,-1,-1,-1,11,18,11,41,packages\postcss-opacity-percentage\index.js,1,7
13,ObjectExpression,nan,-1,-1,-1,11,47,25,1,packages\postcss-opacity-percentage\index.js,1,8
14,ObjectPattern,nan,-1,-1,-1,11,18,11,36,packages\postcss-opacity-percentage\index.js,1,9
15,ObjectExpression,nan,-1,-1,-1,11,39,11,41,packages\postcss-opacity-percentage\index.js,1,10
16,Program,nan,-1,-1,-1,1,0,37,1,packages\postcss-opacity-percentage\test\index.test.js,1,11
17,VariableDeclaration,nan,-1,-1,-1,1,0,1,34,packages\postcss-opacity-percentage\test\index.test.js,1,12
18,VariableDeclaration,nan,-1,-1,-1,2,0,2,38,packages\postcss-opacity-percentage\test\index.test.js,1,13
19,VariableDeclaration,nan,-1,-1,-1,3,0,3,30,packages\postcss-opacity-percentage\test\index.test.js,1,14
20,VariableDeclaration,nan,-1,-1,-1,4,0,4,35,packages\postcss-opacity-percentage\test\index.test.js,1,15
21,VariableDeclaration,nan,-1,-1,-1,5,0,5,38,packages\postcss-opacity-percentage\test\index.test.js,1,16
22,VariableDeclaration,nan,-1,-1,-1,7,0,7,59,packages\postcss-opacity-percentage\test\index.test.js,1,17
23,VariableDeclaration,nan,-1,-1,-1,9,0,9,85,packages\postcss-opacity-percentage\test\index.test.js,1,18
24,VariableDeclaration,nan,-1,-1,-1,11,0,19,2,packages\postcss-opacity-percentage\test\index.test.js,1,19
25,VariableDeclaration,nan,-1,-1,-1,21,0,27,2,packages\postcss-opacity-percentage\test\index.test.js,1,20
26,ForOfStatement,nan,-1,-1,-1,29,0,37,1,packages\postcss-opacity-percentage\test\index.test.js,1,21
27,VariableDeclaration,nan,-1,-1,-1,29,5,29,33,packages\postcss-opacity-percentage\test\index.test.js,1,22
28,CallExpression,nan,1,-1,-1,29,37,29,58,packages\postcss-opacity-percentage\test\index.test.js,1,23
29,BlockStatement,nan,-1,-1,-1,29,60,37,1,packages\postcss-opacity-percentage\test\index.test.js,1,24
30,Identifier,tests,-1,-1,-1,29,52,29,57,packages\postcss-opacity-percentage\test\index.test.js,1,25
31,MemberExpression,nan,-1,-1,-1,29,37,29,51,packages\postcss-opacity-percentage\test\index.test.js,1,26
34,CallExpression,nan,2,-1,-1,30,1,32,3,packages\postcss-opacity-percentage\test\index.test.js,1,27
35,CallExpression,nan,2,-1,-1,34,1,36,3,packages\postcss-opacity-percentage\test\index.test.js,1,28
36,Identifier,description,-1,-1,-1,30,6,30,17,packages\postcss-opacity-percentage\test\index.test.js,1,29
37,ArrowFunctionExpression,nan,-1,1,0,30,19,32,2,packages\postcss-opacity-percentage\test\index.test.js,1,30
38,Identifier,test,-1,-1,-1,30,1,30,5,packages\postcss-opacity-percentage\test\index.test.js,1,31
39,TemplateLiteral,nan,-1,-1,-1,34,6,34,45,packages\postcss-opacity-percentage\test\index.test.js,1,32
40,ArrowFunctionExpression,nan,-1,1,0,34,47,36,2,packages\postcss-opacity-percentage\test\index.test.js,1,33
41,Identifier,test,-1,-1,-1,34,1,34,5,packages\postcss-opacity-percentage\test\index.test.js,1,34
42,Identifier,t,-1,-1,-1,30,25,30,26,packages\postcss-opacity-percentage\test\index.test.js,1,35
44,BlockStatement,nan,-1,-1,-1,30,30,32,2,packages\postcss-opacity-percentage\test\index.test.js,1,36
45,Identifier,t,-1,-1,-1,34,53,34,54,packages\postcss-opacity-percentage\test\index.test.js,1,37
47,BlockStatement,nan,-1,-1,-1,34,58,36,2,packages\postcss-opacity-percentage\test\index.test.js,1,38
50,AwaitExpression,nan,1,-1,-1,31,2,31,31,packages\postcss-opacity-percentage\test\index.test.js,1,39
51,AwaitExpression,nan,1,-1,-1,35,2,35,49,packages\postcss-opacity-percentage\test\index.test.js,1,40
52,CallExpression,nan,2,-1,-1,31,8,31,31,packages\postcss-opacity-percentage\test\index.test.js,1,41
53,CallExpression,nan,3,-1,-1,35,8,35,49,packages\postcss-opacity-percentage\test\index.test.js,1,42
54,Identifier,t,-1,-1,-1,31,20,31,21,packages\postcss-opacity-percentage\test\index.test.js,1,43
55,Identifier,fixture,-1,-1,-1,31,23,31,30,packages\postcss-opacity-percentage\test\index.test.js,1,44
56,Identifier,testFixture,-1,-1,-1,31,8,31,19,packages\postcss-opacity-percentage\test\index.test.js,1,45
57,Identifier,t,-1,-1,-1,35,20,35,21,packages\postcss-opacity-percentage\test\index.test.js,1,46
58,Identifier,fixture,-1,-1,-1,35,23,35,30,packages\postcss-opacity-percentage\test\index.test.js,1,47
59,ObjectExpression,nan,-1,-1,-1,35,32,35,48,packages\postcss-opacity-percentage\test\index.test.js,1,48
60,Identifier,testFixture,-1,-1,-1,35,8,35,19,packages\postcss-opacity-percentage\test\index.test.js,1,49
