id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,74,1,packages\postcss-resolve-nested-selector\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,27,0,31,2,packages\postcss-resolve-nested-selector\index.js,1,1
4,FunctionDeclaration,nan,-1,3,1,33,0,74,1,packages\postcss-resolve-nested-selector\index.js,1,2
5,AssignmentExpression,nan,-1,-1,-1,1,0,25,1,packages\postcss-resolve-nested-selector\index.js,1,3
6,Identifier,split,-1,-1,-1,33,9,33,14,packages\postcss-resolve-nested-selector\index.js,1,4
7,Identifier,string,-1,-1,-1,33,15,33,21,packages\postcss-resolve-nested-selector\index.js,1,5
8,Identifier,separator,-1,-1,-1,33,23,33,32,packages\postcss-resolve-nested-selector\index.js,1,6
9,Identifier,splitFunctions,-1,-1,-1,33,34,33,48,packages\postcss-resolve-nested-selector\index.js,1,7
11,BlockStatement,nan,-1,-1,-1,33,50,74,1,packages\postcss-resolve-nested-selector\index.js,1,8
12,MemberExpression,nan,-1,-1,-1,1,0,1,14,packages\postcss-resolve-nested-selector\index.js,1,9
13,FunctionExpression,nan,-1,2,1,1,17,25,1,packages\postcss-resolve-nested-selector\index.js,1,10
14,VariableDeclaration,nan,-1,-1,-1,34,1,34,16,packages\postcss-resolve-nested-selector\index.js,1,11
15,VariableDeclaration,nan,-1,-1,-1,35,1,35,18,packages\postcss-resolve-nested-selector\index.js,1,12
16,VariableDeclaration,nan,-1,-1,-1,36,1,36,19,packages\postcss-resolve-nested-selector\index.js,1,13
17,VariableDeclaration,nan,-1,-1,-1,38,1,38,21,packages\postcss-resolve-nested-selector\index.js,1,14
18,VariableDeclaration,nan,-1,-1,-1,39,1,39,21,packages\postcss-resolve-nested-selector\index.js,1,15
19,VariableDeclaration,nan,-1,-1,-1,40,1,40,20,packages\postcss-resolve-nested-selector\index.js,1,16
20,VariableDeclaration,nan,-1,-1,-1,41,1,41,20,packages\postcss-resolve-nested-selector\index.js,1,17
21,ForOfStatement,nan,-1,-1,-1,43,1,70,2,packages\postcss-resolve-nested-selector\index.js,1,18
23,ReturnStatement,nan,1,-1,-1,73,1,73,14,packages\postcss-resolve-nested-selector\index.js,1,19
24,Identifier,resolveNestedSelector,-1,-1,-1,1,26,1,47,packages\postcss-resolve-nested-selector\index.js,1,20
25,Identifier,selector,-1,-1,-1,1,48,1,56,packages\postcss-resolve-nested-selector\index.js,1,21
26,Identifier,node,-1,-1,-1,1,58,1,62,packages\postcss-resolve-nested-selector\index.js,1,22
28,BlockStatement,nan,-1,-1,-1,1,64,25,1,packages\postcss-resolve-nested-selector\index.js,1,23
29,VariableDeclaration,nan,-1,-1,-1,43,6,43,16,packages\postcss-resolve-nested-selector\index.js,1,24
30,Identifier,string,-1,-1,-1,43,20,43,26,packages\postcss-resolve-nested-selector\index.js,1,25
31,BlockStatement,nan,-1,-1,-1,43,28,70,2,packages\postcss-resolve-nested-selector\index.js,1,26
32,CallExpression,nan,1,-1,-1,72,1,72,20,packages\postcss-resolve-nested-selector\index.js,1,27
33,Identifier,array,-1,-1,-1,73,8,73,13,packages\postcss-resolve-nested-selector\index.js,1,28
34,VariableDeclaration,nan,-1,-1,-1,2,1,2,26,packages\postcss-resolve-nested-selector\index.js,1,29
35,VariableDeclaration,nan,-1,-1,-1,3,1,3,77,packages\postcss-resolve-nested-selector\index.js,1,30
36,IfStatement,nan,-1,-1,-1,5,1,5,47,packages\postcss-resolve-nested-selector\index.js,1,31
37,IfStatement,nan,-1,-1,-1,6,1,6,99,packages\postcss-resolve-nested-selector\index.js,1,32
38,VariableDeclaration,nan,-1,-1,-1,8,1,10,21,packages\postcss-resolve-nested-selector\index.js,1,33
39,VariableDeclaration,nan,-1,-1,-1,12,1,22,8,packages\postcss-resolve-nested-selector\index.js,1,34
40,ReturnStatement,nan,1,-1,-1,24,1,24,26,packages\postcss-resolve-nested-selector\index.js,1,35
41,IfStatement,nan,-1,-1,-1,44,2,61,3,packages\postcss-resolve-nested-selector\index.js,1,36
42,IfStatement,nan,-1,-1,-1,63,2,69,3,packages\postcss-resolve-nested-selector\index.js,1,37
43,Identifier,current,-1,-1,-1,72,12,72,19,packages\postcss-resolve-nested-selector\index.js,1,38
44,MemberExpression,nan,-1,-1,-1,72,1,72,11,packages\postcss-resolve-nested-selector\index.js,1,39
45,ReturnStatement,nan,1,-1,-1,5,29,5,47,packages\postcss-resolve-nested-selector\index.js,1,40
47,ReturnStatement,nan,1,-1,-1,6,52,6,99,packages\postcss-resolve-nested-selector\index.js,1,41
48,LogicalExpression,nan,-1,-1,-1,6,5,6,50,packages\postcss-resolve-nested-selector\index.js,1,42
49,Identifier,resolvedSelectors,-1,-1,-1,24,8,24,25,packages\postcss-resolve-nested-selector\index.js,1,43
50,BlockStatement,nan,-1,-1,-1,44,14,46,3,packages\postcss-resolve-nested-selector\index.js,1,44
51,Identifier,escape,-1,-1,-1,44,6,44,12,packages\postcss-resolve-nested-selector\index.js,1,45
52,BlockStatement,nan,-1,-1,-1,63,13,67,3,packages\postcss-resolve-nested-selector\index.js,1,46
53,Identifier,split,-1,-1,-1,63,6,63,11,packages\postcss-resolve-nested-selector\index.js,1,47
54,ArrayExpression,nan,-1,-1,-1,5,36,5,46,packages\postcss-resolve-nested-selector\index.js,1,48
55,MemberExpression,nan,-1,-1,-1,5,5,5,16,packages\postcss-resolve-nested-selector\index.js,1,49
57,CallExpression,nan,2,-1,-1,6,59,6,98,packages\postcss-resolve-nested-selector\index.js,1,50
59,UnaryExpression,nan,1,-1,-1,6,31,6,50,packages\postcss-resolve-nested-selector\index.js,1,51
64,Identifier,selector,-1,-1,-1,6,81,6,89,packages\postcss-resolve-nested-selector\index.js,1,52
65,Identifier,parent,-1,-1,-1,6,91,6,97,packages\postcss-resolve-nested-selector\index.js,1,53
66,Identifier,resolveNestedSelector,-1,-1,-1,6,59,6,80,packages\postcss-resolve-nested-selector\index.js,1,54
67,MemberExpression,nan,-1,-1,-1,6,5,6,16,packages\postcss-resolve-nested-selector\index.js,1,55
69,Identifier,parentIsNestAtRule,-1,-1,-1,6,32,6,50,packages\postcss-resolve-nested-selector\index.js,1,56
70,AssignmentExpression,nan,-1,-1,-1,45,3,45,17,packages\postcss-resolve-nested-selector\index.js,1,57
71,CallExpression,nan,1,-1,-1,64,3,64,22,packages\postcss-resolve-nested-selector\index.js,1,58
72,AssignmentExpression,nan,-1,-1,-1,65,3,65,15,packages\postcss-resolve-nested-selector\index.js,1,59
73,AssignmentExpression,nan,-1,-1,-1,66,3,66,16,packages\postcss-resolve-nested-selector\index.js,1,60
74,Identifier,escape,-1,-1,-1,45,3,45,9,packages\postcss-resolve-nested-selector\index.js,1,61
76,Identifier,current,-1,-1,-1,64,14,64,21,packages\postcss-resolve-nested-selector\index.js,1,62
77,MemberExpression,nan,-1,-1,-1,64,3,64,13,packages\postcss-resolve-nested-selector\index.js,1,63
78,Identifier,current,-1,-1,-1,65,3,65,10,packages\postcss-resolve-nested-selector\index.js,1,64
80,Identifier,split,-1,-1,-1,66,3,66,8,packages\postcss-resolve-nested-selector\index.js,1,65
