src,dst
0,1
0,2
0,3
0,4
0,5
4,6
4,7
4,8
5,9
5,10
5,11
5,12
8,14
12,15
12,16
12,17
12,18
13,19
13,20
14,21
17,22
17,23
18,25
21,26
21,27
24,28
24,29
25,30
25,31
26,32
27,33
27,34
29,40
29,41
30,42
30,43
30,44
35,46
35,47
36,48
36,49
37,50
37,51
38,52
39,53
54,55
54,56
55,57
55,58
59,60
59,61
59,62
61,63
61,64
64,65
65,66
65,67
66,69
67,70
67,71
68,72
68,73
69,75
69,76
74,77
74,78
75,79
76,80
76,81
80,82
80,83
83,84
85,86
85,87
85,88
89,90
89,91
90,92
93,106
93,107
94,108
94,109
95,110
95,111
96,112
96,113
97,114
97,115
98,116
98,117
99,118
99,119
100,120
100,121
101,122
101,123
102,124
102,125
103,126
103,127
104,128
104,129
105,130
105,131
106,132
108,133
110,134
112,135
114,136
116,137
118,138
120,139
122,140
124,141
126,142
128,143
130,144
132,145
132,146
133,147
133,148
134,149
134,150
135,151
135,152
136,153
136,154
137,155
137,156
138,157
138,158
139,159
141,160
142,161
142,162
143,163
143,164
144,165
144,166
146,167
148,168
150,169
152,170
154,171
156,172
158,173
159,174
160,176
162,177
164,178
166,179
167,180
167,181
167,182
168,183
168,184
168,185
169,186
169,187
169,188
170,189
170,190
170,191
171,192
171,193
171,194
172,195
172,196
172,197
173,198
173,199
173,200
174,201
174,202
174,203
175,204
175,205
175,206
176,207
176,208
176,209
177,210
177,211
177,212
178,213
178,214
178,215
179,216
179,217
179,218
180,219
180,220
181,221
183,222
183,223
184,224
186,225
186,226
187,227
189,228
190,229
190,230
192,231
193,232
193,233
195,234
196,235
196,236
198,237
199,238
199,239
201,240
201,241
202,242
204,243
205,244
205,245
207,246
208,247
208,248
210,249
210,250
211,251
213,252
214,253
214,254
216,255
216,256
217,257
221,258
224,259
227,260
228,261
231,262
234,263
237,264
242,265
243,266
246,267
251,268
252,269
257,270
258,273
259,276
260,279
261,280
262,283
263,286
264,289
265,292
266,293
267,295
268,299
269,300
270,305
271,306
272,307
273,308
274,309
275,310
276,311
277,312
278,313
279,314
280,315
281,316
282,317
283,318
284,319
285,320
286,321
287,322
288,323
289,324
290,325
291,326
292,327
293,328
294,329
295,330
296,331
296,332
297,333
298,334
299,335
300,336
301,337
302,338
303,339
304,340
305,341
