src,same_file,jaccard_val,dst
67,1,1.0,4
59,1,-1.0,61
25,1,-1.0,30
167,1,-1.0,180
167,1,-1.0,181
93,1,-1.0,106
168,1,-1.0,183
168,1,-1.0,184
94,1,-1.0,108
169,1,-1.0,186
169,1,-1.0,187
95,1,-1.0,110
170,1,-1.0,189
170,1,-1.0,190
96,1,-1.0,112
171,1,-1.0,192
171,1,-1.0,193
97,1,-1.0,114
172,1,-1.0,195
172,1,-1.0,196
98,1,-1.0,116
173,1,-1.0,198
173,1,-1.0,199
99,1,-1.0,118
174,1,-1.0,201
174,1,-1.0,202
100,1,-1.0,120
175,1,-1.0,204
175,1,-1.0,205
101,1,-1.0,122
176,1,-1.0,207
176,1,-1.0,208
102,1,-1.0,124
177,1,-1.0,210
177,1,-1.0,211
103,1,-1.0,126
178,1,-1.0,213
178,1,-1.0,214
104,1,-1.0,128
179,1,-1.0,216
179,1,-1.0,217
105,1,-1.0,130
89,1,-1.0,90
