src,dst
91,186
139,5
161,186
218,204
270,193
256,108
133,216
309,181
124,190
0,189
194,189
10,61
218,208
232,204
129,130
42,108
116,205
334,205
256,181
213,214
60,120
128,118
332,128
217,5
127,184
214,128
251,198
225,217
333,190
254,186
256,216
256,5
238,180
317,116
147,216
307,216
333,114
37,30
226,5
142,30
121,216
149,210
30,130
246,5
325,192
79,90
313,204
58,205
199,126
249,114
33,61
37,196
148,126
183,210
230,126
243,110
85,124
192,205
57,116
118,208
251,211
215,4
133,120
10,193
319,184
235,210
306,108
81,181
32,208
8,189
133,210
338,128
181,120
203,207
262,213
84,90
39,193
217,108
46,216
312,202
202,205
36,211
35,106
259,196
164,130
194,187
113,217
215,205
80,211
321,217
246,196
61,130
199,190
182,217
53,202
10,5
154,207
0,192
46,183
247,192
230,204
311,213
149,199
52,217
138,90
320,55
229,208
160,207
180,189
195,124
69,90
49,208
246,189
323,118
156,187
326,208
242,193
164,130
264,122
234,120
185,190
12,122
92,189
165,216
155,198
182,180
109,195
340,124
233,190
185,126
189,112
323,207
161,204
190,5
157,217
50,201
32,214
131,216
8,61
322,118
118,124
250,192
203,216
122,214
123,211
8,208
126,128
314,184
255,204
156,5
147,189
24,198
17,126
315,114
196,180
203,210
150,180
185,108
315,180
195,108
62,213
312,198
78,190
113,210
258,190
112,110
235,181
206,4
152,61
15,207
137,196
88,114
49,30
310,189
189,214
181,211
138,112
51,186
4,187
90,199
160,186
129,110
88,187
322,208
340,195
122,207
119,205
17,114
121,205
136,201
3,4
265,202
199,205
254,216
8,4
212,192
24,196
123,204
316,126
317,186
316,210
251,5
23,198
33,211
62,189
145,184
121,112
55,114
165,4
188,55
62,126
321,124
46,205
326,5
244,189
32,195
338,130
8,211
327,108
152,122
84,198
321,61
84,202
307,30
184,190
222,205
135,195
107,205
162,199
123,201
341,190
86,192
201,213
11,198
124,120
116,208
189,217
108,180
117,118
245,122
18,55
197,108
151,196
205,213
31,122
210,118
157,122
71,198
23,186
336,126
310,55
312,184
245,106
131,195
78,201
243,114
23,210
149,205
21,112
128,216
335,198
263,110
165,106
320,187
79,196
141,130
92,114
245,210
18,184
163,4
133,106
158,108
127,186
236,213
194,124
125,192
211,205
149,114
248,201
88,193
218,180
23,217
16,192
242,207
113,108
39,208
60,216
197,112
69,204
115,180
191,114
