src,dst
0,1
2,3
2,4
5,6
5,7
5,8
5,9
5,10
5,11
7,12
7,13
8,14
8,15
9,16
9,17
10,18
10,19
11,20
11,21
13,23
15,24
15,25
17,26
17,27
19,28
21,29
22,30
22,31
32,33
32,34
32,35
32,36
32,37
32,38
32,39
35,40
35,41
35,42
36,45
36,46
36,47
36,48
36,49
37,52
37,53
37,54
38,57
38,58
38,59
39,62
39,63
39,64
43,68
43,69
43,70
44,71
44,72
44,73
49,74
50,75
50,76
50,77
51,78
51,79
51,80
54,81
55,82
55,83
55,84
56,85
56,86
56,87
60,88
60,89
60,90
61,91
61,92
61,93
65,94
65,95
65,96
66,97
66,98
66,99
67,100
67,101
102,120
102,121
102,122
103,123
103,124
103,125
104,126
104,127
105,128
105,129
106,130
106,131
106,132
107,133
108,134
108,135
108,136
109,137
109,138
110,139
110,140
111,141
111,142
112,143
112,144
112,145
113,146
114,147
114,148
114,149
115,150
115,151
116,152
116,153
116,154
117,155
117,156
117,157
118,158
118,159
118,160
119,161
119,162
119,163
128,164
165,166
165,167
165,168
165,169
165,170
165,171
165,172
165,173
174,175
174,176
175,177
177,178
177,179
177,180
177,181
177,182
183,187
183,188
184,189
184,190
185,191
185,192
186,193
186,194
187,195
189,196
191,197
193,198
199,223
199,224
200,225
200,226
201,227
201,228
202,229
202,230
203,231
203,232
204,233
204,234
205,235
205,236
206,237
206,238
207,239
207,240
208,241
208,242
209,243
210,244
211,245
212,246
213,247
214,248
215,249
216,250
216,251
217,252
217,253
218,254
218,255
219,256
219,257
220,258
220,259
221,260
221,261
222,262
222,263
233,264
233,265
235,266
235,267
237,268
237,269
239,270
239,271
241,272
241,273
254,288
254,289
256,290
256,291
258,292
258,293
260,294
260,295
262,296
262,297
