src,dst
152,193
153,193
272,189
54,175
152,35
226,37
243,36
7,189
92,36
293,39
1,193
100,189
3,191
67,191
23,189
58,37
120,37
162,191
75,175
286,39
297,36
291,189
94,38
178,37
101,39
229,37
48,39
261,187
52,39
180,39
52,189
160,187
128,35
277,193
62,39
138,175
182,39
97,38
270,193
1,193
285,38
158,37
161,175
107,191
8,193
167,175
288,39
90,191
243,189
49,187
37,38
127,36
249,39
175,35
90,38
169,187
163,193
5,187
291,175
26,187
145,39
42,39
163,187
83,193
122,189
113,39
29,189
129,193
163,191
253,36
133,37
144,39
73,36
17,35
226,39
74,189
110,35
69,38
193,39
98,38
132,175
247,35
148,175
109,191
24,191
40,193
191,189
238,37
9,191
36,193
152,189
265,191
25,193
226,191
247,175
288,36
181,191
167,37
263,191
148,191
232,37
172,37
176,189
59,36
83,175
88,39
296,36
4,187
225,35
274,193
146,187
28,37
291,39
94,187
101,35
143,189
180,35
77,35
161,189
165,37
294,37
53,193
263,39
176,38
234,189
285,35
270,193
287,191
23,39
7,193
263,35
197,37
228,37
142,193
0,193
101,37
80,187
83,191
107,39
78,35
7,189
171,193
21,191
286,193
191,187
15,35
101,35
223,38
182,38
26,38
170,187
8,39
153,35
128,39
144,175
125,35
247,193
176,35
122,35
75,175
225,187
246,191
160,193
223,193
230,35
278,38
76,187
26,175
270,191
26,193
125,39
40,35
2,35
245,39
196,38
82,189
101,187
244,191
120,189
271,35
266,191
136,189
41,36
0,191
165,37
97,193
40,175
30,38
67,39
53,39
21,38
46,189
81,189
286,187
70,193
288,36
271,36
223,187
175,191
268,38
223,189
22,35
90,36
163,38
73,38
153,35
130,187
156,38
3,191
76,193
248,187
22,187
1,193
122,187
173,39
8,36
46,36
263,35
5,36
36,187
