src,same_file,jaccard_val,dst
1109,1,-1,749
1449,1,-1,739
863,1,-1,741
26,0,-1,1016
941,1,-1,976
1145,0,0.0,299
1619,0,-1,114
499,0,-1,991
662,0,-1,325
141,0,-1,1218
460,0,-1,1011
664,1,-1,751
895,0,0.0,594
1124,1,-1,709
438,0,-1,727
894,0,0.0,297
1142,1,-1,1178
952,1,-1,1198
937,1,-1,741
1576,0,-1,1203
1591,0,-1,1183
210,1,0.0,57
935,1,-1,741
1389,1,-1,1006
864,1,-1,729
144,0,-1,737
1447,1,-1,713
688,1,-1,725
1578,0,-1,747
1114,1,-1,737
869,1,-1,751
1604,0,-1,1060
499,0,-1,715
1130,1,-1,1208
1454,1,-1,1021
1568,0,-1,743
869,1,-1,805
1134,1,-1,1183
880,1,-1,697
926,0,-1,1544
1621,0,-1,622
675,1,-1,1153
687,1,-1,721
1136,0,-1,1546
936,1,-1,699
1149,1,-1,1188
1427,0,-1,622
891,1,-1,729
929,1,-1,719
667,1,-1,727
952,0,0.0,297
144,0,-1,739
1448,1,-1,703
685,1,-1,1188
875,1,-1,996
936,1,-1,695
1590,0,-1,1168
456,0,-1,723
645,0,-1,1026
207,0,-1,741
880,0,0.0,54
1437,1,-1,1173
683,1,-1,709
1588,0,-1,719
877,0,0.0,298
349,0,-1,743
689,1,-1,1203
1536,0,-1,1218
682,0,0.0,57
1606,0,0.0,297
952,1,-1,699
1140,1,-1,705
265,0,-1,971
928,1,-1,1198
882,1,-1,1011
1149,0,0.0,300
1382,1,-1,709
143,0,0.0,296
1613,0,-1,1223
862,1,-1,723
336,0,-1,996
894,1,-1,1073
1600,0,-1,622
674,1,-1,1223
179,0,-1,1168
681,1,-1,705
552,0,-1,981
862,1,-1,981
1617,0,-1,725
163,0,-1,697
1608,0,-1,1173
886,1,-1,1231
472,0,-1,986
687,1,-1,751
1382,0,0.0,593
210,0,0.0,296
951,0,-1,1542
887,0,-1,1556
938,1,-1,719
924,0,-1,1540
442,0,-1,1546
436,0,-1,1218
1138,1,-1,986
876,0,0.0,58
881,0,0.0,54
1581,0,-1,703
482,0,-1,15
484,0,0.0,296
96,0,-1,981
464,0,0.0,596
1585,0,-1,697
1439,1,-1,986
1599,0,-1,709
1569,0,0.0,596
1393,1,-1,991
1589,0,-1,695
11,0,-1,1550
1427,1,-1,1026
1392,1,-1,745
951,1,-1,705
940,0,-1,1548
1408,1,-1,713
1444,1,-1,699
1610,1,-1,1548
659,1,-1,1163
161,0,-1,1554
26,0,-1,981
141,0,-1,707
674,0,-1,1550
96,0,-1,991
207,0,-1,693
187,0,-1,1544
920,1,-1,1031
1609,0,0.0,298
1581,0,-1,1198
