src,dst
0,1
0,2
3,4
3,5
5,6
5,7
5,8
5,9
5,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
11,18
12,23
17,28
19,30
19,31
20,32
20,33
21,34
21,35
22,36
22,37
23,38
24,40
24,41
25,42
25,43
26,44
26,45
26,46
27,47
27,48
29,51
31,52
31,53
33,54
35,55
35,56
37,57
37,58
38,59
39,60
43,61
43,62
47,63
47,64
48,65
48,66
49,67
49,68
50,69
50,70
59,71
65,72
65,73
74,75
76,77
76,78
76,79
76,80
81,88
81,89
82,90
82,91
83,92
83,93
84,94
84,95
85,96
85,97
86,98
86,99
87,100
87,101
88,102
90,103
92,104
94,105
96,106
98,107
100,108
105,109
105,110
105,111
106,112
106,113
106,114
107,115
107,116
108,117
108,118
108,119
120,129
120,130
121,131
121,132
122,133
122,134
123,135
123,136
124,137
125,138
125,139
126,140
126,141
127,142
127,143
128,144
129,145
131,146
133,147
140,150
142,152
153,155
153,156
157,159
158,160
162,163
162,164
164,165
167,168
167,169
