src,dst
56,133
66,92
42,96
137,88
141,133
18,94
162,92
77,88
66,100
116,98
18,100
49,96
115,92
21,94
11,90
17,92
163,96
3,129
99,96
60,90
50,96
2,5
162,129
52,90
18,98
88,129
161,98
118,129
63,129
46,129
15,96
22,88
69,88
138,129
1,100
69,92
7,129
137,96
52,96
32,94
104,98
5,92
93,90
29,5
161,133
28,129
10,92
89,88
159,96
10,96
132,133
57,92
95,88
56,129
18,100
105,90
100,5
78,98
155,88
15,129
54,94
113,96
165,129
61,100
5,88
76,94
166,90
156,96
107,88
94,92
168,90
10,90
115,96
159,96
147,129
44,94
130,94
162,5
154,5
63,92
22,94
44,96
24,96
12,96
58,90
118,98
136,100
39,90
166,88
63,94
23,90
134,90
168,98
91,96
106,129
52,98
109,100
40,88
5,94
97,129
31,88
149,100
141,98
60,5
36,133
165,96
99,92
103,100
36,133
165,88
156,88
148,92
167,133
68,96
151,98
79,90
4,133
97,94
42,96
101,96
95,88
79,92
42,94
102,129
60,96
37,96
78,88
