id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,34,2,packages\require-from-string\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,3,0,3,31,packages\require-from-string\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,4,0,4,27,packages\require-from-string\index.js,1,2
7,AssignmentExpression,nan,-1,-1,-1,6,0,34,1,packages\require-from-string\index.js,1,3
8,MemberExpression,nan,-1,-1,-1,6,0,6,14,packages\require-from-string\index.js,1,4
9,FunctionExpression,nan,-1,3,1,6,17,34,1,packages\require-from-string\index.js,1,5
10,Identifier,requireFromString,-1,-1,-1,6,26,6,43,packages\require-from-string\index.js,1,6
11,Identifier,code,-1,-1,-1,6,44,6,48,packages\require-from-string\index.js,1,7
12,Identifier,filename,-1,-1,-1,6,50,6,58,packages\require-from-string\index.js,1,8
13,Identifier,opts,-1,-1,-1,6,60,6,64,packages\require-from-string\index.js,1,9
15,BlockStatement,nan,-1,-1,-1,6,66,34,1,packages\require-from-string\index.js,1,10
16,IfStatement,nan,-1,-1,-1,7,1,10,2,packages\require-from-string\index.js,1,11
21,IfStatement,nan,-1,-1,-1,18,1,20,2,packages\require-from-string\index.js,1,12
22,VariableDeclaration,nan,-1,-1,-1,22,1,22,61,packages\require-from-string\index.js,1,13
23,VariableDeclaration,nan,-1,-1,-1,24,1,24,28,packages\require-from-string\index.js,1,14
24,VariableDeclaration,nan,-1,-1,-1,25,1,25,38,packages\require-from-string\index.js,1,15
28,VariableDeclaration,nan,-1,-1,-1,30,1,30,25,packages\require-from-string\index.js,1,16
30,ReturnStatement,nan,1,-1,-1,33,1,33,16,packages\require-from-string\index.js,1,17
31,BlockStatement,nan,-1,-1,-1,7,35,10,2,packages\require-from-string\index.js,1,18
33,AssignmentExpression,nan,-1,-1,-1,12,1,12,18,packages\require-from-string\index.js,1,19
34,AssignmentExpression,nan,-1,-1,-1,13,1,13,26,packages\require-from-string\index.js,1,20
35,AssignmentExpression,nan,-1,-1,-1,15,1,15,42,packages\require-from-string\index.js,1,21
36,AssignmentExpression,nan,-1,-1,-1,16,1,16,44,packages\require-from-string\index.js,1,22
37,BlockStatement,nan,-1,-1,-1,18,31,20,2,packages\require-from-string\index.js,1,23
39,AssignmentExpression,nan,-1,-1,-1,26,1,26,22,packages\require-from-string\index.js,1,24
40,AssignmentExpression,nan,-1,-1,-1,27,1,27,78,packages\require-from-string\index.js,1,25
41,CallExpression,nan,2,-1,-1,28,1,28,27,packages\require-from-string\index.js,1,26
42,LogicalExpression,nan,-1,-1,-1,31,1,31,83,packages\require-from-string\index.js,1,27
43,Identifier,exports,-1,-1,-1,33,8,33,15,packages\require-from-string\index.js,1,28
46,UnaryExpression,nan,1,-1,-1,7,5,7,20,packages\require-from-string\index.js,1,29
48,Identifier,opts,-1,-1,-1,12,1,12,5,packages\require-from-string\index.js,1,30
49,LogicalExpression,nan,-1,-1,-1,12,8,12,18,packages\require-from-string\index.js,1,31
50,Identifier,filename,-1,-1,-1,13,1,13,9,packages\require-from-string\index.js,1,32
51,LogicalExpression,nan,-1,-1,-1,13,12,13,26,packages\require-from-string\index.js,1,33
52,MemberExpression,nan,-1,-1,-1,15,1,15,17,packages\require-from-string\index.js,1,34
53,LogicalExpression,nan,-1,-1,-1,15,20,15,42,packages\require-from-string\index.js,1,35
54,MemberExpression,nan,-1,-1,-1,16,1,16,18,packages\require-from-string\index.js,1,36
55,LogicalExpression,nan,-1,-1,-1,16,21,16,44,packages\require-from-string\index.js,1,37
56,ThrowStatement,nan,1,-1,-1,19,2,19,63,packages\require-from-string\index.js,1,38
57,UnaryExpression,nan,1,-1,-1,18,5,18,16,packages\require-from-string\index.js,1,39
59,MemberExpression,nan,-1,-1,-1,26,1,26,11,packages\require-from-string\index.js,1,40
60,Identifier,filename,-1,-1,-1,26,14,26,22,packages\require-from-string\index.js,1,41
61,MemberExpression,nan,-1,-1,-1,27,1,27,8,packages\require-from-string\index.js,1,42
62,CallExpression,nan,1,-1,-1,27,11,27,78,packages\require-from-string\index.js,1,43
63,Identifier,code,-1,-1,-1,28,12,28,16,packages\require-from-string\index.js,1,44
64,Identifier,filename,-1,-1,-1,28,18,28,26,packages\require-from-string\index.js,1,45
65,MemberExpression,nan,-1,-1,-1,28,1,28,11,packages\require-from-string\index.js,1,46
66,LogicalExpression,nan,-1,-1,-1,31,1,31,26,packages\require-from-string\index.js,1,47
67,CallExpression,nan,2,-1,-1,31,30,31,83,packages\require-from-string\index.js,1,48
68,AssignmentExpression,nan,-1,-1,-1,8,2,8,17,packages\require-from-string\index.js,1,49
69,AssignmentExpression,nan,-1,-1,-1,9,2,9,22,packages\require-from-string\index.js,1,50
70,Identifier,filename,-1,-1,-1,7,12,7,20,packages\require-from-string\index.js,1,51
71,Identifier,opts,-1,-1,-1,12,8,12,12,packages\require-from-string\index.js,1,52
72,ObjectExpression,nan,-1,-1,-1,12,16,12,18,packages\require-from-string\index.js,1,53
73,Identifier,filename,-1,-1,-1,13,12,13,20,packages\require-from-string\index.js,1,54
75,MemberExpression,nan,-1,-1,-1,15,20,15,36,packages\require-from-string\index.js,1,55
76,ArrayExpression,nan,-1,-1,-1,15,40,15,42,packages\require-from-string\index.js,1,56
77,MemberExpression,nan,-1,-1,-1,16,21,16,38,packages\require-from-string\index.js,1,57
78,ArrayExpression,nan,-1,-1,-1,16,42,16,44,packages\require-from-string\index.js,1,58
79,NewExpression,nan,1,-1,-1,19,8,19,62,packages\require-from-string\index.js,1,59
80,Identifier,code,-1,-1,-1,18,12,18,16,packages\require-from-string\index.js,1,60
81,MemberExpression,nan,-1,-1,-1,27,61,27,77,packages\require-from-string\index.js,1,61
82,MemberExpression,nan,-1,-1,-1,27,11,27,60,packages\require-from-string\index.js,1,62
83,Identifier,parent,-1,-1,-1,31,1,31,7,packages\require-from-string\index.js,1,63
84,MemberExpression,nan,-1,-1,-1,31,11,31,26,packages\require-from-string\index.js,1,64
85,CallExpression,nan,1,-1,-1,31,53,31,79,packages\require-from-string\index.js,1,65
87,MemberExpression,nan,-1,-1,-1,31,30,31,52,packages\require-from-string\index.js,1,66
88,Identifier,opts,-1,-1,-1,8,2,8,6,packages\require-from-string\index.js,1,67
89,Identifier,filename,-1,-1,-1,8,9,8,17,packages\require-from-string\index.js,1,68
90,Identifier,filename,-1,-1,-1,9,2,9,10,packages\require-from-string\index.js,1,69
91,Identifier,undefined,-1,-1,-1,9,13,9,22,packages\require-from-string\index.js,1,70
93,Identifier,Error,-1,-1,-1,19,12,19,17,packages\require-from-string\index.js,1,71
94,Identifier,m,-1,-1,-1,31,77,31,78,packages\require-from-string\index.js,1,72
95,MemberExpression,nan,-1,-1,-1,31,53,31,76,packages\require-from-string\index.js,1,73
97,UnaryExpression,nan,1,-1,-1,19,50,19,61,packages\require-from-string\index.js,1,74
98,Identifier,code,-1,-1,-1,19,57,19,61,packages\require-from-string\index.js,1,75
99,Program,nan,-1,-1,-1,3,0,68,3,packages\require-from-string\test\index.js,1,76
101,VariableDeclaration,nan,-1,-1,-1,5,0,5,31,packages\require-from-string\test\index.js,1,77
102,VariableDeclaration,nan,-1,-1,-1,6,0,6,23,packages\require-from-string\test\index.js,1,78
103,VariableDeclaration,nan,-1,-1,-1,7,0,7,27,packages\require-from-string\test\index.js,1,79
104,VariableDeclaration,nan,-1,-1,-1,8,0,8,39,packages\require-from-string\test\index.js,1,80
113,CallExpression,nan,2,-1,-1,10,0,14,2,packages\require-from-string\test\index.js,1,81
114,CallExpression,nan,2,-1,-1,16,0,18,2,packages\require-from-string\test\index.js,1,82
115,CallExpression,nan,2,-1,-1,20,0,24,2,packages\require-from-string\test\index.js,1,83
116,CallExpression,nan,2,-1,-1,26,0,33,2,packages\require-from-string\test\index.js,1,84
117,CallExpression,nan,2,-1,-1,35,0,46,2,packages\require-from-string\test\index.js,1,85
118,CallExpression,nan,2,-1,-1,48,0,60,2,packages\require-from-string\test\index.js,1,86
119,CallExpression,nan,2,-1,-1,62,0,68,2,packages\require-from-string\test\index.js,1,87
121,FunctionExpression,nan,-1,0,0,10,40,14,1,packages\require-from-string\test\index.js,1,88
122,Identifier,it,-1,-1,-1,10,0,10,2,packages\require-from-string\test\index.js,1,89
124,FunctionExpression,nan,-1,0,0,16,33,18,1,packages\require-from-string\test\index.js,1,90
125,Identifier,it,-1,-1,-1,16,0,16,2,packages\require-from-string\test\index.js,1,91
127,FunctionExpression,nan,-1,0,0,20,29,24,1,packages\require-from-string\test\index.js,1,92
128,Identifier,it,-1,-1,-1,20,0,20,2,packages\require-from-string\test\index.js,1,93
130,FunctionExpression,nan,-1,0,0,26,48,33,1,packages\require-from-string\test\index.js,1,94
131,Identifier,it,-1,-1,-1,26,0,26,2,packages\require-from-string\test\index.js,1,95
133,FunctionExpression,nan,-1,0,0,35,48,46,1,packages\require-from-string\test\index.js,1,96
134,Identifier,it,-1,-1,-1,35,0,35,2,packages\require-from-string\test\index.js,1,97
