src,dst
134,42
151,3
7,56
147,3
61,38
4,24
64,3
126,50
63,24
7,40
3,50
48,44
173,42
46,50
165,3
54,38
9,54
44,38
141,52
151,3
139,48
128,44
133,50
170,24
45,56
134,54
126,50
8,40
41,44
171,24
17,50
49,44
132,44
162,52
165,54
54,44
6,44
125,38
21,50
55,50
171,46
42,40
3,42
165,44
144,54
11,46
65,48
41,56
124,40
125,48
148,46
149,40
22,44
20,50
48,3
50,24
20,44
171,44
131,42
178,52
8,52
48,52
130,54
164,46
167,56
62,38
163,52
127,46
4,38
172,44
5,46
128,40
38,52
137,40
3,24
2,56
152,38
15,50
0,44
49,52
8,48
57,52
171,44
57,40
163,48
38,46
174,3
157,38
50,40
52,54
24,40
150,54
5,3
38,56
130,52
156,48
124,42
124,38
39,3
157,52
21,52
1,50
3,38
169,46
144,42
4,54
49,48
