src,same_file,jaccard_val,dst
21,1,1.0,9
23,1,1.0,9
25,1,1.0,9
27,1,1.0,9
29,1,1.0,9
104,1,-1.0,137
276,0,-1.0,19
105,1,-1.0,139
278,0,-1.0,19
106,1,-1.0,141
344,0,-1.0,19
107,1,-1.0,143
345,0,-1.0,19
108,1,-1.0,145
346,0,-1.0,19
109,1,-1.0,147
84,1,-1.0,89
110,1,-1.0,149
347,0,-1.0,19
111,1,-1.0,151
290,0,-1.0,19
112,1,-1.0,153
292,0,-1.0,19
113,1,-1.0,155
352,0,-1.0,19
114,1,-1.0,157
353,0,-1.0,19
115,1,-1.0,159
354,0,-1.0,19
116,1,-1.0,161
85,1,-1.0,91
117,1,-1.0,163
355,0,-1.0,19
118,1,-1.0,165
304,0,-1.0,19
119,1,-1.0,167
306,0,-1.0,19
120,1,-1.0,169
362,0,-1.0,19
121,1,-1.0,171
310,0,-1.0,19
122,1,-1.0,173
86,1,-1.0,93
123,1,-1.0,175
366,0,-1.0,19
124,1,-1.0,177
316,0,-1.0,19
125,1,-1.0,179
318,0,-1.0,19
126,1,-1.0,181
320,0,-1.0,19
127,1,-1.0,183
322,0,-1.0,19
128,1,-1.0,185
377,0,-1.0,19
129,1,-1.0,187
87,1,-1.0,95
130,1,-1.0,189
378,0,-1.0,19
131,1,-1.0,191
330,0,-1.0,19
132,1,-1.0,193
332,0,-1.0,19
133,1,-1.0,195
334,0,-1.0,19
134,1,-1.0,197
336,0,-1.0,19
135,1,-1.0,199
338,0,-1.0,19
136,1,-1.0,201
88,1,-1.0,97
78,1,-1.0,79
