id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,8,0,16,2,packages\right-align\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,10,0,10,34,packages\right-align\index.js,1,1
6,AssignmentExpression,nan,-1,-1,-1,12,0,16,1,packages\right-align\index.js,1,2
7,MemberExpression,nan,-1,-1,-1,12,0,12,14,packages\right-align\index.js,1,3
8,FunctionExpression,nan,-1,1,1,12,17,16,1,packages\right-align\index.js,1,4
9,Identifier,rightAlign,-1,-1,-1,12,26,12,36,packages\right-align\index.js,1,5
10,Identifier,val,-1,-1,-1,12,37,12,40,packages\right-align\index.js,1,6
12,BlockStatement,nan,-1,-1,-1,12,42,16,1,packages\right-align\index.js,1,7
13,ReturnStatement,nan,1,-1,-1,13,2,15,5,packages\right-align\index.js,1,8
14,CallExpression,nan,2,-1,-1,13,9,15,4,packages\right-align\index.js,1,9
15,Identifier,val,-1,-1,-1,13,15,13,18,packages\right-align\index.js,1,10
16,FunctionExpression,nan,-1,2,1,13,20,15,3,packages\right-align\index.js,1,11
17,Identifier,align,-1,-1,-1,13,9,13,14,packages\right-align\index.js,1,12
18,Identifier,len,-1,-1,-1,13,30,13,33,packages\right-align\index.js,1,13
19,Identifier,longest,-1,-1,-1,13,35,13,42,packages\right-align\index.js,1,14
21,BlockStatement,nan,-1,-1,-1,13,44,15,3,packages\right-align\index.js,1,15
22,ReturnStatement,nan,1,-1,-1,14,4,14,25,packages\right-align\index.js,1,16
24,Identifier,longest,-1,-1,-1,14,11,14,18,packages\right-align\index.js,1,17
25,Identifier,len,-1,-1,-1,14,21,14,24,packages\right-align\index.js,1,18
26,Program,nan,-1,-1,-1,8,0,40,3,packages\right-align\test.js,1,19
28,VariableDeclaration,nan,-1,-1,-1,10,0,10,31,packages\right-align\test.js,1,20
29,VariableDeclaration,nan,-1,-1,-1,11,0,11,31,packages\right-align\test.js,1,21
30,VariableDeclaration,nan,-1,-1,-1,12,0,12,31,packages\right-align\test.js,1,22
31,VariableDeclaration,nan,-1,-1,-1,14,0,21,2,packages\right-align\test.js,1,23
32,VariableDeclaration,nan,-1,-1,-1,23,0,30,2,packages\right-align\test.js,1,24
35,CallExpression,nan,2,-1,-1,32,0,40,2,packages\right-align\test.js,1,25
37,FunctionExpression,nan,-1,0,0,32,23,40,1,packages\right-align\test.js,1,26
38,Identifier,describe,-1,-1,-1,32,0,32,8,packages\right-align\test.js,1,27
40,BlockStatement,nan,-1,-1,-1,32,35,40,1,packages\right-align\test.js,1,28
43,CallExpression,nan,2,-1,-1,33,2,35,4,packages\right-align\test.js,1,29
44,CallExpression,nan,2,-1,-1,37,2,39,4,packages\right-align\test.js,1,30
46,FunctionExpression,nan,-1,0,0,33,63,35,3,packages\right-align\test.js,1,31
47,Identifier,it,-1,-1,-1,33,2,33,4,packages\right-align\test.js,1,32
49,FunctionExpression,nan,-1,0,0,37,50,39,3,packages\right-align\test.js,1,33
50,Identifier,it,-1,-1,-1,37,2,37,4,packages\right-align\test.js,1,34
52,BlockStatement,nan,-1,-1,-1,33,75,35,3,packages\right-align\test.js,1,35
54,BlockStatement,nan,-1,-1,-1,37,62,39,3,packages\right-align\test.js,1,36
57,CallExpression,nan,1,-1,-1,34,4,34,44,packages\right-align\test.js,1,37
58,CallExpression,nan,1,-1,-1,38,4,38,66,packages\right-align\test.js,1,38
59,Identifier,expected,-1,-1,-1,34,35,34,43,packages\right-align\test.js,1,39
60,MemberExpression,nan,-1,-1,-1,34,4,34,34,packages\right-align\test.js,1,40
61,CallExpression,nan,1,-1,-1,38,46,38,65,packages\right-align\test.js,1,41
62,MemberExpression,nan,-1,-1,-1,38,4,38,45,packages\right-align\test.js,1,42
64,MemberExpression,nan,-1,-1,-1,38,46,38,59,packages\right-align\test.js,1,43
