src,dst
1,6
1,7
2,8
2,9
3,10
3,11
4,12
4,13
5,14
5,15
7,16
9,17
11,18
13,19
15,20
21,22
21,23
23,24
23,25
23,26
23,27
27,32
28,33
28,34
29,35
29,36
30,37
30,38
31,39
31,40
32,41
34,42
34,43
36,44
36,45
38,46
38,47
40,48
40,49
41,50
41,51
42,52
44,53
46,54
48,55
51,56
51,57
51,58
58,59
59,62
59,63
60,64
60,65
66,67
66,68
67,70
67,71
68,72
68,73
68,74
69,75
69,76
71,77
71,78
74,79
74,80
76,81
76,82
78,83
80,84
82,85
82,86
85,87
85,88
86,89
87,90
87,91
89,92
90,93
91,94
93,95
94,97
95,99
95,100
96,101
97,102
97,103
105,106
105,107
107,108
107,109
107,110
110,111
111,112
112,113
113,114
113,115
113,116
115,118
117,119
120,121
122,123
122,124
125,126
125,127
127,128
127,129
127,130
130,131
131,132
131,133
132,134
133,135
134,136
136,137
136,138
136,139
140,141
140,142
142,144
142,145
142,146
142,147
142,148
143,149
143,150
148,151
150,152
150,153
150,154
150,155
155,159
155,160
156,161
156,162
157,163
157,164
158,165
158,166
163,168
163,169
165,170
167,173
167,174
167,175
174,176
174,177
174,178
178,181
178,182
179,183
179,184
180,185
180,186
181,187
181,188
182,189
182,190
185,192
187,193
189,194
190,195
191,196
191,197
191,198
191,199
193,200
193,201
194,202
194,203
194,204
194,205
196,206
196,207
196,208
207,209
207,210
211,212
213,214
213,215
215,216
215,217
215,218
215,219
219,220
219,221
219,222
222,223
222,224
224,225
224,226
225,228
226,229
227,230
227,231
227,232
227,233
234,235
234,236
236,238
236,239
236,240
236,241
236,242
236,243
236,244
237,245
237,246
246,247
246,248
246,249
246,250
246,251
251,254
251,255
252,256
252,257
253,258
253,259
253,260
256,262
256,263
258,264
258,265
258,266
259,267
259,268
261,271
261,272
261,273
272,274
272,275
272,276
276,279
276,280
277,281
277,282
278,283
278,284
279,285
279,286
280,287
280,288
283,290
285,291
286,292
287,293
288,294
288,295
289,296
289,297
289,298
289,299
289,300
290,302
291,303
291,304
293,306
293,307
293,308
293,309
293,310
295,311
296,312
296,313
296,314
313,316
313,317
