src,same_file,jaccard_val,dst
392,1,-1,469
393,1,-1,471
719,1,-1,871
720,1,-1,873
721,1,-1,875
722,1,-1,877
723,1,-1,879
724,1,-1,881
725,1,-1,883
726,1,-1,885
395,1,-1,474
397,1,-1,477
399,1,-1,480
400,1,-1,482
733,1,-1,899
402,1,-1,485
736,1,-1,901
404,1,-1,488
739,1,-1,903
406,1,-1,491
408,1,-1,494
743,1,-1,911
410,1,-1,497
744,1,-1,913
411,1,-1,499
746,1,-1,916
413,1,-1,502
749,1,-1,918
414,1,-1,504
1207,0,-1,186
1209,0,-1,186
1211,0,-1,186
1213,0,-1,186
1215,0,-1,186
1217,0,-1,186
1219,0,-1,184
1221,0,-1,184
1223,0,-1,184
1225,0,-1,184
1227,0,-1,184
1229,0,-1,184
1231,0,-1,184
416,1,-1,507
417,1,-1,509
419,1,-1,512
420,1,-1,514
1403,0,-1,184
780,1,-1,995
1404,0,-1,184
781,1,-1,997
1405,0,-1,184
782,1,-1,999
1406,0,-1,184
783,1,-1,1001
1407,0,-1,184
784,1,-1,1003
1408,0,-1,184
785,1,-1,1005
1409,0,-1,184
786,1,-1,1007
1410,0,-1,184
787,1,-1,1009
1411,0,-1,184
788,1,-1,1011
1412,0,-1,184
789,1,-1,1013
1413,0,-1,184
790,1,-1,1015
1414,0,-1,184
791,1,-1,1017
1415,0,-1,184
792,1,-1,1019
1416,0,-1,186
793,1,-1,1021
1417,0,-1,186
794,1,-1,1023
1418,0,-1,186
795,1,-1,1025
1419,0,-1,186
796,1,-1,1027
1420,0,-1,186
797,1,-1,1029
1421,0,-1,186
798,1,-1,1031
1422,0,-1,186
799,1,-1,1033
1423,0,-1,186
800,1,-1,1035
1424,0,-1,186
801,1,-1,1037
1425,0,-1,186
802,1,-1,1039
1426,0,-1,186
803,1,-1,1041
1427,0,-1,186
804,1,-1,1043
1428,0,-1,186
805,1,-1,1045
1429,0,-1,186
806,1,-1,1047
1430,0,-1,186
807,1,-1,1049
422,1,-1,517
808,1,-1,1051
809,1,-1,1053
810,1,-1,1055
811,1,-1,1057
812,1,-1,1059
814,1,-1,1063
815,1,-1,1065
816,1,-1,1067
817,1,-1,1069
818,1,-1,1071
819,1,-1,1073
423,1,-1,519
425,1,-1,522
426,1,-1,524
428,0,-1,186
429,0,-1,186
430,1,-1,533
433,0,-1,186
434,0,-1,186
438,1,-1,555
440,0,-1,186
441,0,-1,186
445,0,-1,186
446,0,-1,186
589,0,-1,186
590,0,-1,186
592,0,-1,186
593,0,-1,186
712,0,-1,186
713,0,-1,184
598,0,-1,186
599,0,-1,184
1123,0,-1,184
1126,0,-1,184
1129,0,-1,184
1132,0,-1,184
1135,0,-1,184
1138,0,-1,184
1141,0,-1,184
455,1,-1,602
1144,0,-1,184
1145,0,-1,186
1147,0,-1,184
1148,0,-1,186
1150,0,-1,184
1151,0,-1,186
1153,0,-1,184
1154,0,-1,184
1156,0,-1,184
1157,0,-1,184
1159,0,-1,184
1321,0,-1,184
1160,0,-1,184
1162,0,-1,184
1163,0,-1,184
1165,0,-1,184
1166,0,-1,184
457,1,-1,605
