src,dst
537,916
1485,879
1453,1049
647,1003
935,1037
1531,875
626,499
1224,297
541,899
352,1057
976,1031
1033,301
1273,1047
347,883
111,995
42,1009
673,879
1498,474
1266,522
607,1021
231,871
666,60
67,1029
644,605
1500,469
927,1031
662,1003
1116,1003
1333,1027
935,1013
359,295
1302,899
1164,522
620,885
311,1003
524,512
145,186
237,997
867,1045
1579,299
894,499
1168,317
16,1019
385,533
1513,480
263,1067
898,1059
11,1009
223,485
307,474
573,323
480,303
85,1025
641,1045
868,514
152,504
1187,533
521,502
1060,514
1010,1013
905,1043
1206,1017
1189,293
581,514
224,1067
1228,997
670,881
970,885
845,474
1285,305
481,873
1370,502
1550,1031
64,1001
370,514
1337,315
67,1051
326,311
886,491
1054,1045
79,295
1349,1063
652,488
1340,309
465,1027
0,555
332,885
1574,301
328,307
1070,327
520,1037
954,1013
1189,522
573,299
1543,913
1076,1011
1377,1071
337,903
1014,323
941,1015
1470,317
1493,1009
328,474
891,477
236,519
480,1065
902,1011
334,291
1465,1053
93,1071
146,1017
369,305
21,602
90,1055
866,315
999,299
596,502
667,605
1092,1063
1002,504
1214,995
510,301
1285,329
714,1067
1242,1017
308,901
1245,323
748,899
609,1029
70,474
1477,602
70,317
1152,899
690,494
498,507
17,1037
1009,297
1356,1039
150,313
1333,1035
30,311
1289,509
506,1019
496,327
1071,1055
358,299
193,301
984,1033
1009,1065
368,1001
1359,1015
1177,1031
568,555
1285,494
159,315
1515,1037
354,307
1335,480
166,321
1119,1005
571,325
1352,1073
372,509
142,1055
1036,60
368,303
473,1073
1236,307
709,1013
1348,327
1001,1041
955,1063
11,899
1398,916
937,305
1304,1059
1053,1033
865,1049
167,1029
132,1059
669,295
1463,502
868,1037
1578,184
1048,883
1224,1057
491,877
1286,899
904,319
657,1035
1501,497
85,881
1062,1047
1290,307
101,1021
699,1067
111,1043
1177,514
1023,1011
887,291
1309,507
582,474
881,911
1240,319
1026,317
1398,1051
1054,315
702,1049
582,913
937,480
845,471
502,295
838,491
894,499
379,1045
897,291
497,1057
626,1039
1093,293
262,491
1260,512
984,311
52,901
50,317
68,485
352,491
991,514
1287,1031
577,1045
124,1021
833,474
1514,903
914,329
1134,1041
120,911
1019,901
1010,881
565,471
1045,1051
1188,1005
237,301
1063,514
558,482
1247,504
1224,899
1131,1063
308,519
1499,913
1519,329
646,186
1232,916
1280,60
308,1031
1361,62
184,1059
508,1013
1267,1071
1,321
1311,524
734,1017
918,325
551,1039
582,1071
464,1053
1497,903
978,317
196,295
625,1073
649,329
1520,1015
692,1055
1192,519
584,875
315,524
83,1069
686,317
1069,327
914,918
648,313
840,485
1328,1027
1024,307
168,1073
686,519
1364,504
1560,482
297,1041
894,522
1258,1053
1205,1045
984,1001
1394,321
136,507
291,1053
79,480
31,485
974,480
139,497
1212,509
497,1005
1493,1057
594,507
1018,605
229,317
205,307
1336,311
658,899
898,291
336,307
382,469
300,1025
135,1033
463,309
747,519
921,62
1477,524
1054,325
1092,1031
612,1005
158,477
1574,881
1444,1045
958,497
935,916
1079,502
1476,488
846,519
237,1003
153,474
1179,293
627,319
508,333
559,186
541,1003
1152,474
223,1011
1459,522
638,1059
1446,315
39,494
107,555
1183,309
1456,1073
1212,291
1398,1027
945,1065
382,509
465,499
614,1055
552,1071
1031,1035
676,333
72,517
671,1047
1256,477
1315,1029
2,877
1507,1039
632,293
229,883
1131,474
302,303
344,469
232,517
156,293
62,533
1290,517
540,1037
1267,517
493,1073
209,303
234,512
650,1019
1007,1063
347,903
1495,305
207,1013
540,883
694,1037
1031,323
23,1051
1497,999
139,1003
116,499
250,519
1512,329
344,319
1338,875
1443,1071
135,1021
1465,517
1562,474
115,482
1088,1007
1266,997
364,297
1013,331
1271,519
1017,605
1300,482
504,871
1241,1043
591,184
1224,1047
886,1067
607,911
957,311
1068,901
629,471
215,997
1297,997
1263,1039
325,1009
917,497
1200,1053
471,1063
153,1055
344,502
636,901
128,303
1349,1073
579,1033
345,1043
75,313
1370,1017
1011,299
57,477
379,482
322,1073
734,1065
960,1009
262,331
939,1037
620,1003
211,1055
33,313
1501,1023
1191,507
1510,1069
555,477
692,881
1508,911
600,1027
1487,1059
263,184
333,491
961,1035
198,517
381,1055
193,1035
214,995
1038,1049
880,901
1443,877
1544,1063
382,317
327,1003
313,1043
1508,1003
188,512
333,1027
914,303
550,305
96,605
698,1021
863,327
1018,313
633,995
483,295
1539,1035
46,517
666,1073
606,313
556,1007
357,317
1031,309
461,1015
1158,533
1528,477
119,883
1319,317
335,875
1316,1009
1057,1065
1190,1023
1543,315
370,1001
145,60
1001,899
130,1031
1309,499
13,325
166,315
846,299
552,1055
580,1037
1479,313
690,60
132,497
1003,329
105,305
1226,1053
513,509
865,602
919,1039
628,317
1522,333
671,307
603,1037
905,918
146,1017
338,311
638,477
122,504
1343,323
1276,1017
1257,916
1555,995
1202,1057
846,1057
977,899
1331,323
159,60
1315,305
336,327
459,555
1447,299
306,1059
927,331
899,499
341,502
918,311
613,315
747,1067
1394,903
653,311
116,297
511,499
991,871
61,305
1295,1047
214,471
847,1031
1119,1043
537,315
57,1051
1248,1043
236,1001
356,533
1161,325
1539,315
678,333
601,913
1565,997
1012,297
676,605
342,1017
386,1059
953,1009
235,321
1531,329
1547,1041
71,1011
1187,331
237,555
917,303
999,313
265,1027
1062,1031
813,313
359,1039
133,491
114,1005
1181,333
56,331
1117,995
579,309
533,1001
553,491
23,504
1011,1007
1099,555
1573,913
315,469
93,1011
621,1059
689,1039
671,494
1178,1003
1027,311
250,1043
221,307
1049,1071
265,1023
70,913
126,1013
314,480
1267,480
61,295
1291,504
1577,879
1291,301
597,1035
586,301
1503,1073
1378,311
1485,291
212,995
114,517
892,1017
941,1037
255,1051
1077,512
1017,301
181,311
304,881
1218,871
644,873
115,903
1254,184
294,997
70,327
1240,1055
1314,482
313,1025
1182,62
573,1007
1245,901
813,877
831,293
100,877
1523,1043
1571,1069
881,291
1094,303
939,1029
1326,509
1291,1017
706,297
225,307
1191,871
1373,918
1164,1043
1054,1063
476,533
1033,1001
168,517
832,1067
376,1053
863,485
1447,522
1116,311
1531,885
1519,297
538,533
891,1051
517,1013
309,519
737,1053
503,1069
367,1073
1065,1021
1196,901
1079,313
681,504
1028,602
435,333
710,1037
1004,1043
143,1031
547,293
964,509
1070,331
1471,1065
59,605
447,1011
877,1059
28,184
32,1053
45,303
264,1025
108,293
118,327
657,303
616,469
689,485
1087,1073
1240,1045
178,295
261,474
1375,1009
1238,499
492,871
6,1035
1347,474
1508,60
912,519
462,477
955,474
1574,317
524,1037
460,1009
1262,1029
373,329
136,62
479,605
506,293
969,901
467,916
303,317
1364,307
1484,315
508,519
1473,883
611,1007
1460,1063
742,1031
108,323
1478,499
331,329
1297,333
1108,491
49,1007
306,1019
1540,315
1143,491
15,491
679,512
1205,491
863,303
1378,901
1525,507
374,899
205,499
331,502
1079,295
505,1009
614,877
1342,305
1197,916
1091,474
978,881
138,303
123,1059
689,295
672,333
460,1045
255,480
702,1071
20,482
1181,1049
669,60
28,918
305,1053
1327,291
1524,477
78,499
261,1037
1305,512
178,1003
1565,293
217,602
502,469
361,305
1053,509
959,877
1298,533
33,911
914,602
927,494
89,307
900,297
1350,1031
69,491
650,1071
1247,999
1284,875
1560,315
624,879
381,307
709,999
360,297
1468,1003
747,305
1079,497
626,321
1508,883
313,899
675,325
884,1059
43,1057
1000,1021
881,1069
1113,1007
635,997
977,1031
138,997
377,1023
1367,303
1252,311
1517,1055
1478,997
513,291
1228,1041
563,1023
1279,1021
877,485
1265,995
1054,1041
147,903
103,885
591,522
1294,883
20,62
1553,522
923,494
582,303
183,485
135,512
124,184
1092,514
708,1071
1062,469
1542,62
308,1055
703,295
40,305
1125,1029
130,186
620,1011
147,327
1292,1065
1169,477
666,522
1249,329
959,1043
698,329
985,504
485,474
1487,317
1081,881
865,1071
1082,1033
1022,1025
