src,same_file,jaccard_val,dst
770,1,-1,1059
683,1,-1,309
826,1,-1,301
776,1,-1,309
1213,1,-1,1047
862,1,-1,477
799,1,-1,1005
807,1,-1,291
1423,1,-1,471
1421,1,-1,522
396,1,-1,1015
810,1,-1,881
772,1,-1,323
712,1,-1,1051
598,1,-1,1067
284,1,-1,497
807,1,-1,605
733,1,-1,903
753,1,-1,1007
792,1,-1,918
1223,1,-1,329
1427,1,-1,1045
1383,1,-1,313
1144,1,-1,555
405,1,-1,315
796,1,-1,602
758,1,-1,1057
1209,1,-1,519
390,1,-1,883
760,1,-1,879
779,1,-1,321
769,1,-1,1065
810,0,-1,186
279,1,-1,507
928,1,-1,995
440,1,-1,517
781,1,-1,1005
697,1,-1,1037
809,1,-1,1035
1281,1,-1,499
272,1,-1,317
272,0,-1,60
928,1,-1,901
825,1,-1,319
800,1,-1,323
451,1,-1,297
440,1,-1,1065
1207,1,-1,1047
805,1,-1,883
411,1,-1,1033
740,1,-1,507
282,1,-1,480
1383,1,-1,295
420,1,-1,877
828,1,-1,474
283,1,-1,307
1386,1,-1,1063
712,1,-1,519
240,0,-1,899
739,1,-1,1015
410,1,-1,1031
849,1,-1,875
944,1,-1,1003
82,0,-1,309
453,1,-1,488
400,1,-1,1011
796,1,-1,1017
1166,1,-1,519
1207,1,-1,317
1219,1,-1,899
817,1,-1,1029
1165,1,-1,509
445,1,-1,883
1404,1,-1,1011
924,1,-1,1057
823,1,-1,899
785,1,-1,514
1403,1,-1,1063
827,1,-1,291
51,0,-1,1013
1166,1,-1,299
926,1,-1,1023
946,1,-1,297
438,1,-1,997
1133,1,-1,1069
1165,1,-1,1053
389,1,-1,995
860,1,-1,522
428,1,-1,482
1270,1,-1,299
859,1,-1,879
445,1,-1,517
1428,1,-1,1011
445,1,-1,997
948,1,-1,555
784,1,-1,1039
1144,1,-1,1073
1391,1,-1,331
1233,1,-1,879
1379,1,-1,488
788,1,-1,1059
1385,1,-1,317
590,1,-1,297
823,1,-1,509
1393,1,-1,1043
1142,1,-1,305
1270,1,-1,901
830,1,-1,331
401,1,-1,293
1139,1,-1,519
445,1,-1,881
433,1,-1,1055
732,1,-1,1057
280,1,-1,1053
104,0,-1,1025
741,1,-1,555
1225,1,-1,1029
414,1,-1,1003
858,1,-1,533
814,1,-1,911
394,1,-1,507
398,1,-1,901
446,1,-1,512
430,1,-1,299
1133,0,-1,186
821,1,-1,1035
102,0,-1,1047
180,0,-1,1065
456,0,-1,184
1420,1,-1,329
768,1,-1,1009
590,1,-1,1055
825,1,-1,1011
406,1,-1,605
1130,1,-1,871
1166,1,-1,1031
792,1,-1,480
926,1,-1,1059
433,1,-1,1055
763,1,-1,885
944,1,-1,1021
44,0,-1,1023
751,1,-1,1013
781,1,-1,480
1127,1,-1,555
404,1,-1,315
443,1,-1,1059
1353,1,-1,494
926,1,-1,1009
451,1,-1,918
431,1,-1,1003
219,0,-1,519
280,1,-1,507
283,1,-1,507
786,1,-1,883
273,1,-1,913
443,1,-1,323
1151,1,-1,295
1408,1,-1,1007
773,1,-1,477
946,1,-1,1063
