id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,3,0,58,26,packages\safer-buffer\dangerous.js,0,0
3,VariableDeclaration,nan,-1,-1,-1,5,0,5,30,packages\safer-buffer\dangerous.js,0,1
4,VariableDeclaration,nan,-1,-1,-1,6,0,6,26,packages\safer-buffer\dangerous.js,0,2
5,VariableDeclaration,nan,-1,-1,-1,7,0,7,33,packages\safer-buffer\dangerous.js,0,3
6,VariableDeclaration,nan,-1,-1,-1,8,0,8,24,packages\safer-buffer\dangerous.js,0,4
7,VariableDeclaration,nan,-1,-1,-1,10,0,10,18,packages\safer-buffer\dangerous.js,0,5
8,VariableDeclaration,nan,-1,-1,-1,12,0,12,7,packages\safer-buffer\dangerous.js,0,6
9,ForInStatement,nan,-1,-1,-1,14,0,17,1,packages\safer-buffer\dangerous.js,0,7
10,VariableDeclaration,nan,-1,-1,-1,19,0,19,38,packages\safer-buffer\dangerous.js,0,8
11,ForInStatement,nan,-1,-1,-1,22,0,25,1,packages\safer-buffer\dangerous.js,0,9
12,ForInStatement,nan,-1,-1,-1,28,0,32,1,packages\safer-buffer\dangerous.js,0,10
13,IfStatement,nan,-1,-1,-1,34,0,44,1,packages\safer-buffer\dangerous.js,0,11
14,IfStatement,nan,-1,-1,-1,46,0,56,1,packages\safer-buffer\dangerous.js,0,12
17,Identifier,key,-1,-1,-1,14,5,14,8,packages\safer-buffer\dangerous.js,0,13
18,Identifier,safer,-1,-1,-1,14,12,14,17,packages\safer-buffer\dangerous.js,0,14
19,BlockStatement,nan,-1,-1,-1,14,19,17,1,packages\safer-buffer\dangerous.js,0,15
20,Identifier,key,-1,-1,-1,22,5,22,8,packages\safer-buffer\dangerous.js,0,16
21,Identifier,Safer,-1,-1,-1,22,12,22,17,packages\safer-buffer\dangerous.js,0,17
22,BlockStatement,nan,-1,-1,-1,22,19,25,1,packages\safer-buffer\dangerous.js,0,18
23,Identifier,key,-1,-1,-1,28,5,28,8,packages\safer-buffer\dangerous.js,0,19
24,Identifier,Buffer,-1,-1,-1,28,12,28,18,packages\safer-buffer\dangerous.js,0,20
25,BlockStatement,nan,-1,-1,-1,28,20,32,1,packages\safer-buffer\dangerous.js,0,21
26,BlockStatement,nan,-1,-1,-1,34,29,44,1,packages\safer-buffer\dangerous.js,0,22
27,UnaryExpression,nan,1,-1,-1,34,4,34,27,packages\safer-buffer\dangerous.js,0,23
28,BlockStatement,nan,-1,-1,-1,46,33,56,1,packages\safer-buffer\dangerous.js,0,24
29,UnaryExpression,nan,1,-1,-1,46,4,46,31,packages\safer-buffer\dangerous.js,0,25
30,AssignmentExpression,nan,-1,-1,-1,58,0,58,26,packages\safer-buffer\dangerous.js,0,26
31,IfStatement,nan,-1,-1,-1,15,2,15,42,packages\safer-buffer\dangerous.js,0,27
33,IfStatement,nan,-1,-1,-1,23,2,23,42,packages\safer-buffer\dangerous.js,0,28
35,IfStatement,nan,-1,-1,-1,29,2,29,43,packages\safer-buffer\dangerous.js,0,29
36,IfStatement,nan,-1,-1,-1,30,2,30,46,packages\safer-buffer\dangerous.js,0,30
39,MemberExpression,nan,-1,-1,-1,34,5,34,27,packages\safer-buffer\dangerous.js,0,31
41,MemberExpression,nan,-1,-1,-1,46,5,46,31,packages\safer-buffer\dangerous.js,0,32
42,MemberExpression,nan,-1,-1,-1,58,0,58,14,packages\safer-buffer\dangerous.js,0,33
43,Identifier,dangerous,-1,-1,-1,58,17,58,26,packages\safer-buffer\dangerous.js,0,34
44,ContinueStatement,nan,-1,-1,-1,15,34,15,42,packages\safer-buffer\dangerous.js,0,35
45,UnaryExpression,nan,1,-1,-1,15,6,15,32,packages\safer-buffer\dangerous.js,0,36
46,AssignmentExpression,nan,-1,-1,-1,16,2,16,29,packages\safer-buffer\dangerous.js,0,37
47,ContinueStatement,nan,-1,-1,-1,23,34,23,42,packages\safer-buffer\dangerous.js,0,38
48,UnaryExpression,nan,1,-1,-1,23,6,23,32,packages\safer-buffer\dangerous.js,0,39
49,AssignmentExpression,nan,-1,-1,-1,24,2,24,30,packages\safer-buffer\dangerous.js,0,40
50,ContinueStatement,nan,-1,-1,-1,29,35,29,43,packages\safer-buffer\dangerous.js,0,41
51,UnaryExpression,nan,1,-1,-1,29,6,29,33,packages\safer-buffer\dangerous.js,0,42
52,ContinueStatement,nan,-1,-1,-1,30,38,30,46,packages\safer-buffer\dangerous.js,0,43
53,CallExpression,nan,1,-1,-1,30,6,30,36,packages\safer-buffer\dangerous.js,0,44
54,AssignmentExpression,nan,-1,-1,-1,31,2,31,31,packages\safer-buffer\dangerous.js,0,45
55,AssignmentExpression,nan,-1,-1,-1,35,2,43,3,packages\safer-buffer\dangerous.js,0,46
56,AssignmentExpression,nan,-1,-1,-1,47,2,55,3,packages\safer-buffer\dangerous.js,0,47
57,CallExpression,nan,1,-1,-1,15,7,15,32,packages\safer-buffer\dangerous.js,0,48
58,MemberExpression,nan,-1,-1,-1,16,2,16,16,packages\safer-buffer\dangerous.js,0,49
59,MemberExpression,nan,-1,-1,-1,16,19,16,29,packages\safer-buffer\dangerous.js,0,50
60,CallExpression,nan,1,-1,-1,23,7,23,32,packages\safer-buffer\dangerous.js,0,51
61,MemberExpression,nan,-1,-1,-1,24,2,24,17,packages\safer-buffer\dangerous.js,0,52
62,MemberExpression,nan,-1,-1,-1,24,20,24,30,packages\safer-buffer\dangerous.js,0,53
63,CallExpression,nan,1,-1,-1,29,7,29,33,packages\safer-buffer\dangerous.js,0,54
64,Identifier,key,-1,-1,-1,30,32,30,35,packages\safer-buffer\dangerous.js,0,55
65,MemberExpression,nan,-1,-1,-1,30,6,30,31,packages\safer-buffer\dangerous.js,0,56
66,MemberExpression,nan,-1,-1,-1,31,2,31,17,packages\safer-buffer\dangerous.js,0,57
67,MemberExpression,nan,-1,-1,-1,31,20,31,31,packages\safer-buffer\dangerous.js,0,58
68,MemberExpression,nan,-1,-1,-1,35,2,35,24,packages\safer-buffer\dangerous.js,0,59
69,FunctionExpression,nan,-1,1,1,35,27,43,3,packages\safer-buffer\dangerous.js,0,60
70,MemberExpression,nan,-1,-1,-1,47,2,47,28,packages\safer-buffer\dangerous.js,0,61
71,FunctionExpression,nan,-1,1,1,47,31,55,3,packages\safer-buffer\dangerous.js,0,62
72,Identifier,key,-1,-1,-1,15,28,15,31,packages\safer-buffer\dangerous.js,0,63
73,MemberExpression,nan,-1,-1,-1,15,7,15,27,packages\safer-buffer\dangerous.js,0,64
74,Identifier,key,-1,-1,-1,23,28,23,31,packages\safer-buffer\dangerous.js,0,65
75,MemberExpression,nan,-1,-1,-1,23,7,23,27,packages\safer-buffer\dangerous.js,0,66
76,Identifier,key,-1,-1,-1,29,29,29,32,packages\safer-buffer\dangerous.js,0,67
77,MemberExpression,nan,-1,-1,-1,29,7,29,28,packages\safer-buffer\dangerous.js,0,68
78,Identifier,size,-1,-1,-1,35,37,35,41,packages\safer-buffer\dangerous.js,0,69
80,BlockStatement,nan,-1,-1,-1,35,43,43,3,packages\safer-buffer\dangerous.js,0,70
81,Identifier,size,-1,-1,-1,47,41,47,45,packages\safer-buffer\dangerous.js,0,71
83,BlockStatement,nan,-1,-1,-1,47,47,55,3,packages\safer-buffer\dangerous.js,0,72
84,IfStatement,nan,-1,-1,-1,36,4,38,5,packages\safer-buffer\dangerous.js,0,73
85,IfStatement,nan,-1,-1,-1,39,4,41,5,packages\safer-buffer\dangerous.js,0,74
86,ReturnStatement,nan,1,-1,-1,42,4,42,23,packages\safer-buffer\dangerous.js,0,75
87,IfStatement,nan,-1,-1,-1,48,4,50,5,packages\safer-buffer\dangerous.js,0,76
88,IfStatement,nan,-1,-1,-1,51,4,53,5,packages\safer-buffer\dangerous.js,0,77
89,ReturnStatement,nan,1,-1,-1,54,4,54,34,packages\safer-buffer\dangerous.js,0,78
90,BlockStatement,nan,-1,-1,-1,36,34,38,5,packages\safer-buffer\dangerous.js,0,79
92,BlockStatement,nan,-1,-1,-1,39,43,41,5,packages\safer-buffer\dangerous.js,0,80
