src,same_file,jaccard_val,dst
197,0,-1.0,470
112,1,-1.0,55
112,1,-1.0,54
174,1,-1.0,192
209,0,-1.0,470
202,0,-1.0,470
117,1,-1.0,139
151,1,1.0,8
268,1,1.0,226
295,1,1.0,227
293,1,1.0,227
280,1,1.0,227
1008,1,1.0,311
475,1,-1.0,570
902,0,0.0,7
476,1,-1.0,572
903,0,0.0,7
477,1,-1.0,574
478,1,-1.0,576
479,1,-1.0,578
480,1,-1.0,580
481,1,-1.0,582
482,1,-1.0,584
483,1,-1.0,586
484,1,-1.0,588
485,1,-1.0,590
486,1,-1.0,592
487,1,-1.0,594
488,1,-1.0,596
489,1,-1.0,598
490,1,-1.0,600
491,1,-1.0,602
492,1,-1.0,604
352,1,-1.0,378
1044,1,1.0,311
493,1,-1.0,606
494,1,-1.0,608
353,1,-1.0,380
921,1,-1.0,1047
922,1,-1.0,1049
495,1,-1.0,610
923,1,-1.0,1051
924,1,-1.0,1053
496,1,-1.0,612
354,1,-1.0,382
925,1,-1.0,1055
926,1,-1.0,1057
497,1,-1.0,614
927,1,-1.0,1059
498,1,-1.0,616
355,1,-1.0,384
499,1,-1.0,618
500,1,-1.0,620
501,1,-1.0,622
502,1,-1.0,624
503,1,-1.0,626
356,1,-1.0,386
504,1,-1.0,628
1383,1,1.0,311
934,1,-1.0,1073
935,1,-1.0,1075
936,1,-1.0,1077
937,1,-1.0,1079
938,1,-1.0,1081
1511,1,1.0,311
1338,1,-1.0,1392
1339,1,-1.0,1394
1340,1,-1.0,1396
939,1,-1.0,1083
505,1,-1.0,630
1399,1,1.0,311
940,1,-1.0,1085
941,1,-1.0,1087
942,1,-1.0,1089
943,1,-1.0,1091
944,1,-1.0,1093
1517,1,1.0,311
1346,1,-1.0,1408
1347,1,-1.0,1410
1348,1,-1.0,1412
945,1,-1.0,1095
1523,1,1.0,311
1349,1,-1.0,1414
1350,1,-1.0,1416
1351,1,-1.0,1418
946,1,-1.0,1097
506,1,-1.0,632
357,1,-1.0,388
1100,1,1.0,311
507,1,-1.0,634
508,1,-1.0,636
358,1,-1.0,390
509,1,-1.0,638
510,1,-1.0,640
359,1,-1.0,392
951,1,-1.0,1107
511,1,-1.0,642
952,1,-1.0,1109
512,1,-1.0,644
360,1,-1.0,394
513,1,-1.0,646
514,1,-1.0,648
361,1,-1.0,396
1116,1,1.0,311
515,1,-1.0,650
516,1,-1.0,652
517,1,-1.0,654
518,1,-1.0,656
519,1,-1.0,658
520,1,-1.0,660
521,1,-1.0,662
522,1,-1.0,664
1426,1,1.0,311
963,1,-1.0,1131
964,1,-1.0,1133
523,1,-1.0,666
362,1,-1.0,398
965,0,0.0,7
524,1,-1.0,668
525,1,-1.0,670
526,1,-1.0,672
527,1,-1.0,674
363,1,-1.0,400
1144,1,1.0,311
528,1,-1.0,676
529,1,-1.0,678
530,1,-1.0,680
364,1,-1.0,402
1150,1,1.0,311
531,1,-1.0,682
532,1,-1.0,684
533,1,-1.0,686
365,1,-1.0,404
1156,1,1.0,311
534,1,-1.0,688
535,1,-1.0,690
536,1,-1.0,692
537,1,-1.0,694
538,1,-1.0,696
539,1,-1.0,698
540,1,-1.0,700
541,1,-1.0,702
983,1,-1.0,1171
984,1,-1.0,1173
542,1,-1.0,704
985,1,-1.0,1175
986,1,-1.0,1177
543,1,-1.0,706
987,1,-1.0,1179
544,1,-1.0,708
366,1,-1.0,406
1182,1,1.0,311
545,1,-1.0,710
546,1,-1.0,712
367,1,-1.0,408
1186,1,1.0,311
547,1,-1.0,714
548,1,-1.0,716
549,1,-1.0,718
368,1,-1.0,410
1192,1,1.0,311
550,1,-1.0,720
551,1,-1.0,722
552,1,-1.0,724
369,1,-1.0,412
1198,1,1.0,311
553,1,-1.0,726
554,1,-1.0,728
370,1,-1.0,414
1202,1,1.0,311
555,1,-1.0,730
556,1,-1.0,732
557,1,-1.0,734
558,1,-1.0,736
559,1,-1.0,738
371,1,-1.0,416
315,1,-1.0,329
467,1,-1.0,1262
467,1,-1.0,1285
467,1,-1.0,1288
467,1,-1.0,1290
467,1,-1.0,1293
467,1,-1.0,1300
445,0,-1.0,51
338,1,-1.0,344
