src,same_file,jaccard_val,dst
959,0,0.0,9
353,1,-1,610
946,1,-1,406
558,1,-1,1171
490,1,-1,1175
489,1,-1,738
1426,1,-1,648
994,1,-1,394
914,1,-1,606
950,1,-1,1051
1192,1,-1,656
368,1,-1,704
420,1,-1,400
568,1,-1,710
1192,1,-1,584
911,1,-1,654
261,0,-1,612
952,1,0.0,312
1517,1,-1,594
299,0,-1,636
944,1,-1,688
568,1,-1,1093
1348,1,-1,646
297,0,-1,724
257,0,-1,1262
929,0,-1,54
534,1,-1,644
514,1,-1,1107
355,1,-1,414
935,1,-1,1288
1192,1,-1,1173
357,1,-1,704
1336,1,-1,576
945,1,-1,632
519,1,-1,618
1008,0,0.0,226
542,0,-1,139
167,0,-1,1095
552,1,-1,726
1496,1,-1,716
505,1,-1,686
482,0,-1,55
272,0,-1,642
995,1,-1,598
948,1,-1,1300
540,1,-1,666
167,0,-1,578
1357,1,-1,696
946,1,-1,620
1337,1,-1,1175
360,1,-1,412
1002,1,-1,730
367,1,-1,622
1011,1,-1,390
559,1,-1,596
1344,1,-1,654
178,0,-1,396
365,1,-1,618
906,1,-1,662
528,1,-1,406
908,1,-1,378
929,1,-1,1199
501,1,-1,1075
1359,1,0.0,313
1327,1,-1,626
299,0,-1,1085
515,1,-1,632
355,1,-1,596
945,1,-1,592
364,1,-1,644
80,0,-1,1418
1511,1,-1,676
1044,1,-1,329
942,1,-1,608
482,1,-1,592
508,1,-1,382
991,1,-1,736
365,1,-1,470
927,1,-1,704
96,0,-1,1079
1502,1,-1,576
968,1,-1,690
268,0,-1,586
978,1,-1,382
987,1,-1,382
903,1,-1,1055
1331,1,-1,664
1356,1,-1,654
987,1,-1,644
355,1,-1,1109
252,0,-1,630
917,1,-1,1081
368,1,-1,628
535,1,-1,696
522,1,-1,734
501,1,-1,1177
931,1,-1,1416
938,1,-1,398
479,1,-1,470
1345,1,-1,1179
1346,1,-1,414
123,0,-1,1087
999,1,-1,616
1001,1,-1,642
1350,1,-1,398
497,1,-1,660
497,0,0.0,9
946,1,-1,732
520,0,0.0,7
1009,1,-1,586
961,1,-1,341
1009,1,-1,408
905,1,-1,638
1345,1,-1,596
957,1,-1,672
527,1,-1,392
1494,1,-1,630
508,1,-1,716
504,1,-1,1107
967,1,-1,1053
1338,1,-1,712
525,1,-1,616
445,1,-1,382
510,1,-1,406
944,1,-1,402
937,1,-1,388
500,1,-1,406
518,1,-1,396
944,1,-1,378
935,1,-1,404
938,1,-1,716
235,0,-1,1093
942,1,-1,594
522,1,-1,1077
970,1,-1,638
82,0,0.0,312
531,1,-1,340
504,1,-1,396
1337,0,-1,139
948,1,-1,1173
448,1,-1,588
1198,1,-1,638
338,1,-1,1418
1325,1,-1,1394
535,1,-1,590
931,1,-1,329
491,0,-1,51
509,1,-1,608
537,1,-1,712
926,1,-1,572
944,1,-1,400
492,1,-1,598
976,1,-1,1179
1337,1,-1,678
555,1,-1,1131
165,0,-1,698
938,1,-1,720
420,1,-1,1262
1336,1,-1,1131
537,1,-1,1087
929,1,-1,656
166,0,-1,1073
903,1,-1,702
997,1,-1,588
1350,1,-1,1109
537,0,0.0,10
974,1,-1,398
907,0,0.0,9
1336,1,-1,382
532,0,0.0,9
476,1,-1,648
498,0,0.0,9
541,1,-1,600
257,0,-1,1288
117,0,-1,636
1399,1,-1,574
513,1,0.0,313
242,0,-1,1173
134,0,0.0,313
354,1,-1,680
992,1,-1,686
902,1,-1,386
1473,1,-1,626
905,0,-1,139
1192,1,-1,588
