id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,9,0,208,1,packages\serve-static\index.js,1,0
3,VariableDeclaration,nan,-1,-1,-1,16,0,16,36,packages\serve-static\index.js,1,1
4,VariableDeclaration,nan,-1,-1,-1,17,0,17,39,packages\serve-static\index.js,1,2
5,VariableDeclaration,nan,-1,-1,-1,18,0,18,34,packages\serve-static\index.js,1,3
6,VariableDeclaration,nan,-1,-1,-1,19,0,19,37,packages\serve-static\index.js,1,4
7,VariableDeclaration,nan,-1,-1,-1,20,0,20,26,packages\serve-static\index.js,1,5
8,VariableDeclaration,nan,-1,-1,-1,21,0,21,24,packages\serve-static\index.js,1,6
10,FunctionDeclaration,nan,-1,2,1,37,0,126,1,packages\serve-static\index.js,1,7
11,FunctionDeclaration,nan,-1,1,1,132,0,142,1,packages\serve-static\index.js,1,8
12,FunctionDeclaration,nan,-1,2,1,152,0,163,1,packages\serve-static\index.js,1,9
13,FunctionDeclaration,nan,-1,0,1,170,0,174,1,packages\serve-static\index.js,1,10
14,FunctionDeclaration,nan,-1,0,1,181,0,208,1,packages\serve-static\index.js,1,11
16,AssignmentExpression,nan,-1,-1,-1,28,0,28,28,packages\serve-static\index.js,1,12
17,Identifier,serveStatic,-1,-1,-1,37,9,37,20,packages\serve-static\index.js,1,13
18,Identifier,root,-1,-1,-1,37,22,37,26,packages\serve-static\index.js,1,14
19,Identifier,options,-1,-1,-1,37,28,37,35,packages\serve-static\index.js,1,15
21,BlockStatement,nan,-1,-1,-1,37,37,126,1,packages\serve-static\index.js,1,16
22,Identifier,collapseLeadingSlashes,-1,-1,-1,132,9,132,31,packages\serve-static\index.js,1,17
23,Identifier,str,-1,-1,-1,132,33,132,36,packages\serve-static\index.js,1,18
25,BlockStatement,nan,-1,-1,-1,132,38,142,1,packages\serve-static\index.js,1,19
26,Identifier,createHtmlDocument,-1,-1,-1,152,9,152,27,packages\serve-static\index.js,1,20
27,Identifier,title,-1,-1,-1,152,29,152,34,packages\serve-static\index.js,1,21
28,Identifier,body,-1,-1,-1,152,36,152,40,packages\serve-static\index.js,1,22
30,BlockStatement,nan,-1,-1,-1,152,42,163,1,packages\serve-static\index.js,1,23
31,Identifier,createNotFoundDirectoryListener,-1,-1,-1,170,9,170,40,packages\serve-static\index.js,1,24
33,BlockStatement,nan,-1,-1,-1,170,44,174,1,packages\serve-static\index.js,1,25
34,Identifier,createRedirectDirectoryListener,-1,-1,-1,181,9,181,40,packages\serve-static\index.js,1,26
36,BlockStatement,nan,-1,-1,-1,181,44,208,1,packages\serve-static\index.js,1,27
37,MemberExpression,nan,-1,-1,-1,28,0,28,14,packages\serve-static\index.js,1,28
38,Identifier,serveStatic,-1,-1,-1,28,17,28,28,packages\serve-static\index.js,1,29
39,IfStatement,nan,-1,-1,-1,38,2,40,3,packages\serve-static\index.js,1,30
40,IfStatement,nan,-1,-1,-1,42,2,44,3,packages\serve-static\index.js,1,31
41,VariableDeclaration,nan,-1,-1,-1,47,2,47,43,packages\serve-static\index.js,1,32
42,VariableDeclaration,nan,-1,-1,-1,50,2,50,46,packages\serve-static\index.js,1,33
43,VariableDeclaration,nan,-1,-1,-1,53,2,53,40,packages\serve-static\index.js,1,34
44,VariableDeclaration,nan,-1,-1,-1,56,2,56,34,packages\serve-static\index.js,1,35
45,IfStatement,nan,-1,-1,-1,58,2,60,3,packages\serve-static\index.js,1,36
48,VariableDeclaration,nan,-1,-1,-1,67,2,69,39,packages\serve-static\index.js,1,37
49,ReturnStatement,nan,1,-1,-1,71,2,125,3,packages\serve-static\index.js,1,38
50,ForStatement,nan,-1,-1,-1,133,2,137,3,packages\serve-static\index.js,1,39
51,ReturnStatement,nan,1,-1,-1,139,2,141,9,packages\serve-static\index.js,1,40
52,ReturnStatement,nan,1,-1,-1,153,2,162,15,packages\serve-static\index.js,1,41
53,ReturnStatement,nan,1,-1,-1,171,2,173,3,packages\serve-static\index.js,1,42
54,ReturnStatement,nan,1,-1,-1,182,2,207,3,packages\serve-static\index.js,1,43
55,BlockStatement,nan,-1,-1,-1,38,13,40,3,packages\serve-static\index.js,1,44
56,UnaryExpression,nan,1,-1,-1,38,6,38,11,packages\serve-static\index.js,1,45
