src,same_file,jaccard_val,dst
86,1,1.0,6
219,1,1.0,6
89,1,-1.0,122
174,1,1.0,69
264,1,1.0,69
281,1,1.0,70
319,1,-1.0,321
320,1,-1.0,323
315,1,-1.0,316
353,1,-1.0,367
501,0,1.0,11
510,0,1.0,11
354,1,-1.0,369
355,1,-1.0,371
356,1,-1.0,373
526,0,1.0,11
533,0,1.0,11
357,1,-1.0,375
358,1,-1.0,377
359,1,-1.0,379
360,1,-1.0,381
361,1,-1.0,383
362,1,-1.0,385
363,1,-1.0,387
562,0,1.0,11
571,0,1.0,11
364,1,-1.0,389
581,0,1.0,11
365,1,-1.0,391
591,0,1.0,11
598,0,1.0,11
366,1,-1.0,393
349,1,-1.0,350
654,1,-1.0,678
655,1,-1.0,680
656,1,-1.0,682
657,1,-1.0,684
658,1,-1.0,686
659,1,-1.0,688
660,1,-1.0,690
661,1,-1.0,692
662,1,-1.0,694
663,1,-1.0,696
664,1,-1.0,698
665,1,-1.0,700
666,1,-1.0,702
667,1,-1.0,704
668,1,-1.0,706
669,1,-1.0,708
670,1,-1.0,710
671,1,-1.0,712
672,1,-1.0,714
673,1,-1.0,716
674,1,-1.0,718
675,1,-1.0,720
676,1,-1.0,722
677,1,-1.0,724
650,1,-1.0,651
902,1,-1.0,905
918,0,1.0,11
903,1,-1.0,907
921,0,1.0,11
904,1,-1.0,909
897,1,-1.0,898
