src,dst
400,10
408,387
179,686
293,682
574,682
635,720
115,682
122,69
232,708
794,724
213,898
322,698
400,688
639,720
436,696
570,909
45,11
342,379
352,391
490,682
635,367
577,367
579,381
908,375
335,708
380,383
596,692
895,700
105,323
521,8
575,724
617,684
0,12
370,383
326,373
268,718
852,905
546,724
435,692
925,682
841,367
505,8
683,710
480,7
293,350
377,373
221,682
352,718
286,905
793,708
718,698
593,724
455,371
582,716
50,684
592,722
499,323
439,905
527,708
12,321
40,375
251,898
523,708
430,710
216,690
416,688
332,367
779,375
680,393
824,718
65,7
579,909
265,389
479,702
249,718
159,680
296,323
146,9
706,692
763,316
436,722
79,7
432,678
705,323
744,722
104,9
77,316
334,389
693,682
884,718
693,708
444,898
739,702
475,708
442,684
528,69
84,8
868,323
748,350
39,688
258,720
370,369
881,696
74,10
304,389
884,373
255,704
504,651
58,385
344,367
757,684
169,383
286,316
308,708
388,381
49,706
692,391
175,716
681,69
269,694
781,391
688,11
10,387
55,393
575,682
740,7
575,682
833,698
32,385
373,350
173,381
909,700
423,10
155,684
384,706
258,905
439,724
76,694
329,708
177,684
419,712
578,371
779,686
859,350
5,694
529,369
742,909
251,708
704,6
390,704
265,316
603,367
14,379
58,700
439,704
547,706
259,379
416,651
519,375
183,718
231,702
908,692
612,720
255,712
306,393
64,704
32,700
282,379
561,12
321,385
304,724
931,122
771,387
452,720
757,367
189,323
390,393
221,704
557,722
346,724
772,682
235,704
128,898
797,898
441,12
85,69
229,393
827,383
265,905
138,722
344,369
329,716
890,393
140,694
637,367
403,688
685,692
795,722
461,688
267,385
708,698
276,379
49,898
924,8
547,385
584,6
78,909
681,722
833,905
867,909
846,393
744,375
377,379
733,651
73,7
98,696
556,387
291,720
852,680
81,688
636,389
700,379
899,686
59,716
777,678
935,350
893,375
713,710
400,678
575,909
254,651
590,69
385,316
567,379
93,377
777,678
634,688
828,375
229,316
632,70
446,651
277,718
521,389
101,377
455,678
682,9
430,373
345,70
631,714
345,722
118,367
76,8
19,905
183,712
454,11
36,373
17,387
781,696
707,369
238,122
207,9
437,323
351,690
527,70
327,375
587,385
886,367
90,694
304,708
875,716
172,389
615,907
636,909
322,678
715,680
751,122
176,379
480,393
417,12
632,692
221,373
282,375
309,381
160,714
532,686
883,387
421,704
552,708
310,371
608,393
157,720
260,122
493,10
442,684
101,694
0,708
295,714
426,718
826,718
168,682
234,690
787,678
595,389
867,682
224,714
685,722
84,708
33,714
884,375
707,371
216,712
551,698
882,700
59,316
112,367
97,706
908,11
344,371
834,70
76,704
532,700
43,688
242,700
16,684
742,367
474,704
441,718
893,321
157,323
608,12
381,350
734,385
149,381
13,700
57,373
92,9
78,385
101,706
785,69
710,684
223,7
380,122
113,387
885,700
385,688
878,69
541,369
892,716
62,678
73,690
706,718
112,720
95,393
745,708
701,722
861,389
391,367
179,692
221,678
421,712
255,6
115,678
796,389
445,700
517,722
555,11
257,379
720,377
397,684
139,678
104,12
743,907
679,692
189,716
840,316
476,11
147,710
342,651
322,387
424,909
279,122
247,377
345,712
286,905
395,724
525,323
327,722
332,700
428,9
154,698
145,6
337,350
123,716
859,724
825,702
301,373
792,692
115,722
621,385
517,350
113,323
198,710
109,11
79,122
16,385
539,6
122,7
266,393
835,316
76,708
692,373
6,690
30,704
198,706
830,698
876,720
822,898
619,909
566,323
929,718
49,688
110,704
388,698
160,722
504,391
272,700
43,6
755,724
823,350
255,694
144,375
90,714
46,909
305,692
414,391
587,696
535,377
575,684
23,898
898,10
140,321
268,316
880,700
838,9
266,323
226,8
611,704
284,8
933,688
282,898
679,12
29,69
45,718
728,722
18,6
558,6
251,909
67,692
352,122
227,704
343,375
211,907
838,684
253,718
525,350
795,907
493,909
642,688
408,898
853,11
911,686
682,369
884,393
31,686
594,373
730,692
376,381
744,321
78,651
684,11
116,714
335,898
79,11
535,389
160,704
190,7
105,12
279,686
345,678
94,905
713,11
734,375
26,716
136,898
198,377
561,385
698,909
572,694
774,698
825,323
224,387
879,6
188,702
169,704
110,690
