src,same_file,jaccard_val,dst
661,0,-1,898
174,0,-1,724
809,0,-1,909
902,0,-1,377
817,0,-1,383
469,0,0.0,11
904,0,-1,722
482,0,-1,716
665,0,-1,383
252,1,-1,122
274,0,-1,724
274,1,-1,122
349,0,-1,682
477,1,-1,373
660,1,-1,696
471,0,-1,316
354,1,-1,393
820,0,-1,387
361,0,0.0,7
677,1,-1,692
366,1,-1,350
256,1,-1,122
359,0,-1,694
666,0,-1,323
471,0,-1,722
808,0,-1,383
219,0,-1,690
562,0,0.0,6
82,1,0.0,12
470,1,-1,375
252,0,-1,694
807,0,-1,905
180,0,-1,389
800,1,-1,682
533,0,-1,690
658,0,-1,350
917,1,-1,905
294,1,0.0,10
320,0,-1,698
471,0,-1,684
819,0,-1,371
294,0,-1,371
813,1,-1,716
319,0,-1,377
501,0,-1,722
349,0,-1,692
656,0,-1,371
156,0,-1,682
799,0,-1,898
820,0,-1,371
917,0,0.0,8
659,0,-1,379
481,1,-1,383
448,1,-1,393
820,1,-1,680
661,1,-1,698
669,1,-1,696
281,0,-1,393
82,0,-1,720
819,0,-1,321
489,0,-1,718
814,0,-1,905
191,0,-1,712
812,0,-1,391
