src,dst
53,117
18,37
138,20
108,37
39,41
202,33
124,35
115,31
15,9
151,35
145,31
154,122
197,31
59,41
3,31
210,117
140,122
187,39
155,122
149,35
132,33
60,9
229,117
63,41
43,41
128,117
197,37
145,117
200,35
181,20
42,9
14,33
127,117
161,117
10,37
155,41
204,41
166,20
161,41
172,31
52,122
35,117
39,37
219,20
218,117
176,122
130,35
23,20
168,117
128,20
117,9
118,122
202,31
194,31
6,122
211,20
175,9
18,37
38,37
56,41
109,33
45,31
154,122
112,31
133,39
200,37
197,122
227,117
132,9
61,33
9,39
187,31
45,33
50,39
219,117
22,9
197,41
9,41
177,33
121,35
66,20
37,41
223,39
212,9
189,117
0,20
150,37
61,20
185,39
43,39
124,41
2,33
146,35
122,117
116,41
2,41
205,9
39,122
38,39
109,117
191,37
61,9
168,37
117,41
11,117
148,117
202,35
215,117
45,39
15,37
61,20
218,31
194,35
35,37
199,37
198,117
148,9
57,117
186,33
188,33
114,37
139,35
40,9
113,117
127,20
127,41
170,9
229,41
205,9
18,20
21,35
5,39
163,37
161,39
219,117
166,117
51,117
185,9
10,41
190,117
200,9
51,31
158,31
219,117
116,117
37,39
116,31
62,39
149,35
229,20
206,122
149,9
213,33
35,117
119,117
49,33
163,41
57,122
120,31
53,35
40,37
65,35
176,33
35,117
217,41
3,117
159,9
183,117
116,117
111,33
183,39
136,9
46,122
127,39
21,9
166,20
227,37
68,122
223,117
