id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,18,0,3047,4,packages\slick-carousel\slick\slick.js,0,0
2,EmptyStatement,nan,-1,-1,-1,18,0,18,1,packages\slick-carousel\slick\slick.js,0,1
4,CallExpression,nan,1,-1,-1,18,2,3047,2,packages\slick-carousel\slick\slick.js,0,2
5,FunctionExpression,nan,-1,1,0,39,2,3047,1,packages\slick-carousel\slick\slick.js,0,3
6,FunctionExpression,nan,-1,1,0,18,2,39,1,packages\slick-carousel\slick\slick.js,0,4
7,Identifier,$,-1,-1,-1,39,11,39,12,packages\slick-carousel\slick\slick.js,0,5
9,BlockStatement,nan,-1,-1,-1,39,14,3047,1,packages\slick-carousel\slick\slick.js,0,6
10,Identifier,factory,-1,-1,-1,18,11,18,18,packages\slick-carousel\slick\slick.js,0,7
12,BlockStatement,nan,-1,-1,-1,18,20,39,1,packages\slick-carousel\slick\slick.js,0,8
14,VariableDeclaration,nan,-1,-1,-1,41,4,41,35,packages\slick-carousel\slick\slick.js,0,9
100,IfStatement,nan,-1,-1,-1,20,4,37,5,packages\slick-carousel\slick\slick.js,0,10
102,AssignmentExpression,nan,-1,-1,-1,43,4,192,8,packages\slick-carousel\slick\slick.js,0,11
103,AssignmentExpression,nan,-1,-1,-1,194,4,204,5,packages\slick-carousel\slick\slick.js,0,12
104,AssignmentExpression,nan,-1,-1,-1,206,4,249,5,packages\slick-carousel\slick\slick.js,0,13
105,AssignmentExpression,nan,-1,-1,-1,251,4,259,5,packages\slick-carousel\slick\slick.js,0,14
106,AssignmentExpression,nan,-1,-1,-1,261,4,339,5,packages\slick-carousel\slick\slick.js,0,15
107,AssignmentExpression,nan,-1,-1,-1,341,4,352,5,packages\slick-carousel\slick\slick.js,0,16
108,AssignmentExpression,nan,-1,-1,-1,354,4,368,5,packages\slick-carousel\slick\slick.js,0,17
109,AssignmentExpression,nan,-1,-1,-1,370,4,387,5,packages\slick-carousel\slick\slick.js,0,18
110,AssignmentExpression,nan,-1,-1,-1,389,4,399,5,packages\slick-carousel\slick\slick.js,0,19
111,AssignmentExpression,nan,-1,-1,-1,401,4,409,5,packages\slick-carousel\slick\slick.js,0,20
112,AssignmentExpression,nan,-1,-1,-1,411,4,440,5,packages\slick-carousel\slick\slick.js,0,21
113,AssignmentExpression,nan,-1,-1,-1,442,4,484,5,packages\slick-carousel\slick\slick.js,0,22
114,AssignmentExpression,nan,-1,-1,-1,486,4,507,5,packages\slick-carousel\slick\slick.js,0,23
