src,same_file,jaccard_val,dst
930,1,0.0,906
1124,1,1.0,906
932,1,-1.0,973
1022,1,-1.0,1080
1034,1,0.5,986
1203,1,0.0,986
1209,1,-1.0,1232
1035,1,-1.0,1094
1182,0,1.0,2323
1040,0,-1.0,1339
1041,0,-1.0,1341
1256,1,-1.0,1274
1042,1,-1.0,1101
1217,0,-1.0,1343
1043,1,-1.0,1103
1044,0,-1.0,1345
1045,0,-1.0,1665
1220,1,-1.0,1243
1051,1,-1.0,1113
1151,1,-1.0,1187
921,1,1.0,887
923,1,1.0,887
1155,1,-1.0,972
1156,1,-1.0,972
1445,1,-1.0,1475
1309,1,0.0,1303
1446,1,1.0,1303
1621,1,-1.0,1501
1621,1,-1.0,1493
1621,1,-1.0,1615
1621,1,-1.0,1600
1456,1,-1.0,1501
1456,1,-1.0,1493
1456,1,-1.0,1615
1456,1,-1.0,1600
1570,1,0.3333333333333332,1425
1462,1,-1.0,1337
1462,1,-1.0,1493
1576,1,-1.0,1337
1576,1,-1.0,1600
1466,1,-1.0,1499
1585,1,-1.0,1613
1467,1,-1.0,1337
1467,1,-1.0,1501
1586,1,-1.0,1337
1586,1,-1.0,1615
1691,1,-1.0,1693
1666,1,-1.0,1670
1701,1,1.0,1658
1692,1,-1.0,1695
1682,1,1.0,1658
2010,0,0.0,432
2010,0,-1.0,211
2010,0,-1.0,222
1912,1,0.0,1879
1912,0,0.0,432
2174,1,1.0,1879
1914,1,-1.0,1962
2041,1,-1.0,2113
2042,1,-1.0,2115
2047,1,-1.0,2123
2048,1,-1.0,2125
2256,0,1.0,2323
2053,0,-1.0,1339
2205,1,-1.0,2261
2060,0,-1.0,1349
1902,1,1.0,1855
1904,1,1.0,1855
2226,1,-1.0,1961
2226,0,-1.0,211
2226,0,-1.0,222
2226,0,0.0,432
2227,1,-1.0,1961
2227,0,-1.0,211
2227,0,-1.0,222
2227,0,0.0,432
2329,1,0.0,2323
2331,1,-1.0,2338
253,1,-1.0,277
254,1,-1.0,279
174,0,-1.0,1906
256,0,-1.0,925
151,1,-1.0,176
88,1,-1.0,98
152,1,0.0,140
153,1,0.0,140
89,1,-1.0,100
90,1,-1.0,102
157,1,-1.0,185
91,1,-1.0,104
158,1,-1.0,187
92,1,-1.0,106
93,1,-1.0,108
65,0,-1.0,329
57,1,-1.0,59
194,0,-1.0,1906
270,0,-1.0,925
248,1,-1.0,271
163,1,-1.0,196
94,1,-1.0,110
164,1,0.0,147
165,1,0.0,147
95,1,-1.0,112
96,1,-1.0,114
169,1,-1.0,204
97,1,-1.0,116
66,0,-1.0,329
58,1,-1.0,61
49,1,-1.0,52
330,1,-1.0,338
354,0,0.0,526
354,0,0.0,531
331,1,-1.0,340
381,1,-1.0,350
368,1,-1.0,372
346,1,-1.0,348
392,0,-1.0,414
392,0,-1.0,67
392,0,-1.0,69
382,1,-1.0,388
370,1,-1.0,376
347,1,-1.0,327
571,0,-1.0,1906
546,1,-1.0,573
434,1,-1.0,455
435,1,-1.0,457
675,1,-1.0,737
549,1,-1.0,578
436,1,-1.0,459
681,0,1.0,309
550,1,-1.0,580
437,1,-1.0,461
684,1,-1.0,751
553,1,-1.0,583
438,1,-1.0,463
686,1,-1.0,754
554,1,-1.0,585
439,1,-1.0,465
693,0,1.0,309
555,1,-1.0,587
440,1,-1.0,467
696,1,-1.0,769
697,1,-1.0,771
558,1,-1.0,590
441,1,-1.0,469
699,1,-1.0,774
559,1,-1.0,592
442,1,-1.0,471
829,1,-1.0,854
701,1,-1.0,777
560,1,-1.0,594
443,1,-1.0,473
831,1,-1.0,857
702,1,-1.0,779
561,1,-1.0,596
444,1,-1.0,475
562,1,-1.0,598
445,1,-1.0,477
564,1,-1.0,601
446,1,-1.0,479
566,1,-1.0,604
715,1,-1.0,794
567,1,-1.0,606
447,1,-1.0,481
411,0,-1.0,329
448,1,-1.0,484
412,1,-1.0,416
453,1,0.0,432
454,1,-1.0,490
413,1,-1.0,418
407,1,-1.0,408
