src,dst
1,2
1,3
3,4
3,5
5,6
5,7
6,8
6,9
9,11
9,12
10,13
10,14
11,17
12,18
15,19
16,20
22,23
22,24
24,25
24,26
27,28
27,29
31,32
31,33
31,34
33,35
33,36
34,37
34,38
34,39
36,40
39,41
40,42
41,43
41,44
44,45
46,48
46,49
46,50
47,51
53,54
53,55
53,56
55,57
55,58
56,59
56,60
56,61
58,62
61,63
62,64
63,65
63,66
66,67
68,70
68,71
68,72
69,73
76,77
77,78
77,79
79,80
81,82
81,83
83,84
83,85
85,86
87,88
87,89
91,92
91,93
92,94
95,96
95,97
96,98
99,106
99,107
100,108
100,109
101,110
101,111
102,112
102,113
103,114
103,115
104,116
104,117
105,118
105,119
106,120
108,121
110,122
112,123
114,124
116,125
118,126
118,127
121,128
121,129
121,130
122,131
122,132
122,133
123,134
123,135
123,136
124,137
124,138
125,139
125,140
125,141
125,142
125,143
127,144
127,145
129,147
129,148
130,149
130,150
139,173
139,174
143,177
143,178
146,183
151,184
152,185
153,186
154,187
154,188
155,189
156,190
156,191
157,192
158,193
158,194
159,195
160,196
161,197
162,198
162,199
163,200
164,201
164,202
165,203
166,204
166,205
167,206
168,207
169,208
170,209
171,210
172,211
174,212
175,213
176,214
178,215
179,216
180,217
180,218
181,219
182,220
182,221
212,224
218,226
222,227
223,228
223,229
225,230
226,231
229,232
233,235
234,236
237,238
238,239
238,240
241,242
243,244
