src,dst
196,110
109,112
58,96
21,108
144,238
132,83
135,106
60,33
70,24
36,33
7,129
13,116
79,96
188,3
117,83
96,24
3,106
240,33
34,92
126,92
226,92
88,218
239,238
20,106
213,129
194,106
88,218
199,238
173,92
184,92
71,3
173,33
6,96
143,110
206,112
217,106
47,110
57,116
240,139
28,3
236,33
218,116
117,56
136,106
20,96
200,56
138,139
59,96
240,3
136,106
59,56
5,238
26,129
240,112
71,3
200,56
107,114
50,34
85,55
114,34
2,112
208,55
69,106
49,55
230,110
129,106
135,55
107,83
136,92
82,56
67,118
14,56
94,130
14,106
237,55
114,33
244,33
216,114
88,33
57,218
89,33
145,139
63,3
210,34
209,130
150,116
217,129
71,218
202,33
26,55
136,55
34,33
22,33
201,130
184,33
96,56
72,218
133,116
44,92
55,34
129,116
128,218
77,110
56,96
58,3
138,118
227,55
64,34
185,116
35,83
14,110
82,92
129,34
49,96
96,83
115,118
2,139
108,110
184,129
2,129
1,108
43,92
7,218
144,130
177,116
78,3
115,139
200,55
67,129
70,112
184,55
56,110
107,108
128,139
242,24
144,130
232,34
205,96
22,106
145,116
43,83
59,114
219,130
37,139
123,110
236,3
141,34
93,3
198,56
177,55
52,24
177,56
216,3
13,106
143,238
189,56
190,130
147,112
52,118
0,56
18,106
128,108
200,238
145,114
144,92
51,92
93,56
40,238
190,129
148,129
86,114
184,238
181,110
94,110
235,106
206,56
42,114
